,entity,label,occurrences
0,France,GPE,2090
1,French,NORP,838
2,24,CARDINAL,785
3,US,GPE,677
4,first,ORDINAL,485
5,China,GPE,463
6,Monday,DATE,328
7,Tuesday,DATE,306
8,Wednesday,DATE,273
9,Paris,GPE,267
10,Thursday,DATE,265
11,UK,GPE,263
12,Europe,LOC,253
13,Friday,DATE,252
14,Sunday,DATE,251
15,second,ORDINAL,232
16,Brazil,GPE,231
17,India,GPE,209
18,Italy,GPE,208
19,Saturday,DATE,201
20,EU,ORG,201
21,daily,DATE,193
22,Spain,GPE,176
23,FRANCE,GPE,146
24,Germany,GPE,138
25,Africa,LOC,133
26,Chinese,NORP,129
27,Donald Trump,PERSON,125
28,Wuhan,GPE,124
29,COVID-19,PERSON,121
30,Britain,GPE,119
31,two,CARDINAL,117
32,European,NORP,112
33,one,CARDINAL,103
34,UN,ORG,100
35,British,NORP,99
36,Covid,PERSON,94
37,Israel,GPE,93
38,Japan,GPE,91
39,Iran,GPE,89
40,the United States,GPE,87
41,Emmanuel Macron,PERSON,80
42,South Africa,GPE,79
43,2020,DATE,78
44,U.S.,GPE,78
45,Biden,PERSON,76
46,Americans,NORP,74
47,third,ORDINAL,74
48,England,GPE,74
49,New York,GPE,72
50,Australia,GPE,68
51,four,CARDINAL,63
52,German,NORP,63
53,Joe Biden,PERSON,62
54,Italian,NORP,61
55,AstraZeneca,ORG,61
56,WHO,ORG,59
57,Lebanon,GPE,57
58,Beijing,GPE,56
59,Russia,GPE,56
60,millions,CARDINAL,55
61,Hong Kong,GPE,55
62,Macron,PERSON,54
63,24 hours,TIME,53
64,COVID-19,PRODUCT,52
65,South Korea,GPE,52
66,African,NORP,51
67,this week,DATE,51
68,FRANCE 24,ORG,50
69,Canada,GPE,49
70,Mexico,GPE,47
71,2021,DATE,46
72,Spanish,NORP,46
73,Australian,NORP,46
74,¦,PERSON,45
75,Boris Johnson,PERSON,45
76,Trump,PERSON,43
77,Observers,ORG,43
78,Madrid,GPE,41
79,Johnson,PERSON,41
80,thousands,CARDINAL,41
81,California,GPE,40
82,three,CARDINAL,40
83,the World Health Organization,ORG,40
84,Covid,NORP,40
85,Christmas,DATE,38
86,this year,DATE,38
87,"100,000",CARDINAL,37
88,Asia,LOC,36
89,Amazon,ORG,36
90,New Zealand,GPE,35
91,Trump,ORG,34
92,Chile,GPE,34
93,This week,DATE,33
94,Pfizer,PERSON,32
95,The United States,GPE,31
96,April,DATE,30
97,March,DATE,30
98,Brexit,PERSON,30
99,American,NORP,30
100,Iraq,GPE,30
101,Jean Castex,PERSON,30
102,NBA,ORG,30
103,Latin America,LOC,29
104,months,DATE,29
105,London,GPE,29
106,five,CARDINAL,28
107,fourth,ORDINAL,28
108,The New Normal,WORK_OF_ART,28
109,Indian,NORP,28
110,Dutch,NORP,28
111,Russian,NORP,28
112,Tokyo,GPE,27
113,Saudi,NORP,27
114,Sweden,GPE,27
115,Argentina,GPE,27
116,Greece,GPE,27
117,two weeks,DATE,26
118,NFL,ORG,26
119,1,CARDINAL,26
120,The World Health Organization,ORG,25
121,Thousands,CARDINAL,25
122,the European Union,ORG,25
123,annual,DATE,25
124,Peru,GPE,25
125,Turkey,GPE,25
126,White House,ORG,25
127,Berlin,GPE,25
128,Brazilian,NORP,24
129,Florida,GPE,24
130,Democratic,NORP,24
131,Moscow,GPE,24
132,Hungary,GPE,23
133,week,DATE,23
134,Nigeria,GPE,23
135,Melbourne,GPE,23
136,Israeli,NORP,22
137,Parisians,NORP,22
138,"1,000",CARDINAL,22
139,year,DATE,22
140,Egypt,GPE,22
141,America,GPE,22
142,a day,DATE,22
143,Texas,GPE,22
144,Two,CARDINAL,22
145,100,CARDINAL,21
146,COVID-19 - France,ORG,21
147,the past 24 hours,TIME,21
148,Syria,GPE,21
149,Kenya,GPE,21
150,zero,CARDINAL,21
151,Macron,ORG,20
152,Ecuador,GPE,20
153,Indonesia,GPE,20
154,Mexican,NORP,20
155,Irish,NORP,20
156,Hollywood,GPE,20
157,Algeria,GPE,20
158,one-day,DATE,20
159,May 11,DATE,20
160,Tunisia,GPE,20
161,"10,000",CARDINAL,20
162,weeks,DATE,19
163,Jair Bolsonaro,PERSON,19
164,decades,DATE,19
165,One,CARDINAL,19
166,Vietnam,GPE,19
167,Yemen,GPE,19
168,fifth,ORDINAL,19
169,tonight,TIME,19
170,Millions,CARDINAL,19
171,Ireland,GPE,18
172,two-week,DATE,18
173,Pakistan,GPE,18
174,"20,000",CARDINAL,18
175,two-month,DATE,18
176,Washington,GPE,18
