,entity,label,occurrences
0,German,NORP,2182
1,Germany,GPE,1638
2,COVID-19,PERSON,657
3,US,GPE,616
4,EU,ORG,536
5,China,GPE,491
6,Berlin,GPE,482
7,first,ORDINAL,397
8,Africa,LOC,396
9,Europe,LOC,380
10,DW,ORG,335
11,COVID-19,PRODUCT,282
12,UK,GPE,253
13,India,GPE,251
14,second,ORDINAL,210
15,France,GPE,192
16,Italy,GPE,178
17,Germans,NORP,162
18,Angela Merkel,PERSON,149
19,one,CARDINAL,143
20,Chinese,NORP,136
21,European,NORP,134
22,2020,DATE,131
23,Spain,GPE,128
24,two,CARDINAL,114
25,African,NORP,108
26,Russia,GPE,108
27,| Europe| News,ORG,97
28,Brazil,GPE,95
29,UN,ORG,94
30,Brexit,PERSON,92
31,Donald Trump,PERSON,92
32,WHO,ORG,91
33,daily,DATE,89
34,Japan,GPE,87
35,millions,CARDINAL,86
36,French,NORP,78
37,South Africa,GPE,76
38,Christmas,DATE,75
39,Indian,NORP,74
40,this year,DATE,71
41,Wuhan,GPE,69
42,Beijing,GPE,68
43,five minutes,TIME,66
44,thousands,CARDINAL,65
45,three,CARDINAL,62
46,AstraZeneca,ORG,62
47,Brussels,GPE,61
48,Kenya,GPE,61
49,Joe Biden,PERSON,60
50,DW Business - Europe,ORG,60
51,British,NORP,59
52,Poland,GPE,59
53,Pakistan,GPE,59
54,South American,NORP,58
55,One,CARDINAL,57
56,DW Business Africa,ORG,53
57,Britain,GPE,53
58,2021,DATE,53
59,Asia,LOC,50
60,Greece,GPE,50
61,Thousands,CARDINAL,49
62,Israel,GPE,48
63,third,ORDINAL,48
64,Lufthansa,ORG,48
65,South Korea,GPE,48
66,Arab,NORP,48
67,Australia,GPE,47
68,Turkey,GPE,47
69,Paris,GPE,46
70,DW Business – Europe & America,ORG,46
71,Hong Kong,GPE,46
72,Mexico,GPE,44
73,Inside Europe,LOC,44
74,Iran,GPE,44
75,Belgium,GPE,42
76,Kashmir,LOC,41
77,Biden,PERSON,40
78,London,GPE,39
79,Netherlands,GPE,39
80,Trump,PERSON,39
81,Spanish,NORP,39
82,Bavaria,GPE,39
83,Sweden,GPE,38
84,Bundesliga,LOC,37
85,Russian,NORP,37
86,Hungary,GPE,36
87,Dutch,NORP,35
88,Coronavirus,ORG,34
89,Italian,NORP,34
90,Japanese,NORP,33
91,March,DATE,32
92,years,DATE,32
93,hundreds,CARDINAL,32
94,Tokyo,GPE,31
95,Media Center,ORG,31
96,Jens Spahn,PERSON,31
97,months,DATE,31
98,The World Health Organization,ORG,30
99,Asian,NORP,30
100,Nigeria,GPE,30
101,Monday,DATE,30
102,Uganda,GPE,30
103,Denmark,GPE,29
104,weeks,DATE,29
105,Boris Johnson,PERSON,29
106,Trump,ORG,29
107,Corona,GPE,29
108,Ghana,GPE,28
109,Moscow,GPE,28
110,New Zealand,GPE,28
111,Indonesia,GPE,27
112,summer,DATE,27
113,this week,DATE,26
114,DW Business – Europe,ORG,26
115,Pfizer,PERSON,26
116,Muslims,NORP,26
117,South African,NORP,26
118,the European Union,ORG,25
119,the World Health Organization,ORG,25
120,Austria,GPE,25
121,April,DATE,25
122,Amazon,ORG,24
123,Madrid,GPE,24
124,Turkish,NORP,24
125,American,NORP,24
126,19.05.2020,DATE,24
127,DW Business,ORG,24
128,Thailand,GPE,24
129,Ethiopia,GPE,23
130,Hundreds,CARDINAL,23
131,Merkel,PERSON,23
132,billions,CARDINAL,23
133,the United States,GPE,23
134,Lebanon,GPE,23
135,DW Business - Europe & America,ORG,23
136,England,GPE,22
137,Zimbabwe,GPE,22
138,year,DATE,22
139,a year,DATE,22
140,Cologne,GPE,22
141,Americans,NORP,22
142,Belgian,NORP,22
143,Two,CARDINAL,21
144,Sunday,DATE,21
145,Ireland,GPE,21
146,four,CARDINAL,21
147,Argentina,GPE,21
148,Saudi Arabia,GPE,21
149,five,CARDINAL,21
150,Portugal,GPE,21
151,Frankfurt,GPE,20
152,Myanmar,GPE,20
153,Africans,NORP,20
154,winter,DATE,20
155,Saturday,DATE,20
156,Olympics,EVENT,20
157,Munich,GPE,20
158,Wednesday,DATE,20
159,Bangladesh,GPE,20
160,DW Business – Europe & Asia,ORG,20
161,Philippines,GPE,20
162,10,CARDINAL,19
163,DW Travel,ORG,19
164,last year,DATE,19
165,Taiwan,GPE,19
166,"100,000",CARDINAL,19
167,Canada,GPE,19
168,Vietnam,GPE,19
169,zero,CARDINAL,19
170,10.04.2020,CARDINAL,19
171,18.05.2020,CARDINAL,19
172,1 million,CARDINAL,18
173,16,CARDINAL,18
174,annual,DATE,18
175,15.04.2020,CARDINAL,18
176,Bavarian,NORP,18
177,30-minute,TIME,18
178,Europeans,NORP,18
179,Latest,ORG,17
180,27.03.2020,DATE,17
181,17.03.2020,CARDINAL,17
182,Australian,NORP,17
183,New Delhi,GPE,17
184,30.04.2020,CARDINAL,17
185,Jens Thurau,PERSON,17
186,First,ORDINAL,17
187,Austrian,NORP,17
188,White House,ORG,17
189,Switzerland,GPE,16
190,Heiko Maas,PERSON,16
191,Friday,DATE,16
192,Leyen,GPE,16
193,Emmanuel Macron,PERSON,16
194,Greek,NORP,16
195,18.03.2020,CARDINAL,16
196,16.03.2020,CARDINAL,16
197,21.05.2020,CARDINAL,16
198,Bernd Riegert,PERSON,16
199,The European Commission,ORG,16
200,May,DATE,16
201,South Korean,NORP,16
202,Airbus,ORG,16
203,South Africa's,GPE,15
204,DW Business - Africa,ORG,15
205,Thursday,DATE,15
