,entity,label,occurrences
0,Ireland,GPE,8130
1,Irish,NORP,2945
2,first,ORDINAL,2425
3,UK,GPE,2085
4,today,DATE,2015
5,Dublin,GPE,1853
6,US,GPE,1759
7,Coronation Street,FAC,1671
8,one,CARDINAL,1194
9,two,CARDINAL,1128
10,second,ORDINAL,977
11,The Irish Sun,ORG,955
12,China,GPE,931
13,Northern Ireland,GPE,858
14,Italy,GPE,772
15,EU,ORG,701
16,three,CARDINAL,680
17,Europe,LOC,677
18,Christmas,DATE,623
19,Britain,GPE,558
20,GAA,ORG,554
21,this evening,TIME,541
22,four,CARDINAL,533
23,yesterday,DATE,528
24,Covid,PERSON,525
25,Donald Trump,PERSON,521
26,State,ORG,520
27,Spain,GPE,518
28,ITV,ORG,510
29,daily,DATE,501
30,2020,DATE,482
31,5,CARDINAL,481
32,next week,DATE,480
33,France,GPE,457
34,London,GPE,455
35,five,CARDINAL,452
36,Boris Johnson,PERSON,431
37,British,NORP,423
38,tonight,TIME,411
39,Monday,DATE,397
40,Wuhan,GPE,394
41,Two,CARDINAL,392
42,One,CARDINAL,383
43,this week,DATE,383
44,Coronation Street's,FAC,368
45,Tony Holohan,PERSON,363
46,ICU,ORG,360
47,England,GPE,360
48,HSE,ORG,351
49,the Department of Health,ORG,346
50,this year,DATE,345
51,Germany,GPE,338
52,third,ORDINAL,337
53,Simon Harris,PERSON,335
54,Chinese,NORP,332
55,six,CARDINAL,327
56,Leo Varadkar,PERSON,325
57,last night,TIME,325
58,Friday,DATE,324
59,March,DATE,321
60,last week,DATE,319
61,Three,CARDINAL,319
62,Sunday,DATE,309
63,10,CARDINAL,302
64,European,NORP,292
65,Covid,NORP,291
66,The Irish Sun,WORK_OF_ART,289
67,The Department of Health,ORG,287
68,Brits,NORP,275
69,Cabinet,ORG,275
70,evening,TIME,267
71,thousands,CARDINAL,263
72,2021,DATE,263
73,Australia,GPE,262
74,Saturday,DATE,258
75,New York,GPE,251
76,Coronation Street’s,ORG,243
77,two weeks,DATE,243
78,First,ORDINAL,243
79,Brexit,PERSON,242
80,"100,000",CARDINAL,241
81,Tuesday,DATE,241
82,Five,CARDINAL,238
83,14-day,DATE,231
84,Premier League,ORG,231
85,3,CARDINAL,220
86,Today,DATE,219
87,months,DATE,215
88,Wednesday,DATE,214
89,Six,CARDINAL,212
90,Italian,NORP,212
91,French,NORP,211
92,Taoiseach,PERSON,211
93,April,DATE,208
94,tomorrow,DATE,207
95,AstraZeneca,ORG,207
96,Reuters,ORG,198
97,last year,DATE,195
98,Trump,PERSON,191
99,Thursday,DATE,190
100,Coronation Street's,ORG,190
101,Brazil,GPE,188
102,NPHET,ORG,186
103,weeks,DATE,186
104,Taoiseach,ORG,185
105,Paul Reid,PERSON,177
106,Coronavirus,ORG,177
107,The Irish Times,ORG,176
108,seven,CARDINAL,174
109,Four,CARDINAL,173
110,13,CARDINAL,172
111,RTE,ORG,170
112,12,CARDINAL,170
113,24 hours,TIME,170
114,eight,CARDINAL,168
115,September,DATE,166
116,summer,DATE,166
117,Health,ORG,166
118,20,CARDINAL,166
119,14,CARDINAL,165
120,zero,CARDINAL,164
121,German,NORP,163
122,Spanish,NORP,161
123,North,LOC,160
124,January,DATE,159
125,each evening,TIME,159
126,11,CARDINAL,158
127,New Zealand,GPE,157
128,"1,000",CARDINAL,156
129,Pfizer,PERSON,156
130,WHO,ORG,156
131,Garda,PERSON,155
132,17,CARDINAL,154
133,hundreds,CARDINAL,154
134,PPE,ORG,154
135,IRELAND,PERSON,153
136,Biden,PERSON,152
137,Trump,ORG,152
138,Johnson,PERSON,150
139,100,CARDINAL,148
140,16,CARDINAL,148
141,Explainer,PERSON,145
142,year,DATE,144
143,Americans,NORP,142
144,May,DATE,141
145,Thousands,CARDINAL,140
146,Joe Biden,PERSON,138
147,18,CARDINAL,138
148,this morning,TIME,138
149,White House,ORG,137
150,15,CARDINAL,135
151,Laois,GPE,135
152,TheJournal.ie - Breaking Irish and International News,WORK_OF_ART,135
153,India,GPE,134
154,Paris,GPE,134
155,nine,CARDINAL,133
156,Varadkar,ORG,132
157,BBC,ORG,131
158,June,DATE,131
159,Stephen Donnelly,PERSON,131
160,millions,CARDINAL,131
161,last month,DATE,126
162,Offaly,GPE,126
163,CORONATION Street’s,ORG,124
164,Taoiseach Leo Varadkar,PERSON,124
