,entity,label,occurrences
0,New Zealand,GPE,3906
1,NZ,GPE,1770
2,US,GPE,1464
3,first,ORDINAL,1449
4,RNZ News,ORG,1337
5,today,DATE,1330
6,COVID-19,PERSON,1270
7,two,CARDINAL,997
8,Auckland,GPE,988
9,one,CARDINAL,956
10,3,CARDINAL,919
11,China,GPE,908
12,19,CARDINAL,886
13,Herald New York Times,ORG,861
14,Jacinda Ardern,PERSON,842
15,Australia,GPE,810
16,2,CARDINAL,757
17,New Zealand's,GPE,685
18,UK,GPE,673
19,COVID-19,PRODUCT,646
20,RNZ,ORG,608
21,New Zealanders,NORP,601
22,Wellington,GPE,557
23,three,CARDINAL,526
24,Two,CARDINAL,513
25,second,ORDINAL,488
26,Kiwis,GPE,444
27,Christchurch,ORG,443
28,One,CARDINAL,413
29,4,CARDINAL,409
30,2020,DATE,402
31,Donald Trump,PERSON,399
32,Australian,NORP,386
33,Auckland,PERSON,376
34,1,CARDINAL,354
35,four,CARDINAL,336
36,Ashley Bloomfield,PERSON,332
37,Auckland,NORP,324
38,Kiwi,ORG,323
39,Monday,DATE,293
40,Kiwis,PERSON,277
41,Chinese,NORP,265
42,Wuhan,GPE,264
43,Covid,PERSON,264
44,Europe,LOC,259
45,Friday,DATE,259
46,New Zealand’s,GPE,256
47,Trump,PERSON,255
48,daily,DATE,255
49,Melbourne,GPE,253
50,Italy,GPE,249
51,Nelson,PERSON,249
52,five,CARDINAL,245
53,Herald Video,ORG,237
54,French,NORP,231
55,India,GPE,223
56,Three,CARDINAL,223
57,Thursday,DATE,208
58,Hamilton,PERSON,206
59,UN,ORG,206
60,Fiji,GPE,206
61,Wednesday,DATE,202
62,NRL,ORG,201
63,Victoria,GPE,200
64,Sunday,DATE,197
65,2021,DATE,196
66,Govt,ORG,195
67,Taranaki,GPE,190
68,Kiwi,PERSON,188
69,this week,DATE,187
70,Pacific,LOC,184
71,thousands,CARDINAL,178
72,Today,DATE,175
73,Trump,ORG,172
74,Chris Hipkins,PERSON,170
75,Tuesday,DATE,168
76,Air New Zealand,ORG,166
77,yesterday,DATE,166
78,Marlborough,GPE,166
79,six,CARDINAL,162
80,Alert Level,PERSON,160
81,10,CARDINAL,160
82,Ministry of Health,ORG,159
83,the Ministry of Health,ORG,158
84,British,NORP,158
85,Scoop News,ORG,156
86,First,ORDINAL,153
87,Sydney,GPE,151
88,Boris Johnson,PERSON,151
89,Four,CARDINAL,150
90,London,GPE,148
91,Grant Robertson,PERSON,147
92,third,ORDINAL,143
93,Air NZ,ORG,142
94,New York,GPE,141
95,hundreds,CARDINAL,141
96,Saturday,DATE,140
97,PNG,ORG,140
98,Japan,GPE,140
99,this year,DATE,140
100,Christmas,DATE,138
101,Cabinet,ORG,138
102,America,GPE,137
103,Lockdown,ORG,137
104,Māori,PERSON,135
105,David Seymour,PERSON,135
106,Five,CARDINAL,131
107,Winston Peters,PERSON,130
108,U.S.,GPE,130
109,March,DATE,128
110,the United States,GPE,126
111,weeks,DATE,126
112,months,DATE,126
113,France,GPE,124
114,Brazil,GPE,123
115,Herald Financial Times,ORG,121
116,The Ministry of Health,ORG,120
117,Britain,GPE,118
118,Sweden,GPE,117
119,Judith Collins,PERSON,117
120,Covid,NORP,116
121,millions,CARDINAL,115
122,next week,DATE,114
123,Americans,NORP,114
124,PPE,ORG,114
125,WHO,ORG,113
126,annual,DATE,111
127,Thousands,CARDINAL,110
128,Spain,GPE,110
129,zero,CARDINAL,109
130,Dunedin,PERSON,108
131,Pfizer,PERSON,106
132,Parliament,ORG,106
133,two weeks,DATE,104
134,Biden,PERSON,103
135,seven,CARDINAL,102
136,12,CARDINAL,101
137,Queenstown,GPE,99
138,5,CARDINAL,99
139,Simon Bridges,PERSON,98
140,David Clark,PERSON,97
141,Six,CARDINAL,95
142,Hundreds,CARDINAL,95
143,Polynesia,GPE,95
144,April,DATE,93
145,11,CARDINAL,92
146,tomorrow,DATE,92
147,Coronavirus,ORG,90
148,Government,ORG,90
149,South Korea,GPE,90
150,National,ORG,88
151,Election 2020,DATE,88
152,Rotorua,ORG,88
153,European,NORP,88
154,trans-Tasman,NORP,88
155,England,GPE,88
156,American,NORP,87
157,this morning,TIME,87
158,Palmerston,GPE,86
159,White House,ORG,84
160,Russia,GPE,84
161,Siouxsie Wiles,PERSON,84
162,13,CARDINAL,83
163,Waikato,PERSON,83
164,nine,CARDINAL,83
165,German,NORP,83
166,last year,DATE,82
167,Auckland Airport,FAC,82
168,100,CARDINAL,80
169,Italian,NORP,79
170,last week,DATE,79
171,covid-19,PERSON,79
172,Northland,ORG,78
173,this weekend,DATE,78
174,Timaru,ORG,78
175,DHB,ORG,78
176,year,DATE,78
177,South Auckland,GPE,78
