entity, label, count
Coronation Street, FAC, 332
Brussels, GPE, 90
Coronation Street's, FAC, 79
ITV, ORG, 61
Paris, GPE, 58
Belgian, NORP, 39
Georgia May Foote, ORG, 39
Coronation Street's, ORG, 37
"Soaps, News", ORG, 34
Christmas, DATE, 34
first, ORDINAL, 30
Daily Mail, ORG, 27
Wednesday, DATE, 26
Gossip & More, ORG, 26
Kym Marsh, PERSON, 25
Belgium, GPE, 23
Callum Logan, PERSON, 23
two, CARDINAL, 22
Catherine Tyldesley, PERSON, 21
one, CARDINAL, 21
London, GPE, 21
UK, GPE, 20
Friday, DATE, 19
| TV & Radio, ORG, 19
Weatherfield, ORG, 18
night, TIME, 18
Monday, DATE, 18
Sarah Harding, PERSON, 17
Coronation Street, ORG, 17
tonight, TIME, 16
Guardian, ORG, 16
Carla Connor, PERSON, 16
Sean Ward, PERSON, 16
US, GPE, 16
Brooke Vincent, PERSON, 15
Europe, LOC, 15
Michelle Keegan, PERSON, 15
Carla, PERSON, 15
Saturday, DATE, 15
Tuesday, DATE, 14
60th, ORDINAL, 14
Ryan Thomas, PERSON, 14
Thursday, DATE, 13
Peter Baldwin, PERSON, 13
ITV News, ORG, 13
Callum, ORG, 13
Sunday, DATE, 13
Strictly Come Dancing, WORK_OF_ART, 12
BBC, ORG, 12
Coronation Street, LOC, 12
British, NORP, 12
White House, ORG, 12
Tracy, PERSON, 12
Shayne Ward, PERSON, 11
today, DATE, 11
Simon Gregson, PERSON, 11
three, CARDINAL, 11
ISIS, ORG, 10
Corrie, PERSON, 10
Manchester, DATE, 10
Craig Charles, PERSON, 10
Liz Dawn, PERSON, 10
Sarah, PERSON, 9
24-year-old, DATE, 9
2015, DATE, 9
Tina O'Brien, PERSON, 9
Tracy Barlow, PERSON, 9
Salah Abdeslam, PERSON, 9
French, NORP, 9
Helen Flanagan, PERSON, 8
Kate, PERSON, 8
France, GPE, 8
Derek Wilton, PERSON, 8
Britain, GPE, 8
Rob Donovan, PERSON, 8
Coronation, NORP, 8
four, CARDINAL, 8
David Platt, PERSON, 8
Georgia, GPE, 8
Liz McDonald, PERSON, 8
Sally Webster, PERSON, 7
Sarah Platt, PERSON, 7
Ken Barlow, PERSON, 7
Corrie, GPE, 7
Texas Southern University, ORG, 7
Sally, PERSON, 7
Leanne, ORG, 7
Robert Preston, PERSON, 7
BBC News, ORG, 7
Gossip & More | Daily Star, ORG, 7
Ted Robbins, PERSON, 6
Roy Cropper, PERSON, 6
David Neilson, PERSON, 6
82, CARDINAL, 6
next week, DATE, 6
Rob, PERSON, 6
