entity, label, count
Tuesday, DATE, 16
Brussels, GPE, 16
U.S., GPE, 13
Monday, DATE, 13
White House, ORG, 12
California, GPE, 10
Two, CARDINAL, 10
Wednesday, DATE, 10
Friday, DATE, 10
RT USA News, ORG, 10
two, CARDINAL, 9
Corona, GPE, 9
Texas, GPE, 9
US, GPE, 9
Thursday, DATE, 8
afternoon, TIME, 8
Mexico, GPE, 8
Sunday, DATE, 8
Navy, ORG, 7
Joint Base Andrews, PERSON, 7
UCLA, ORG, 7
three, CARDINAL, 6
The White House, ORG, 6
Cleveland, GPE, 6
Adriana Coronado, PERSON, 6
first, ORDINAL, 6
Washington, GPE, 5
morning, TIME, 5
one, CARDINAL, 5
UK, GPE, 5
Reuters, ORG, 5
German, NORP, 5
Alabama, GPE, 5
Myanmar, GPE, 5
Saturday, DATE, 5
Dallas, GPE, 5
Los Angeles, GPE, 4
CDC, ORG, 4
Al Jazeera, ORG, 4
evening, TIME, 4
San Diego, GPE, 4
Limitless - Close Encounters, ORG, 4
third, ORDINAL, 4
second, ORDINAL, 4
Arkansas State University, ORG, 4
Arkansas, GPE, 4
Paris, GPE, 4
Muslim, NORP, 4
Lockdown, GPE, 4
Kashmir, LOC, 4
Republican, NORP, 4
the United States, GPE, 3
Joint Base Andrews, FAC, 3
millions, CARDINAL, 3
2016, DATE, 3
Donald Trump's, PERSON, 3
Europe, LOC, 3
GOP, ORG, 3
Oklahoma, GPE, 3
China, GPE, 3
RT World News, ORG, 3
RT World, ORG, 3
2009, DATE, 3
dozens, CARDINAL, 3
New Jersey, GPE, 3
2, CARDINAL, 3
today, DATE, 3
13-year-old, DATE, 3
nine, CARDINAL, 3
five, CARDINAL, 3
Capitol, FAC, 3
North Carolina, GPE, 3
British, NORP, 3
Thailand, GPE, 3
Detroit, GPE, 3
UN, ORG, 3
Maryland, GPE, 3
Germany, GPE, 3
Cuba, GPE, 3
1, CARDINAL, 2
Azusa, GPE, 2
Donald Trump, PERSON, 2
the Centers for Disease Control and Prevention, ORG, 2
Georgia, GPE, 2
Hebron, GPE, 2
USS Coronado, PRODUCT, 2
Molenbeek, GPE, 2
Spanish, NORP, 2
Spain, GPE, 2
Houston, GPE, 2
Bono, PERSON, 2
Nice, GPE, 2
Peek 1, DATE, 2
Yahoo News, ORG, 2
Brian, PERSON, 2
Rebecca, GPE, 2
Rebecca catches Brian, PERSON, 2
NZT, ORG, 2
Limitless, ORG, 2
Tuesday, March 8th at 10/9c, DATE, 2
CBS, ORG, 2
Hillary Clinton, PERSON, 2
French, NORP, 2
Q&A, ORG, 2
CNN, ORG, 2
Brazilian, NORP, 2
Zika, PERSON, 2
Shades Valley High School, ORG, 2
Clinton, PERSON, 2
Rams, PERSON, 2
L.A., GPE, 2
Tony Warren, PERSON, 2
Coronation Street, FAC, 2
this afternoon, TIME, 2
University of Toronto, ORG, 2
Ohio, GPE, 2
Lockdown, ORG, 2
EU, ORG, 2
4, CARDINAL, 2
Four, CARDINAL, 2
Venezuela, GPE, 2
D.C., GPE, 2
seven, CARDINAL, 2
Utah, GPE, 2
16-year-old, DATE, 2
Biles, PRODUCT, 2
Simone Biles, PERSON, 2
Aly Raisman, PERSON, 2
$600 million, MONEY, 2
Al Jazeera Death, ORG, 2
the White House, FAC, 2
FBI, ORG, 2
Africa, LOC, 2
the White House, ORG, 2
90th, ORDINAL, 2
Americas, LOC, 2
Pennsylvania, GPE, 2
12, CARDINAL, 2
four, CARDINAL, 2
U.S. Navy, ORG, 2
India, GPE, 2
America, GPE, 2
ABC News, ORG, 2
David Muir, PERSON, 2
anti-India, ORG, 2
Chinese, NORP, 2
Wukan, PERSON, 2
hours, TIME, 2
Helen Flanagan, PERSON, 2
Katherine Kelly, PERSON, 2
Pennsylvania Avenue, FAC, 2
Calif., GPE, 2
Air Force One, PRODUCT, 2
Hundreds, CARDINAL, 2
Arizona, GPE, 2
Pentagon, ORG, 2
Turkish, NORP, 2
Kurdish, NORP, 2
North America, LOC, 2
Ohio College, ORG, 2
Earth, LOC, 2
PHOTOS, ORG, 2
21-day, DATE, 2
the Republican National Convention, ORG, 2
Japan, GPE, 2
Walter Isaacson, PERSON, 2
Chicago, GPE, 2
3, CARDINAL, 1
RT USA News One, ORG, 1
approximately a third, CARDINAL, 1
American, NORP, 1
Andrews Air Force, ORG, 1
NEWSDAY, ORG, 1
Star Wars, WORK_OF_ART, 1
Farmingdale State College, ORG, 1
9:45 a.m., TIME, 1
