entity, label, count
Coronation Street, FAC, 371
Coronation Street's, FAC, 104
ITV, ORG, 79
tonight, TIME, 59
Pat Phelan, PERSON, 56
Coronation Street's, ORG, 54
Coronation Street’s, ORG, 45
first, ORDINAL, 39
Weatherfield, ORG, 37
Catherine Tyldesley, PERSON, 36
Kate, PERSON, 35
next week, DATE, 35
David Platt, PERSON, 34
CORONATION Street’s, ORG, 29
Kym Marsh, PERSON, 27
Lucy Fallon, PERSON, 26
Jack P Shepherd, ORG, 25
Sinead Tinker, PERSON, 24
Coronation Street, LOC, 22
Peter Barlow, PERSON, 22
Jim McDonald, PERSON, 22
Shayne Ward, PERSON, 21
Leanne Battersby, PERSON, 21
Josh Tucker, PERSON, 19
two, CARDINAL, 19
Sally Metcalfe, PERSON, 19
Liz McDonald, PERSON, 19
second, ORDINAL, 17
Ryan Thomas, PERSON, 17
Alan Halsall, PERSON, 17
Irish, NORP, 16
Coronation Street’s, FAC, 16
Helen Flanagan, PERSON, 16
one, CARDINAL, 15
Rana Nazir, PERSON, 14
last night, TIME, 14
Gary Windass, PERSON, 14
today, DATE, 14
Rana, PERSON, 14
Alex Bain, PERSON, 13
Sally, PERSON, 13
Eileen, PERSON, 13
Audrey Roberts, PERSON, 13
Ali Neeson, PERSON, 13
Liz, PERSON, 12
Steve McDonald, PERSON, 12
this week, DATE, 12
Phelan, PERSON, 11
Eva Price, PERSON, 11
KYM Marsh, ORG, 11
Carla, PERSON, 11
Gina Seddon, PERSON, 11
Eileen Grimshaw, PERSON, 11
Carla Connor, PERSON, 11
Susie, PERSON, 10
34, DATE, 10
CORONATION Street, ORG, 10
Daniel Osbourne, PERSON, 10
Nicola Thorp, ORG, 10
Sue Nicholls, PERSON, 10
Coronas, ORG, 10
Nick Tilsley, PERSON, 10
Gemma Winter, PERSON, 10
Charlie Lawson, PERSON, 10
Christmas, DATE, 10
Toyah Battersby, PERSON, 9
Michelle Connor, PERSON, 9
Friday, DATE, 9
Brooke Vincent, PERSON, 9
2018, DATE, 9
Tim, PERSON, 9
Pat Phelan's, PERSON, 9
Ireland, GPE, 9
Antony Cotton, PERSON, 9
Scott Sinclair, PERSON, 9
Ryan Connor, PERSON, 9
Steve, PERSON, 9
2019, DATE, 9
David, PERSON, 9
three, CARDINAL, 9
Jack, PERSON, 8
CORONATION Street, FAC, 8
Gary, PERSON, 8
Pat Phelan’s, PERSON, 8
Michael Le Vell, PERSON, 8
Coronation Street, ORG, 8
Sophie Webster, PERSON, 8
James Burrows, PERSON, 8
Adam Barlow, PERSON, 8
Britain, GPE, 8
Tracy Barlow, PERSON, 8
this evening, TIME, 8
Connor McIntyre, PERSON, 8
five, CARDINAL, 8
British, NORP, 8
Beverley Callard, PERSON, 8
Jim, PERSON, 8
Jack P. Shepherd, PERSON, 8
David Platt's, PERSON, 8
Imran Habeeb, PERSON, 8
UK, GPE, 8
Kevin Webster, PERSON, 8
The Irish Sun Visit, ORG, 8
Jane Danson, PERSON, 8
Jack Webster, PERSON, 7
Twitter, PRODUCT, 7
Michelle, PERSON, 7
Michael Le, PERSON, 7
yesterday, DATE, 7
1918, DATE, 7
Corrie, PERSON, 7
Duncan, PERSON, 7
Lewis Archer, PERSON, 7
Bill Roache, PERSON, 7
Katie McGlynn, PERSON, 7
Johnny Connor, PERSON, 7
Ben Price, PERSON, 7
Katie, PERSON, 7
Roxanne Pallett, PERSON, 7
Dublin, GPE, 7
Aidan, GPE, 7
Abi Franklin, PERSON, 7
Roy, PERSON, 7
Alya Nazir, PERSON, 7
Evelyn Plummer, PERSON, 7
Hanni Treweek, PERSON, 7
16, CARDINAL, 6
Robert, PERSON, 6
Georgia May Foote, ORG, 6
New Year, EVENT, 6
Shona Ramsey, PERSON, 6
Kate Connor, PERSON, 6
Jenny Connor, PERSON, 6
Peter Armitage, PERSON, 6
CORRIE, ORG, 6
seven years, DATE, 6
Bhavna Limbachia, PERSON, 6
Eva, ORG, 6
four years, DATE, 6
Ryan, PERSON, 6
France, GPE, 6
December, DATE, 6
Love Island, LOC, 6
Mary Taylor, PERSON, 6
Sean Tully, PERSON, 6
Nicola, ORG, 6
Strictly Come Dancing, WORK_OF_ART, 6
Daniel Brocklebank, PERSON, 6
Ryan Clayton, PERSON, 5
White House, ORG, 5
Hayley Tamaddon, PERSON, 5
Maria Connor, PERSON, 5
Weatherfield, GPE, 5
four, CARDINAL, 5
seven, CARDINAL, 5
Jack P Shepherd, PERSON, 5
Lucy Mecklenburgh, PERSON, 5
London, GPE, 5
35-year-old, DATE, 5
| Irish Examiner, ORG, 5
Irish Mirror Online, ORG, 5
Simon Barlow, PERSON, 5
Simon Gregson, PERSON, 5
Jennie McAlpine, PERSON, 5
34-year-old, DATE, 5
US, GPE, 5
night, TIME, 5
Ronan, PERSON, 5
Faye Brookes, PERSON, 5
Rob Mallard, PERSON, 5
Ali, PERSON, 5
Hannah, PERSON, 5
Bill Roache, ORG, 5
Gail Platt, PERSON, 5
Roy Cropper, PERSON, 5
Coronation, NORP, 5
Nigel Havers, PERSON, 5
CORONATION Street, LOC, 5
six months, DATE, 5
Dev Alahan, PERSON, 5
Maureen Lipman, PERSON, 5
Jenny Bradley, PERSON, 5
Alison King, PERSON, 5
Bethany Platt, PERSON, 4
Sarah, PERSON, 4
Gail, PERSON, 4
Sarah Platt, PERSON, 4
Peter, PERSON, 4
42, DATE, 4
12-week, DATE, 4
the age of 78, DATE, 4
Albert Square, FAC, 4
250,000, MONEY, 4
Manchester City, GPE, 4
27, DATE, 4
Manchester, DATE, 4
Gail Rodwell, PERSON, 4
Cobbles, PERSON, 4
Tim Metcalfe, PERSON, 4
Underworld, ORG, 4
Paris, GPE, 4
Wednesday, DATE, 4
Richard Hawley, PERSON, 4
30, DATE, 4
Johnny Connor, ORG, 4
Levi Selby, PERSON, 4
30th, ORDINAL, 4
next year, DATE, 4
Nicola Rubinstein, ORG, 4
Lucy, PERSON, 4
