entity, label, count
Kashmir, LOC, 22
India, GPE, 10
Germany, GPE, 4
New Delhi, GPE, 4
German, NORP, 4
US, GPE, 3
16, CARDINAL, 3
Indian, NORP, 3
New Delhi's, GPE, 3
DW, ORG, 2
Pakistan, GPE, 2
Hong Kong, GPE, 2
China, GPE, 2
70 years, DATE, 2
Thailand, GPE, 2
Maha Vajiralongkorn, PERSON, 2
Baden-Württemberg, GPE, 2
first, ORDINAL, 2
Malaysia, GPE, 2
Sultan Abdullah, PERSON, 2
Conservative Party, ORG, 2
two, CARDINAL, 2
Rifat Fareed, PERSON, 2
recent weeks, DATE, 2
Hawaii, GPE, 2
Lebanon, GPE, 2
13.09.2019, DATE, 1
Jauhar Saleem, PERSON, 1
Communist, NORP, 1
Communist Party, ORG, 1
the People's Republic of China, GPE, 1
01.05.2019, DATE, 1
The Thai Royal Gazette, ORG, 1
years, DATE, 1
DW Business Africa, ORG, 1
Zimbabwe, GPE, 1
Africa, LOC, 1
Thai, NORP, 1
Tens of thousands, CARDINAL, 1
five-year, DATE, 1
Ahmad Shah, PERSON, 1
two years, DATE, 1
Russian, NORP, 1
the "International Lounge, ORG, 1
the Green Fence |, ORG, 1
Neil King, PERSON, 1
Gabriel Borrud, PERSON, 1
′a, PERSON, 1
The World Health Organization, ORG, 1
One, CARDINAL, 1
Bavaria | DW Travel, ORG, 1
Bavaria, GPE, 1
Macron, PERSON, 1
Trump, ORG, 1
French, NORP, 1
White House, ORG, 1
the last year, DATE, 1
Caribbean, LOC, 1
the Church of Scientology, ORG, 1
Samoa, ORG, 1
two days, DATE, 1
200,000, CARDINAL, 1
62, CARDINAL, 1
Conflict Zone, LOC, 1
BJP, ORG, 1
Pulwama, GPE, 1
Kashmiris, LOC, 1
hours, TIME, 1
two-month, DATE, 1
Kashmiri, ORG, 1
36 hours, TIME, 1
WHO, ORG, 1
World Bank, ORG, 1
North Sea, LOC, 1
Lower Saxony's, PERSON, 1
Pearl Harbor, FAC, 1
Pearl Harbor-Hickam, FAC, 1
Honolulu, GPE, 1
two hours, TIME, 1
Saad Hariri, PERSON, 1
two-week, DATE, 1
2 months, DATE, 1
Two months, DATE, 1
Narendra Modi's, PERSON, 1
′siege′, GPE, 1
19.08.2019, DATE, 1
two weeks, DATE, 1
Srinagar, GPE, 1
EU, ORG, 1
Leyen′s, PRODUCT, 1
Commission, ORG, 1
Ursula, GPE, 1
Leyen, GPE, 1
the European Commission, ORG, 1
three, CARDINAL, 1
