entity, label, count
Ireland, GPE, 1194
first, ORDINAL, 444
Irish, NORP, 398
today, DATE, 368
UK, GPE, 310
EU, ORG, 258
Dublin, GPE, 252
US, GPE, 212
Covid, PERSON, 207
one, CARDINAL, 203
AstraZeneca, ORG, 188
Northern Ireland, GPE, 143
5, CARDINAL, 131
this evening, TIME, 129
two, CARDINAL, 128
third, ORDINAL, 120
Covid, NORP, 119
2020, DATE, 114
State, ORG, 112
three, CARDINAL, 105
Europe, LOC, 103
four, CARDINAL, 101
last year, DATE, 96
2021, DATE, 91
Coronation Street, FAC, 91
second, ORDINAL, 87
France, GPE, 86
next week, DATE, 85
this week, DATE, 85
yesterday, DATE, 84
the Department of Health, ORG, 84
HSE, ORG, 78
Britain, GPE, 78
ICU, ORG, 76
GAA, ORG, 76
Brazil, GPE, 74
this year, DATE, 71
January, DATE, 71
five, CARDINAL, 69
daily, DATE, 68
Cabinet, ORG, 68
Leo Varadkar, PERSON, 66
Three, CARDINAL, 64
One, CARDINAL, 63
London, GPE, 61
last week, DATE, 60
Germany, GPE, 60
China, GPE, 59
10, CARDINAL, 59
British, NORP, 59
Biden, PERSON, 58
The Department of Health, ORG, 58
Boris Johnson, PERSON, 56
Two, CARDINAL, 54
Stephen Donnelly, PERSON, 54
April, DATE, 54
England, GPE, 53
French, NORP, 52
ITV, ORG, 51
Five, CARDINAL, 51
European, NORP, 50
Taoiseach, PERSON, 49
Oxford, ORG, 49
NPHET, ORG, 49
the National Public Health Emergency Team, ORG, 48
Christmas, DATE, 48
Brexit, PERSON, 48
Taoiseach, ORG, 48
April 5, DATE, 46
last night, TIME, 46
March, DATE, 46
100,000, CARDINAL, 45
six, CARDINAL, 45
Wuhan, GPE, 45
North, LOC, 44
Paul Reid, PERSON, 44
Australia, GPE, 43
The Irish Times, ORG, 43
TheJournal.ie - Breaking Irish and International News, WORK_OF_ART, 42
Tony Holohan, PERSON, 41
summer, DATE, 40
Covid, ORG, 40
Six, CARDINAL, 40
Kate Garraway, PERSON, 40
February, DATE, 40
Sunday, DATE, 40
Pfizer, PERSON, 40
14, CARDINAL, 39
Joe Biden, PERSON, 39
Friday, DATE, 39
tomorrow, DATE, 38
fourth, ORDINAL, 38
17, CARDINAL, 38
Monday, DATE, 37
a year, DATE, 36
First, ORDINAL, 36
thousands, CARDINAL, 36
tonight, TIME, 36
13, CARDINAL, 36
100, CARDINAL, 35
zero, CARDINAL, 35
Reuters, ORG, 35
South Africa, GPE, 34
St Patrick’s Day, PERSON, 34
16, CARDINAL, 34
Saturday, DATE, 33
Tuesday, DATE, 33
Italy, GPE, 32
Scotland, GPE, 32
Explainer, PERSON, 32
20, CARDINAL, 31
next month, DATE, 31
eight, CARDINAL, 31
PUP, PRODUCT, 31
IRELAND, PERSON, 31
5km, QUANTITY, 31
14-day, DATE, 30
Vaccine, PERSON, 30
months, DATE, 30
South African, NORP, 29
week, DATE, 29
May, DATE, 29
Micheal Martin, PERSON, 29
Australian, NORP, 28
Gardaí, PERSON, 28
Irish Mirror Online, ORG, 28
this afternoon, TIME, 28
18, CARDINAL, 28
Wednesday, DATE, 27
this summer, DATE, 27
June, DATE, 27
Johnson, PERSON, 27
year, DATE, 27
12, CARDINAL, 27
Brazilian, NORP, 26
one year, DATE, 26
11, CARDINAL, 26
Lockdown Ireland, PERSON, 25
Four, CARDINAL, 25
Health, ORG, 25
Galway, GPE, 25
December, DATE, 25
this month, DATE, 25
Thousands, CARDINAL, 25
evening, TIME, 24
Johnson & Johnson, ORG, 24
Thursday, DATE, 24
Mike Ryan, PERSON, 23
Zero, CARDINAL, 23
Lockdown, ORG, 23
Micheál Martin, PERSON, 22
German, NORP, 22
Derek Draper, PERSON, 22
33, CARDINAL, 22
weeks, DATE, 22
Varadkar, ORG, 22
Russia, GPE, 22
nine, CARDINAL, 22
23, CARDINAL, 22
September, DATE, 22
Hundreds, CARDINAL, 21
Netherlands, GPE, 21
Martin, PERSON, 21
New Zealand, GPE, 21
30, CARDINAL, 21
the year, DATE, 21
half, CARDINAL, 21
seven, CARDINAL, 21
the coming weeks, DATE, 21
Garda, PERSON, 21
Moderna, GPE, 21
Gardai, PERSON, 20
EMA, ORG, 20
Nine, CARDINAL, 20
Israel, GPE, 20
25, CARDINAL, 19
Tánaiste Leo Varadkar, PERSON, 19
six months, DATE, 19
2019, DATE, 19
Derek, PERSON, 19
St Patrick's, PERSON, 19
morning, TIME, 19
Eight, CARDINAL, 19
50, CARDINAL, 19
19, CARDINAL, 19
Dutch, NORP, 19
millions, CARDINAL, 19
Easter, ORG, 18
47, CARDINAL, 18
annual, DATE, 18
Leaving Cert, PERSON, 18
Easter, PERSON, 18
RTE, ORG, 18
CSO, ORG, 18
hundreds, CARDINAL, 18
days, DATE, 18
500,000, CARDINAL, 17
Oireachtas, ORG, 17
Arlene Foster, PERSON, 17
15, CARDINAL, 17
two weeks, DATE, 17
CMO, ORG, 17
Seven, CARDINAL, 17
Q&A, ORG, 17
Covid - Independent.ie, PERSON, 17
Ronan Glynn, PERSON, 17
Dublin Airport, FAC, 17
Taoiseach Micheál Martin, PERSON, 16
26, CARDINAL, 16
Limerick, GPE, 16
March 5, DATE, 16
last month, DATE, 16
Today, DATE, 16
Beacon Hospital, ORG, 16
2,000, CARDINAL, 16
July, DATE, 16
Johnny Briggs, PERSON, 16
this morning, TIME, 15
weekly, DATE, 15
Coronation Street's, FAC, 15
WHO, ORG, 15
a week, DATE, 15
winter, DATE, 15
575, CARDINAL, 15
Chinese, NORP, 15
Dubai, GPE, 15
the past year, DATE, 15
Covid Ireland, PERSON, 15
Wales, GPE, 15
years, DATE, 15
Northern Ireland's, GPE, 15
This week, DATE, 15
Independent.ie Ireland, GPE, 15
Level, ORG, 15
Simon Barlow, PERSON, 14
High Court, ORG, 14
ten, CARDINAL, 14
Brits, NORP, 14
Gardai, NORP, 14
April 5th, DATE, 14
the Republic of Ireland, GPE, 14
Ten, CARDINAL, 14
85, DATE, 14
night, TIME, 14
April 12, DATE, 14
Simon Harris, PERSON, 14
525, CARDINAL, 14
Leanne Battersby, PERSON, 14
Philip Nolan, PERSON, 14
54, CARDINAL, 14
the past 24 hours, TIME, 14
America, GPE, 13
3,000, CARDINAL, 13
Last week, DATE, 13
Americans, NORP, 13
Taoiseach Micheál Martin, ORG, 13
Tullamore, PERSON, 13
52, CARDINAL, 13
Cork, GPE, 13
Moderna, PERSON, 13
Donald Trump, PERSON, 13
Dr Ronan Glynn, PERSON, 13
the end of March, DATE, 13
400, CARDINAL, 13
the coming days, DATE, 13
Limerick, ORG, 13
Spain, GPE, 13
the weekend, DATE, 13
Sweden, GPE, 13
the United States, GPE, 13
Italian, NORP, 12
Taoiseach, GPE, 12
Belfast, GPE, 12
Martin, ORG, 12
St Patrick's Day, PERSON, 12
last March, DATE, 12
Helen McEntee, PERSON, 12
the last two weeks, DATE, 12
Irish Times, ORG, 12
Ryan Tubridy, PERSON, 12
Susanna Reid, PERSON, 12
Offaly, GPE, 12
recent weeks, DATE, 12
Paris, GPE, 12
Portugal, GPE, 12
Ireland, PERSON, 12
the European Union, ORG, 12
Washington, GPE, 12
56, CARDINAL, 12
Helen Flanagan, PERSON, 11
NI, GPE, 11
Melbourne, GPE, 11
1, CARDINAL, 11
1,000, CARDINAL, 11
539, CARDINAL, 11
Level 5, FAC, 11
November, DATE, 11
40, CARDINAL, 11
World Cup, EVENT, 11
Almost half, CARDINAL, 11
100, MONEY, 11
29, CARDINAL, 11
Mexico, GPE, 11
60, CARDINAL, 11
500, CARDINAL, 11
Miriam Stoppard, PERSON, 11
mid-February, DATE, 11
Level 5, EVENT, 11
Yasmeen, ORG, 11
Aer Lingus, ORG, 11
2022, DATE, 10
22, CARDINAL, 10
200, CARDINAL, 10
35, CARDINAL, 10
90, CARDINAL, 10
14 days, DATE, 10
21, CARDINAL, 10
PCR, ORG, 10
93, CARDINAL, 10
Mairead Ronan, PERSON, 10
Fianna Fáil, ORG, 10
520, CARDINAL, 10
Taoiseach Micheal Martin, PERSON, 10
the last year, DATE, 10
45, CARDINAL, 10
Love Island, LOC, 10
368, CARDINAL, 10
Mary Lou McDonald, PERSON, 10
28, CARDINAL, 10
