entity, label, occurrences
Coronation Street, FAC, 2679
Coronation Street's, FAC, 553
ITV, ORG, 461
Coronation Street, ORG, 363
tonight, TIME, 342
Pat Phelan, PERSON, 279
Coronation Street's, ORG, 273
Kym Marsh, PERSON, 237
Lucy Fallon, PERSON, 228
London, GPE, 225
Bethany Platt, PERSON, 220
two, CARDINAL, 211
Michelle Connor, PERSON, 192
Ken Barlow, PERSON, 183
first, ORDINAL, 176
Nathan Curtis, PERSON, 167
Helen Flanagan, PERSON, 158
| TV & Radio, ORG, 156
one, CARDINAL, 154
Coronation Street’s, ORG, 143
UK, GPE, 141
Liz Dawn, PERSON, 140
Steve McDonald, PERSON, 139
Coronation Street, LOC, 128
Catherine Tyldesley, PERSON, 127
Michelle, PERSON, 125
Bruno Langley, PERSON, 122
Peter Barlow, PERSON, 121
Weatherfield, ORG, 114
Daniel Osbourne, PERSON, 101
Leanne Battersby, PERSON, 100
Kate, PERSON, 98
today, DATE, 98
Steve, PERSON, 96
Corrie, PERSON, 94
Daily Star, PERSON, 92
Brooke Vincent, PERSON, 90
Ken, PERSON, 87
Monday, DATE, 84
Billy Mayhew, PERSON, 82
Phelan, PERSON, 82
Gary Windass, PERSON, 81
Corona, GPE, 80
Christmas, DATE, 78
Wednesday, DATE, 78
Sinead Tinker, PERSON, 78
David Platt, PERSON, 76
Tracy Barlow, PERSON, 75
Rosie Webster, PERSON, 74
British, NORP, 73
Adam Barlow, PERSON, 73
Anna Windass, PERSON, 71
Rita Tanner, PERSON, 70
three, CARDINAL, 70
Friday, DATE, 66
Neil, PERSON, 66
night, TIME, 66
Katie McGlynn, PERSON, 65
Jennie McAlpine, PERSON, 65
last night, TIME, 64
Andy Carver, PERSON, 64
Aidan, GPE, 63
Ryan Thomas, PERSON, 62
Nick Tilsley, PERSON, 61
Robert Preston, PERSON, 60
US, GPE, 59
Shayne Ward, PERSON, 59
Maria Connor, PERSON, 58
Rob Mallard, PERSON, 58
Coronation Street’s, FAC, 58
Britain, GPE, 58
Michelle Keegan, PERSON, 57
Tuesday, DATE, 57
Todd Grimshaw, PERSON, 57
Vera Duckworth, ORG, 56
Leanne, ORG, 55
Saturday, DATE, 54
Maria, PERSON, 53
Andy, PERSON, 53
Eva Price, PERSON, 53
second, ORDINAL, 52
Chris Harper, PERSON, 51
Sunday, DATE, 50
Daily Mail, ORG, 50
White House, ORG, 49
this evening, TIME, 48
Faye Brookes, PERSON, 48
Thursday, DATE, 48
morning, TIME, 47
Carla Connor, PERSON, 47
Simon Gregson, PERSON, 46
six, CARDINAL, 46
Roy Barraclough, PERSON, 46
Rob Donovan, PERSON, 45
Shona Ramsey, PERSON, 45
2017, DATE, 45
Parliament, ORG, 45
Aidan Connor, PERSON, 45
Ben Price, PERSON, 44
this week, DATE, 44
Jane Danson, PERSON, 44
Manchester, PERSON, 42
Sarah, PERSON, 42
CORONATION Street’s, ORG, 42
Coronation, NORP, 41
The Sun Coronation Street’s, ORG, 40
Ofcom, ORG, 39
Mary Taylor, PERSON, 39
next week, DATE, 38
Paris, GPE, 38
Australian, NORP, 38
Sally Metcalfe, PERSON, 38
HELEN Flanagan, PERSON, 37
Daniel Brocklebank, PERSON, 36
Ken Barlow's, PERSON, 36
Twitter, PRODUCT, 36
Rana Nazir, PERSON, 35
California, GPE, 34
Nathan Curtis, ORG, 34
BBC, ORG, 34
Gary, PERSON, 34
Nicola, ORG, 34
Claire King, PERSON, 34
Australia, GPE, 34
Jack P Shepherd, ORG, 34
Two, CARDINAL, 34
