,entity,label,occurrences
0,Australia,GPE,1167
1,COVID-19,PRODUCT,674
2,first,ORDINAL,608
3,US,GPE,537
4,AstraZeneca,ORG,509
5,COVID-19,PERSON,493
6,Pfizer,PERSON,397
7,Australian,NORP,382
8,Australians,NORP,356
9,UK,GPE,317
10,ABC News,ORG,245
11,Scott Morrison,PERSON,207
12,NSW,ORG,204
13,today,DATE,195
14,two,CARDINAL,171
15,China,GPE,168
16,one,CARDINAL,151
17,Victoria,GPE,150
18,Melbourne,GPE,148
19,Oxford,ORG,141
20,Greg Hunt,PERSON,134
21,Queensland,GPE,130
22,Vaccine,PERSON,129
23,Europe,LOC,124
24,CSL,ORG,116
25,Britain,GPE,113
26,second,ORDINAL,110
27,Russia,GPE,104
28,Donald Trump,PERSON,101
29,EU,ORG,93
30,2021,DATE,87
31,ASX,ORG,86
32,Sydney,GPE,82
33,Chinese,NORP,73
34,Oxford University,ORG,72
35,Monday,DATE,72
36,Moderna,PERSON,71
37,Joe Biden,PERSON,70
38,The West Australian,LOC,69
39,three,CARDINAL,69
40,European,NORP,68
41,this year,DATE,59
42,Moderna,GPE,58
43,British,NORP,58
44,millions,CARDINAL,56
45,Indonesia,GPE,55
46,Russian,NORP,55
47,NRL,ORG,51
48,this week,DATE,51
49,Germany,GPE,50
50,Victorian,NORP,50
51,India,GPE,48
52,Israel,GPE,48
53,next week,DATE,48
54,Italy,GPE,47
55,Two,CARDINAL,47
56,four,CARDINAL,46
57,the United States,GPE,44
58,Americans,NORP,44
59,Friday,DATE,43
60,9News,CARDINAL,43
61,Health,ORG,42
62,Norman,PERSON,42
63,WHO,ORG,42
64,next year,DATE,42
65,New Zealand,GPE,42
66,One,CARDINAL,40
67,West Australian,NORP,40
68,Qantas,ORG,39
69,Morrison,PERSON,39
70,third,ORDINAL,38
71,The West Australian,GPE,37
72,October,DATE,36
73,Brazil,GPE,35
74,South Africa,GPE,35
75,Pauline Hanson,PERSON,34
76,Boris Johnson,PERSON,34
77,Norway,GPE,34
78,Tuesday,DATE,34
79,South Australia,LOC,33
80,TGA,ORG,33
81,March,DATE,33
82,First,ORDINAL,32
83,France,GPE,32
84,Canada,GPE,32
85,Johnson & Johnson,ORG,31
86,UQ,GPE,31
87,Coronavirus Australia,ORG,31
88,2020,DATE,30
89,five,CARDINAL,30
90,Trump,PERSON,30
91,weeks,DATE,29
92,Anthony Fauci,PERSON,28
93,South African,NORP,28
94,Gladys Berejiklian,PERSON,27
95,the Federal Government,ORG,26
96,University of Queensland,ORG,26
97,thousands,CARDINAL,26
98,Biden,PERSON,26
99,months,DATE,26
100,Papua New Guinea,GPE,26
101,90 per cent,MONEY,25
102,Christmas,DATE,24
103,America,GPE,24
104,Thursday,DATE,24
105,Queensland,PERSON,24
106,zero,CARDINAL,24
107,American,NORP,24
108,Sunday,DATE,24
109,FDA,ORG,24
110,Saturday,DATE,23
111,ABC News,WORK_OF_ART,23
112,Brendan Murphy,PERSON,23
113,German,NORP,22
114,Zika,PERSON,22
