,entity,label,occurrences
0,Canada,GPE,1632
1,COVID-19,PRODUCT,1322
2,COVID-19,PERSON,866
3,first,ORDINAL,762
4,The Globe and Mail,ORG,721
5,U.S.,GPE,576
6,Canadians,NORP,426
7,AstraZeneca,ORG,418
8,Pfizer,PERSON,409
9,Canadian,NORP,352
10,Toronto,GPE,328
11,GlobalNews.ca,ORG,267
12,Trudeau,PERSON,254
13,Monday,DATE,245
14,CBC News,ORG,210
15,Alberta,GPE,204
16,Moderna,GPE,193
17,two,CARDINAL,192
18,Tuesday,DATE,179
19,Ottawa,GPE,176
20,China,GPE,172
21,Wednesday,DATE,166
22,one,CARDINAL,165
23,second,ORDINAL,163
24,Health Canada,ORG,163
25,B.C.,GPE,161
26,U.K.,GPE,158
27,B.C.,PERSON,151
28,Friday,DATE,146
29,Ontario,GPE,144
30,today,DATE,142
31,Thursday,DATE,136
32,Justin Trudeau,PERSON,132
33,Moderna,PERSON,126
34,EU,ORG,125
35,Britain,GPE,124
36,Quebec,GPE,122
37,next week,DATE,105
38,Russia,GPE,104
39,this week,DATE,103
40,| CTV News,ORG,99
41,Vancouver Sun,PERSON,95
42,Manitoba,GPE,93
43,Vaccine,PERSON,92
44,HPV,ORG,87
45,Oxford,ORG,81
46,Chinese,NORP,76
47,Biden,PERSON,74
48,the United States,GPE,73
49,Europe,LOC,72
50,Doug Ford,PERSON,71
51,Saturday,DATE,70
52,Vancouver,GPE,70
53,three,CARDINAL,69
54,2021,DATE,69
55,Johnson & Johnson,ORG,65
56,CBC Radio,ORG,65
57,Sunday,DATE,65
58,Americans,NORP,59
59,millions,CARDINAL,58
60,India,GPE,57
61,British,NORP,57
62,third,ORDINAL,56
63,Brazil,GPE,55
64,this year,DATE,55
65,2,CARDINAL,54
66,First,ORDINAL,54
67,Congo,GPE,54
68,WHO,ORG,53
69,months,DATE,51
70,Israel,GPE,51
71,Today,DATE,50
72,Toronto Sun,ORG,49
73,Donald Trump,PERSON,48
74,European,NORP,47
75,four,CARDINAL,46
76,AstraZeneca COVID-19,PRODUCT,46
77,British Columbia,GPE,46
78,January,DATE,45
79,Joe Biden,PERSON,45
80,Germany,GPE,45
81,South Africa,GPE,44
82,Montreal,GPE,43
83,Bonnie Henry,PERSON,43
84,Tam,PERSON,43
85,last week,DATE,42
86,Russian,NORP,41
87,First Nations,ORG,40
88,5,CARDINAL,39
89,March,DATE,39
90,1st,ORDINAL,39
91,FDA,ORG,39
92,AstraZeneca’s,ORG,38
93,Video Online,PERSON,38
94,Ford,ORG,36
95,Yukon,ORG,35
96,five,CARDINAL,34
97,daily,DATE,34
98,the World Health Organization,ORG,34
99,German,NORP,34
100,Mexico,GPE,34
101,thousands,CARDINAL,34
102,2nd,ORDINAL,33
103,September,DATE,33
104,Saskatchewan,NORP,32
105,Moderna COVID-19,PERSON,32
106,Theresa Tam,PERSON,31
107,at least one,CARDINAL,31
108,Ottawa,ORG,31
109,B.C.,ORG,31
110,American,NORP,30
111,April,DATE,30
112,UN,ORG,30
113,3,CARDINAL,30
114,Florida,GPE,30
115,Two,CARDINAL,30
116,Saskatchewan,GPE,30
117,morning,TIME,29
118,weeks,DATE,29
119,10,CARDINAL,29
120,Trump,ORG,28
121,London,GPE,27
122,Pfizer’s,ORG,27
123,2020,DATE,26
124,Trump,PERSON,26
125,Zika,PERSON,26
126,year,DATE,25
127,Ont,PERSON,25
128,Oxford-AstraZeneca,ORG,25
129,six,CARDINAL,25
130,June,DATE,24
131,Italy,GPE,24
132,Hamilton,PERSON,23
133,Christine Elliott,PERSON,23
134,White House,ORG,23
135,days,DATE,23
136,Ontario,PERSON,23
137,Feds,NORP,23
138,Australia,GPE,23
139,Ontarians,NORP,23
140,Africa,LOC,23
141,this month,DATE,22
142,1,CARDINAL,22
143,Bill Kelly,PERSON,22
144,Anita Anand,PERSON,22
145,BioNTech,GPE,22
146,20 million,CARDINAL,22
147,December,DATE,22
148,years,DATE,22
149,Rick Hillier,PERSON,22
150,Liberals,NORP,22
151,New Brunswick,PERSON,21
152,early 2021,DATE,21
153,Globe,ORG,21
154,Calgary,GPE,21
155,US,GPE,21
156,next month,DATE,21
157,next year,DATE,21
158,CDC,ORG,21
159,the European Union,ORG,20
160,Albertans,NORP,20
161,Johnson & Johnson’s,ORG,20
162,Jason Kenney,PERSON,20
163,One,CARDINAL,20
164,The Globe and Mail Health,ORG,20
165,Johnson,PERSON,20
166,New York,GPE,20
167,CTV News,ORG,20
168,hundreds,CARDINAL,20
169,Moderna’s,ORG,20
170,New Brunswick,GPE,19
171,NACI,ORG,19
172,Health,ORG,19
173,Christmas,DATE,19
174,15,CARDINAL,19
175,TSX,ORG,19
176,November,DATE,19
177,The Globe and Mail Also,ORG,19
178,season,DATE,18
179,France,GPE,18
180,Vancouver Sun,ORG,18
181,AstraZeneca,LAW,18
182,Oxford University,ORG,18
183,80,CARDINAL,17
184,Anthony Fauci,PERSON,17
185,half,CARDINAL,17
186,Three,CARDINAL,17
187,LONDON,GPE,17
188,BC,ORG,17
189,this summer,DATE,17
190,12,CARDINAL,17
191,summer,DATE,17
192,| Watch News,ORG,17
193,the coming weeks,DATE,17
194,week,DATE,16
195,"300,000",CARDINAL,16
196,| CTV News Canada,ORG,16
197,Quebec City,GPE,16
198,the United Kingdom,GPE,16
199,MMR,ORG,16
200,Waterloo Region,GPE,16
201,Pakistan,GPE,16
202,African,NORP,16
203,Japan,GPE,16
204,Olympics,EVENT,16
205,65,DATE,15
206,80,DATE,15
207,CBC News Canada,ORG,15
208,20,CARDINAL,15
209,1.5 million,CARDINAL,15
210,billions,CARDINAL,15
211,California,GPE,15
212,Boris Johnson,PERSON,15
213,last year,DATE,15
214,1st,DATE,14
215,the end of the year,DATE,14
216,Dany Fortin,PERSON,14
217,13,CARDINAL,14
218,Sun B.C.,PERSON,14
219,Norway,GPE,14
220,The Globe and Mail Brent,ORG,14
221,Fauci,PERSON,14
222,Johnson & Johnson's,ORG,14
223,B.C.’s,ORG,14
224,The Globe and Mail Canada,ORG,14
225,winter,DATE,14
226,CTV National News,ORG,14
227,Ontario’s,ORG,14
228,Fauci,ORG,14
229,NHL,ORG,14
230,York Region,GPE,14
231,annual,DATE,14
232,February,DATE,14
233,the end of March,DATE,14
234,100 million,CARDINAL,13
235,Star,ORG,13
236,seven,CARDINAL,13
237,South African,NORP,13
238,hours,TIME,13
239,Ottawa Public Health,ORG,13
240,70,CARDINAL,13
241,IOC,ORG,13
242,Moscow,GPE,13
243,1 million,CARDINAL,13
244,90%,PERCENT,13
245,Washington,GPE,13
246,fourth,ORDINAL,13
247,SNL,ORG,13
248,Toronto Public Health,ORG,13
249,the White House,ORG,12
250,17,CARDINAL,12
251,European Union,ORG,12
252,CBC News Ontario,ORG,12
253,Dalhousie University,ORG,12
254,"30,000",CARDINAL,12
255,Sun Ontario,PERSON,12
256,four months,DATE,12
257,75,DATE,12
258,UK,GPE,12
259,The World Health Organization,ORG,12
260,18,CARDINAL,12
261,a year,DATE,12
262,Denmark,GPE,12
263,under 55,DATE,12
264,NDP,ORG,12
265,16,CARDINAL,11
266,8 p.m.,TIME,11
267,the end of June,DATE,11
268,Dec. 14,DATE,11
269,J&J,ORG,11
270,The Globe and Mail A,ORG,11
271,the weekend,DATE,11
272,recent weeks,DATE,11
273,Israeli,NORP,11
274,KINSELLA,PERSON,11
275,Robert F. Kennedy Jr.,PERSON,11
276,Henry,PERSON,11
277,Saskatoon,GPE,11
278,Kingston,GPE,11
279,a day,DATE,11
280,Conservatives,NORP,11
281,6,CARDINAL,11
282,Regina,LOC,11
283,94.5%,PERCENT,11
284,Cuba,GPE,11
285,24 hours,TIME,10
286,The Globe and Mail U.S.,ORG,10
287,a week,DATE,10
288,27,CARDINAL,10
289,3rd,ORDINAL,10
290,nine,CARDINAL,10
291,Erin O’Toole,PERSON,10
292,Thousands,CARDINAL,10
293,"400,000",CARDINAL,10
294,Brazilian,NORP,10
295,Last week,DATE,10
296,65,CARDINAL,10
