,entity,label,occurrences
0,France,GPE,307
1,US,GPE,188
2,24,CARDINAL,162
3,first,ORDINAL,125
4,EU,ORG,117
5,AstraZeneca,ORG,87
6,French,NORP,73
7,China,GPE,70
8,UK,GPE,66
9,Pfizer,PERSON,46
10,Europe,LOC,44
11,Russia,GPE,43
12,Tuesday,DATE,42
13,Friday,DATE,42
14,Monday,DATE,40
15,India,GPE,38
16,Brazil,GPE,36
17,Wednesday,DATE,35
18,Thursday,DATE,35
19,second,ORDINAL,33
20,Israel,GPE,31
21,Britain,GPE,30
22,Vaccine,PERSON,29
23,Chinese,NORP,28
24,two,CARDINAL,27
25,Biden,PERSON,25
26,Moderna,GPE,25
27,Africa,LOC,25
28,Saturday,DATE,22
29,South Africa,GPE,22
30,Germany,GPE,21
31,Sunday,DATE,21
32,Italy,GPE,19
33,UN,ORG,19
34,U.S.,GPE,18
35,Russian,NORP,17
36,Covid,NORP,16
37,one,CARDINAL,16
38,COVID-19,PRODUCT,15
39,2021,DATE,15
40,FRANCE,GPE,15
41,European,NORP,15
42,Oxford,ORG,15
43,German,NORP,14
44,Japan,GPE,13
45,Joe Biden,PERSON,13
46,COVID-19,PERSON,13
47,Moderna,PERSON,13
48,Paris,GPE,13
49,British,NORP,12
50,Philippines,GPE,12
51,Israeli,NORP,12
52,Canada,GPE,12
53,Sputnik,ORG,11
54,the European Union,ORG,11
55,this week,DATE,11
56,The European Union,ORG,11
57,¦,PERSON,11
58,Johnson & Johnson,ORG,11
59,Australia,GPE,11
60,Mexico,GPE,10
61,Americans,NORP,10
62,Iran,GPE,10
63,third,ORDINAL,9
64,thousands,CARDINAL,9
65,European Union,ORG,9
66,tonight,TIME,9
67,Oxford University,ORG,9
68,WHO,ORG,9
69,Covid,PERSON,8
70,Sinopharm,ORG,8
71,Palestinians,NORP,8
72,The United States,GPE,8
73,millions,CARDINAL,8
74,Spain,GPE,8
75,100 million,CARDINAL,8
76,Emmanuel Macron,PERSON,8
77,Argentina,GPE,8
78,First,ORDINAL,8
79,days,DATE,8
80,Hungary,GPE,8
81,Olympics,EVENT,8
82,Chile,GPE,7
83,Texas,GPE,7
84,Macron,PERSON,7
85,24,MONEY,7
86,Covid vaccine,PERSON,7
87,American,NORP,7
88,Pakistan,GPE,7
89,the World Health Organization,ORG,6
90,95%,PERCENT,6
91,the United States,GPE,6
92,Trump,ORG,6
93,Pfizer-BioNTech,PERSON,6
94,G20,ORG,6
95,CDC,ORG,6
96,100,CARDINAL,6
97,The World Health Organization,ORG,6
98,Peru,GPE,6
99,Indonesia,GPE,6
100,BioNTech,GPE,6
101,Tokyo,GPE,6
102,Gaza,GPE,6
103,Donald Trump,PERSON,6
104,79%,PERCENT,5
105,Palestinian,NORP,5
106,Denmark,GPE,5
107,New York,GPE,5
108,Latin American,NORP,5
109,South Korea,GPE,5
110,Breaking News Alerts,WORK_OF_ART,5
111,2 million,CARDINAL,5
112,Algeria,GPE,5
113,Jean Castex,PERSON,5
114,daily,DATE,5
115,months,DATE,5
116,2020,DATE,5
117,Putin,PERSON,5
118,Australian,NORP,5
119,Serbia,GPE,5
120,African Americans,NORP,5
121,J&J,ORG,5
122,one million,CARDINAL,5
123,100%,PERCENT,5
124,Sweden,GPE,5
125,AstraZeneca-Oxford,ORG,4
126,Hong Kong,GPE,4
127,20 million,CARDINAL,4
128,NBA,ORG,4
129,Singapore,GPE,4
130,Berlin,GPE,4
131,90%,PERCENT,4
132,early next year,DATE,4
133,Thailand,GPE,4
134,March,DATE,4
135,The European Commission,ORG,4
136,Ursula von,PERSON,4
137,Leyen,GPE,4
138,Sputnik,PERSON,4
139,April,DATE,4
140,Covid vaccines,PERSON,4
141,three,CARDINAL,4
142,S. Africa,GPE,4
143,Pentagon,ORG,4
144,decades,DATE,4
145,Iraq,GPE,4
146,Trump,PERSON,4
147,Ethiopia,GPE,4
148,15,CARDINAL,4
149,fourth,ORDINAL,4
150,New York's,GPE,4
151,England,GPE,4
152,Covid-hit,PERSON,4
153,Papua New Guinea,GPE,4
154,Vietnam,GPE,4
155,IOC,ORG,4
156,Correspondence,WORK_OF_ART,4
157,Netherlands,GPE,3
158,four,CARDINAL,3
159,GSK,ORG,3
160,20,CARDINAL,3
161,one year,DATE,3
162,This week,DATE,3
163,the European Medicines Agency,ORG,3
164,FRANCE 24,ORG,3
165,next year,DATE,3
166,90 percent,PERCENT,3
167,One,CARDINAL,3
168,Brazilian,NORP,3
169,DRC,ORG,3
170,early 2021,DATE,3
171,winter,DATE,3
172,80%,PERCENT,3
173,the European Union's,ORG,3
174,Costa Rica,GPE,3
175,next month,DATE,3
176,African,NORP,3
177,Rwanda,GPE,3
178,Kremlin,ORG,3
179,DR Congo,ORG,3
180,sixth,ORDINAL,3
181,this year,DATE,3
182,America,GPE,3
183,billions,CARDINAL,3
184,Johnson,PERSON,3
185,Boris Johnson,PERSON,3
186,Spanish,NORP,3
187,the European Commission,ORG,3
188,just days,DATE,3
189,24 Germany,PERCENT,3
190,Macron,GPE,3
191,billion,CARDINAL,3
192,Fauci,PERSON,3
193,West,LOC,3
194,Yemen,GPE,3
195,three months,DATE,3
196,the U.S. Food and Drug Administration,ORG,3
197,Saudi,NORP,3
198,Christmas,DATE,3
199,Latin America,LOC,3
200,Johnson & Johnson's,ORG,3
201,next week,DATE,3
202,Lebanon,GPE,3
203,Middle East,LOC,3
204,Republicans,NORP,3
205,Italian,NORP,3
206,Covid - France,ORG,3
207,million,CARDINAL,3
208,Egypt,GPE,3
209,Pasteur Institute,ORG,3
210,Israelis,NORP,3
211,24,DATE,3
212,Pope,PERSON,3
213,EU,GPE,3
214,AstraZeneca,LAW,3
215,Pfizer Inc,PERSON,3
216,Brexit,PERSON,3
217,Thousands,CARDINAL,3
218,Fauci,ORG,3
219,January,DATE,3
220,November,DATE,3
221,South Korea's,GPE,2
222,South Korean,NORP,2
223,Record,GPE,2
224,Latin America's,LOC,2
225,the end of 2021,DATE,2
226,five,CARDINAL,2
227,Kuwait,GPE,2
228,Gulf,LOC,2
229,27,CARDINAL,2
230,Millions,CARDINAL,2
231,40 million,CARDINAL,2
232,3,CARDINAL,2
233,"5,000",CARDINAL,2
234,EMA,ORG,2
235,2022,DATE,2
236,late April,DATE,2
237,more than one million,CARDINAL,2
238,AstraZeneca’s,ORG,2
239,Amazon,ORG,2
240,Health,ORG,2
241,8,CARDINAL,2
242,summer,DATE,2
243,year,DATE,2
244,BioNTech,ORG,2
245,Angela Merkel,PERSON,2
246,Paul McCartney,PERSON,2
247,1,CARDINAL,2
248,year end,DATE,2
249,two million,CARDINAL,2
250,Benjamin Netanyahu,PERSON,2
251,30 million,CARDINAL,2
252,World,ORG,2
253,the end of the year,DATE,2
254,March 1,DATE,2
255,Christmas eve,DATE,2
256,1994,DATE,2
257,the West Bank,GPE,2
258,Frankfurt,GPE,2
259,Murray,ORG,2
260,Oman,GPE,2
261,Asia,LOC,2
262,86%,PERCENT,2
263,Pelicans,NORP,2
264,Moscow,GPE,2
265,PM Castex,PERSON,2
266,weeks,DATE,2
267,OECD,ORG,2
268,Ukrainians,NORP,2
269,Louis Pasteur,PERSON,2
270,Saudi Arabia,GPE,2
271,NYC,LOC,2
272,Nigeria,GPE,2
273,CoronaVac,ORG,2
274,Scotland,GPE,2
275,Western,NORP,2
276,Dutch,NORP,2
277,Yankee Stadium,FAC,2
278,Bronx,GPE,2
279,"250,000 as billions",MONEY,2
280,2 months,DATE,2
281,92%,PERCENT,2
282,Americas,LOC,2
283,European Commission,ORG,2
284,half a million,CARDINAL,2
285,Observers,ORG,2
286,Easter,ORG,2
287,Almost a million,CARDINAL,2
288,Macron,ORG,2
289,78%,PERCENT,2
290,February 11,DATE,2
291,Ghana,GPE,2
292,Fed,ORG,2
293,Powell,PERSON,2
294,one day,DATE,2
295,Charles Michel,PERSON,2
296,Indo-Pacific,ORG,2
