,entity,label,occurrences
0,Ireland,GPE,674
1,first,ORDINAL,474
2,EU,ORG,419
3,AstraZeneca,ORG,416
4,UK,GPE,312
5,HPV,ORG,301
6,US,GPE,282
7,Pfizer,PERSON,210
8,Irish,NORP,177
9,today,DATE,165
10,Oxford,ORG,143
11,HSE,ORG,113
12,Vaccine,PERSON,109
13,Europe,LOC,94
14,two,CARDINAL,91
15,one,CARDINAL,83
16,Northern Ireland,GPE,74
17,Dublin,GPE,74
18,Covid,NORP,74
19,Moderna,GPE,73
20,European,NORP,71
21,second,ORDINAL,70
22,First,ORDINAL,65
23,this week,DATE,62
24,EMA,ORG,58
25,State,ORG,57
26,Russia,GPE,57
27,next week,DATE,57
28,Britain,GPE,56
29,Stephen Donnelly,PERSON,51
30,yesterday,DATE,51
31,Paul Reid,PERSON,50
32,Germany,GPE,50
33,Boris Johnson,PERSON,49
34,TheJournal.ie - Breaking Irish and International News,WORK_OF_ART,47
35,Biden,PERSON,46
36,Johnson,PERSON,45
37,three,CARDINAL,45
38,Taoiseach,ORG,44
39,Laura Brennan,PERSON,43
40,German,NORP,42
41,British,NORP,39
42,Joe Biden,PERSON,38
43,MMR,ORG,38
44,China,GPE,37
45,Moderna,PERSON,36
46,2021,DATE,36
47,Explainer,PERSON,36
48,Beacon Hospital,ORG,35
49,Simon Harris,PERSON,35
50,September,DATE,34
51,Johnson & Johnson,ORG,34
52,Covid,PERSON,34
53,Christmas,DATE,34
54,Tuesday,DATE,33
55,France,GPE,33
56,Taoiseach,PERSON,32
57,Russian,NORP,32
58,The Irish Times,ORG,32
59,Friday,DATE,31
60,Monday,DATE,31
61,thousands,CARDINAL,31
62,Brexit,PERSON,31
63,this year,DATE,31
64,last week,DATE,31
65,April,DATE,30
66,Oxford University,ORG,30
67,four,CARDINAL,28
68,Leo Varadkar,PERSON,28
69,next year,DATE,27
70,Reuters,ORG,27
71,third,ORDINAL,27
72,March,DATE,24
73,Two,CARDINAL,24
74,Health,ORG,24
75,January,DATE,24
76,Donald Trump,PERSON,24
77,"100,000",CARDINAL,23
78,summer,DATE,23
79,Australia,GPE,23
80,February,DATE,22
81,Cabinet,ORG,22
82,weeks,DATE,22
83,five,CARDINAL,22
84,North,LOC,21
85,One,CARDINAL,21
86,Israel,GPE,21
87,Americans,NORP,21
88,Spain,GPE,20
89,tomorrow,DATE,20
90,Chinese,NORP,20
91,2020,DATE,20
92,WHO,ORG,20
93,Italy,GPE,20
94,Thousands,CARDINAL,19
95,next month,DATE,19
96,FDA,ORG,19
97,the European Medicines Agency,ORG,19
98,London,GPE,19
99,Leyen,GPE,19
100,Harris,PERSON,19
101,Laura,PERSON,18
102,Brazil,GPE,18
103,Trump,PERSON,18
104,the European Union,ORG,18
105,the Beacon Hospital,ORG,17
106,Sunday,DATE,17
107,Micheál Martin,PERSON,17
108,200,CARDINAL,17
109,Anthony Fauci,PERSON,17
110,England,GPE,17
111,Five,CARDINAL,16
112,European Medicines Agency,ORG,16
113,26,CARDINAL,16
114,70,DATE,16
115,six,CARDINAL,16
116,Q&A,ORG,16
117,5,CARDINAL,16
118,last night,TIME,15
119,South Africa,GPE,15
120,Martin,ORG,15
121,Varadkar,ORG,15
122,French,NORP,15
123,70s,DATE,15
124,GAA,ORG,15
125,millions,CARDINAL,15
126,IRELAND,PERSON,14
127,"600,000",CARDINAL,14
128,Thursday,DATE,14
129,European Commission,ORG,14
130,90%,PERCENT,14
131,Pandemrix,ORG,14
132,COVID-19,PRODUCT,14
133,Wednesday,DATE,13
134,Galway,GPE,13
135,June,DATE,13
136,this summer,DATE,13
137,NIAC,ORG,13
138,American,NORP,13
139,this morning,TIME,13
140,BioNTech,GPE,13
141,Micheal Martin,PERSON,13
142,Annie Lynch,ORG,13
143,9,CARDINAL,13
144,October,DATE,13
145,Oireachtas,ORG,13
146,EU,GPE,13
147,South African,NORP,12
148,70%,PERCENT,12
149,The European Medicines Agency,ORG,12
150,Ursula von,PERSON,12
151,10,CARDINAL,12
152,"30,000",CARDINAL,12
153,The European Commission,ORG,12
154,Ronan Glynn,PERSON,12
155,Mike Ryan,PERSON,12
156,NPHET,ORG,12
157,half,CARDINAL,12
158,Moscow,GPE,12
159,100,CARDINAL,12
160,Covid,ORG,12
161,December,DATE,12
162,37,CARDINAL,11
163,The European Union,ORG,11
164,Limerick,GPE,11
165,Arlene Foster,PERSON,11
166,White House,ORG,11
167,this winter,DATE,11
168,winter,DATE,11
169,J&J,ORG,11
170,100 million,CARDINAL,11
171,Ryan Tubridy,PERSON,11
172,Canada,GPE,11
173,the end of the year,DATE,11
174,morning,TIME,11
175,Denmark,GPE,11
176,zero,CARDINAL,10
177,last month,DATE,10
178,20,CARDINAL,10
179,Bray,ORG,10
180,3,CARDINAL,10
181,tonight,TIME,10
182,a year,DATE,10
183,GSK,ORG,10
184,July,DATE,10
185,16,CARDINAL,10
186,Astrazeneca,NORP,10
187,Sputnik,ORG,10
188,This week,DATE,10
189,at least one,CARDINAL,10
190,days,DATE,10
191,85,DATE,10
192,daily,DATE,10
193,UN,ORG,10
194,Belfast,GPE,10
195,Martin,PERSON,10
196,months,DATE,10
197,"300,000",CARDINAL,10
198,AstraZeneca’s,ORG,10
199,The Irish Sun,ORG,10
200,a week,DATE,10
201,this weekend,DATE,9
202,the European Commission,ORG,9
203,Four,CARDINAL,9
204,Greece,GPE,9
205,this evening,TIME,9
206,Second,ORDINAL,9
207,Brussels,GPE,9
208,the World Health Organisation,ORG,9
209,the coming weeks,DATE,9
210,Ireland,PERSON,9
211,Angela Merkel,PERSON,9
212,95%,PERCENT,9
213,Tánaiste Leo Varadkar,PERSON,9
214,The World Health Organization,ORG,9
215,mid-February,DATE,9
216,two weeks,DATE,9
217,the Department of Health,ORG,9
218,Netherlands,GPE,9
219,"10,000",CARDINAL,9
220,Putin,PERSON,9
221,Independent.ie Ireland,GPE,9
222,next summer,DATE,8
223,Miriam Stoppard,PERSON,8
224,2019,DATE,8
225,last year,DATE,8
226,weekly,DATE,8
227,Pfizer’s,ORG,8
228,80%,PERCENT,8
229,Brits,NORP,8
230,65,DATE,8
231,Oxford-AstraZeneca,ORG,8
232,David Nabarro,PERSON,8
233,hundreds,CARDINAL,8
234,Italian,NORP,8
235,this afternoon,TIME,8
236,22,CARDINAL,8
237,BCG,ORG,8
238,CORONAVIRUS,ORG,8
239,14,CARDINAL,8
240,Japan,GPE,8
241,New York,GPE,8
242,the National Immunisation Advisory Committee,ORG,8
243,Saturday,DATE,8
244,Norway,GPE,8
245,Today,DATE,8
246,early January,DATE,8
247,the coming months,DATE,8
248,early 2021,DATE,8
249,26-year-old,DATE,8
250,Fauci,ORG,8
251,Olympics,EVENT,8
252,World Health Organisation,ORG,8
253,the end of March,DATE,8
254,years,DATE,8
255,Taoiseach,GPE,8
256,ICU,ORG,8
257,Healthcare,ORG,8
258,Mike Pence,PERSON,8
259,the Johnson & Johnson,ORG,7
260,500,CARDINAL,7
261,Six,CARDINAL,7
262,Tokyo,GPE,7
263,1,CARDINAL,7
264,Australian,NORP,7
265,evening,TIME,7
266,the United States,GPE,7
267,26,DATE,7
268,Nine,CARDINAL,7
269,Laura Brennan's,PERSON,7
270,Simon Coveney,PERSON,7
271,Tony Holohan,PERSON,7
272,79-year-old,DATE,7
273,recent weeks,DATE,7
274,Vicky Phelan,PERSON,7
275,Hungary,GPE,7
276,Pharmacists,NORP,7
277,Kamala Harris,PERSON,7
278,Bill Gates,PERSON,7
279,New Zealand,GPE,7
280,Brazilian,NORP,7
281,High Court,ORG,7
282,Cork,GPE,7
283,the University of Oxford,ORG,7
284,100%,PERCENT,7
285,Dundalk,GPE,7
286,year,DATE,7
287,79,CARDINAL,7
288,November,DATE,7
289,Henry,PERSON,7
290,Article 16,LAW,7
291,2022,DATE,7
292,European Union,ORG,7
293,Taoiseach Micheál Martin,PERSON,7
294,tens of thousands,CARDINAL,7
295,Three,CARDINAL,7
296,Beacon,LOC,7
297,Oxford AstraZeneca,ORG,7
298,fourth,ORDINAL,6
299,300,CARDINAL,6
300,Beacon,GPE,6
301,Luke,PERSON,6
302,Republic,GPE,6
303,Lancet,ORG,6
304,St Patrick’s Day,PERSON,6
305,NHS,ORG,6
306,later this year,DATE,6
307,"400,000",CARDINAL,6
308,Vaccines,ORG,6
309,America,GPE,6
310,Covid vaccine,PERSON,6
311,"500,000",CARDINAL,6
312,"40,000",CARDINAL,6
313,12,CARDINAL,6
314,recent days,DATE,6
315,Tánaiste,ORG,6
316,the Health Service Executive,ORG,6
317,"1,000",CARDINAL,6
318,earlier this week,DATE,6
319,8211,DATE,6
320,Dublin,PERSON,6
321,Dr Ronan Glynn,PERSON,6
322,Sinn Féin TD,PERSON,6
323,India,GPE,6
324,Mexico,GPE,6
325,NI,ORG,6
326,the summer,DATE,6
327,the end of June,DATE,6
328,Gardasil,GPE,6
329,BioNtech,ORG,6
330,85s,DATE,6
331,25,CARDINAL,6
332,Ciara Kelly,PERSON,6
333,AstraZeneca,LAW,6
334,Belgium,GPE,6
335,94.5%,PERCENT,6
336,Hundreds,CARDINAL,6
337,"700,000",CARDINAL,6
338,ECDC,ORG,6
