,entity,label,occurrences
0,first,ORDINAL,265
1,New Zealand,GPE,228
2,Pfizer,PERSON,129
3,US,GPE,128
4,NZ,GPE,104
5,RNZ News,ORG,91
6,UK,GPE,86
7,Herald New York Times,ORG,84
8,AstraZeneca,ORG,64
9,Australia,GPE,63
10,today,DATE,62
11,one,CARDINAL,61
12,COVID-19,PRODUCT,57
13,two,CARDINAL,56
14,Vaccine,PERSON,53
15,MMR,ORG,52
16,Jacinda Ardern,PERSON,49
17,RNZ,ORG,48
18,Oxford,ORG,44
19,Russia,GPE,42
20,COVID-19,PERSON,40
21,EU,ORG,39
22,China,GPE,39
23,Chris Hipkins,PERSON,38
24,Auckland,GPE,38
25,19,CARDINAL,37
26,New Zealanders,NORP,37
27,Samoa,ORG,33
28,HPV,ORG,32
29,Pacific,LOC,32
30,New Zealand’s,GPE,31
31,second,ORDINAL,31
32,UN,ORG,30
33,Māori,PERSON,29
34,U.S.,GPE,28
35,Wellington,GPE,28
36,three,CARDINAL,27
37,Australian,NORP,27
38,Chris Smith,PERSON,26
39,Donald Trump,PERSON,26
40,four,CARDINAL,24
41,Northland,GPE,23
42,Response,ORG,23
43,Northland,ORG,23
44,this week,DATE,23
45,Britain,GPE,23
46,India,GPE,22
47,Monday,DATE,22
48,New Zealand's,GPE,22
49,Two,CARDINAL,22
50,this year,DATE,22
51,Covid,NORP,21
52,Canterbury,GPE,20
53,First,ORDINAL,20
54,Scoop News,ORG,20
55,Moderna,GPE,19
56,Trump,ORG,19
57,PNG,ORG,18
58,Biden,PERSON,18
59,Ashley Bloomfield,PERSON,18
60,One,CARDINAL,18
61,next week,DATE,17
62,Shane Reti,PERSON,17
63,Europe,LOC,17
64,DHB,ORG,15
65,Wednesday,DATE,15
66,Brazil,GPE,15
67,Friday,DATE,15
68,Russian,NORP,15
69,South Auckland,GPE,15
70,years,DATE,14
71,Boris Johnson,PERSON,14
72,millions,CARDINAL,14
73,Trump,PERSON,14
74,Israel,GPE,14
75,Herald Video,ORG,14
76,South Africa,GPE,13
77,third,ORDINAL,13
78,Moderna,PERSON,13
79,Oxford University,ORG,13
80,2021,DATE,13
81,Americans,NORP,12
82,Three,CARDINAL,12
83,Ministry of Health,ORG,12
84,The Ministry of Health,ORG,12
85,the United States,GPE,12
86,Judith Collins,PERSON,12
87,David Seymour,PERSON,12
88,Kiwis,GPE,12
89,Chinese,NORP,12
90,thousands,CARDINAL,11
91,Samoan,ORG,11
92,This week,DATE,11
93,Cambridge University,ORG,11
94,Herald Financial Times,ORG,11
95,Thursday,DATE,11
96,Kiwi,ORG,11
97,Tuesday,DATE,10
98,CNMI,ORG,10
99,Today,DATE,10
100,Christchurch,ORG,10
101,this morning,TIME,10
102,March,DATE,10
103,CDC,ORG,10
104,next year,DATE,10
105,CVC,ORG,10
106,months,DATE,10
107,Qantas,ORG,10
108,daily,DATE,10
109,Vladimir Putin,PERSON,9
110,Papua New Guinea,GPE,9
111,tomorrow,DATE,9
112,PHARMAC,ORG,9
113,Johnson,PERSON,9
114,90%,PERCENT,9
115,this winter,DATE,9
116,European,NORP,9
117,Saturday,DATE,9
118,year,DATE,9
119,2,CARDINAL,9
120,1,CARDINAL,9
121,the Ministry of Health,ORG,9
122,National’s,ORG,9
123,South Auckland,NORP,8
124,Pharmac,PERSON,8
125,David Clark,PERSON,8
126,weeks,DATE,8
127,COVID-19 Vaccine,PERSON,8
128,Moscow,GPE,8
129,Palau,GPE,8
130,nine,CARDINAL,8
131,Australians,NORP,8
132,Germany,GPE,8
133,Italy,GPE,8
134,yesterday,DATE,8
135,Kiwis,PERSON,8
136,Govt,ORG,8
137,Waikato,PERSON,8
138,Fiji,GPE,8
139,German,NORP,8
140,July,DATE,8
141,Thousands,CARDINAL,8
142,10,CARDINAL,8
143,| Scoop News,PRODUCT,7
144,Helen Petousis-Harris,PERSON,7
145,BioNTech,GPE,7
146,the European Union,ORG,7
147,December,DATE,7
148,Air NZ,ORG,7
149,Air New Zealand,ORG,7
150,American Samoa,ORG,7
151,a week,DATE,7
152,hundreds,CARDINAL,7
153,3,CARDINAL,7
154,California,GPE,7
155,seven,CARDINAL,7
156,Sunday,DATE,7
157,British,NORP,7
158,Checkpoint,PERSON,7
159,Democrats,NORP,7
160,Medsafe,PERSON,7
161,Africa,LOC,7
162,12 months,DATE,7
163,Julie Anne Genter,PERSON,7
164,WHO,ORG,7
165,next month,DATE,7
166,Tonga,GPE,7
167,Florida,GPE,7
168,Putin,PERSON,6
169,October,DATE,6
170,American,NORP,6
171,November,DATE,6
172,Kiwi,PERSON,6
173,Joe Biden,PERSON,6
174,this month,DATE,6
175,New York,GPE,6
176,Second,ORDINAL,6
177,FDA,ORG,6
178,5 million,CARDINAL,6
179,Scoop News &,ORG,6
180,Lisa Owen,PERSON,6
181,Palestinians,NORP,6
182,last year,DATE,6
183,Vaccine Corporation,ORG,6
184,the end of the year,DATE,6
185,2022,DATE,6
186,African,NORP,6
187,Health,ORG,6
188,Canterbury,ORG,6
189,decades,DATE,6
190,"30,000",CARDINAL,6
191,Parliament,ORG,6
192,"100,000",CARDINAL,6
193,100,CARDINAL,6
194,Scott Morrison,PERSON,6
195,Gardasil,GPE,5
196,Auckland,PERSON,5
197,Whangarei,PERSON,5
198,January,DATE,5
199,Herald Experts,ORG,5
200,White House,ORG,5
201,the World Health Organization (WHO,ORG,5
202,1.5 million,CARDINAL,5
203,Winston Peters,PERSON,5
204,days,DATE,5
205,week,DATE,5
206,National’s Associate Health,ORG,5
207,National,ORG,5
208,100 million,CARDINAL,5
209,Taranaki,GPE,5
210,the year,DATE,5
211,this afternoon,TIME,5
212,Nelson,PERSON,5
213,Covid,PERSON,5
214,South Canterbury,NORP,5
215,London,GPE,5
216,South African,NORP,5
217,"200,000",CARDINAL,5
