entity, label, count
China, GPE, 42
Congo, GPE, 38
HPV, ORG, 29
Reuters, ORG, 26
CDC, ORG, 24
U.S., GPE, 24
Chinese, NORP, 23
first, ORDINAL, 19
Monday, DATE, 15
two, CARDINAL, 15
Vaccine, PERSON, 12
FDA, ORG, 12
one, CARDINAL, 11
Thursday, DATE, 11
ABC News, ORG, 10
Europe, LOC, 8
Americans, NORP, 7
Tuesday, DATE, 7
the World Health Organization, ORG, 7
US, GPE, 7
year, DATE, 7
CNN, ORG, 7
Friday, DATE, 7
six, CARDINAL, 7
Yemen, GPE, 7
the Democratic Republic of Congo, GPE, 6
Tennessee, GPE, 6
WHO, ORG, 5
Changchun, GPE, 5
Saturday, DATE, 5
4,000, CARDINAL, 5
Democratic Republic of Congo, GPE, 5
years, DATE, 5
the United States, GPE, 5
Pfizer, PERSON, 5
Wednesday, DATE, 5
California, GPE, 5
season, DATE, 5
North Carolina, GPE, 5
Dengvaxia, GPE, 5
Philippines, GPE, 5
Mark Green, PERSON, 5
GlaxoSmithKline, PERSON, 4
second, ORDINAL, 4
18, CARDINAL, 4
American, NORP, 4
Australia, GPE, 4
three, CARDINAL, 4
Mbandaka, PERSON, 4
dozens, CARDINAL, 4
Bill Gates, PERSON, 4
The World Health Organization, ORG, 4
half, CARDINAL, 4
1, CARDINAL, 4
Thousands, CARDINAL, 4
last year, DATE, 4
Mbandaka, GPE, 4
Al Jazeera, ORG, 4
next week, DATE, 4
Hong Kong, GPE, 4
Pakistan, GPE, 3
India, GPE, 3
Pacific, LOC, 3
Vanuatu, ORG, 3
thousands, CARDINAL, 3
today, DATE, 3
Portuguese, NORP, 3
this year, DATE, 3
millions, CARDINAL, 3
Romania, GPE, 3
next year's, DATE, 3
annual, DATE, 3
Warsaw, GPE, 3
Drugmaker GSK, ORG, 3
36, CARDINAL, 3
Russian, NORP, 3
Italian, NORP, 3
French, NORP, 3
third, ORDINAL, 3
Italy, GPE, 3
DRC, ORG, 3
this season, DATE, 3
Rohingya, ORG, 3
Zika, PERSON, 3
Republican, NORP, 3
America, GPE, 3
two years, DATE, 2
Vaccines, ORG, 2
Month-old, DATE, 2
Measles, PERSON, 2
Sunday, DATE, 2
Xi Jinping, PERSON, 2
Florida, GPE, 2
ABC News Health, ORG, 2
more than 100, CARDINAL, 2
26, CARDINAL, 2
AP, ORG, 2
35, CARDINAL, 2
10, CARDINAL, 2
One, CARDINAL, 2
20 percent, PERCENT, 2
Uganda, GPE, 2
Japan, GPE, 2
BCG, ORG, 2
$12 million, MONEY, 2
NBC News, ORG, 2
early April, DATE, 2
FluMist, ORG, 2
only half, CARDINAL, 2
