entity, label, count
Congo, GPE, 42
U.S., GPE, 29
CDC, ORG, 25
Fox News, ORG, 20
first, ORDINAL, 19
CBS News, ORG, 19
China, GPE, 19
FDA, ORG, 17
The Boston Globe, ORG, 17
year, DATE, 16
AP, ORG, 16
The New York Times, ORG, 16
The Washington Post, ORG, 15
HPV, ORG, 13
US, GPE, 11
season, DATE, 11
second, ORDINAL, 11
Bill Gates, PERSON, 10
Tuesday, DATE, 10
Russian, NORP, 10
Vaccine, PERSON, 10
Americans, NORP, 10
Thursday, DATE, 9
California, GPE, 9
NPR, ORG, 9
Europe, LOC, 9
one, CARDINAL, 9
Trump, PERSON, 9
the Democratic Republic of Congo, GPE, 8
Italy, GPE, 7
Monday, DATE, 7
Friday, DATE, 6
Thousands, CARDINAL, 6
millions, CARDINAL, 6
years, DATE, 6
this week, DATE, 6
Pakistan, GPE, 6
Uganda, GPE, 6
Brazil, GPE, 6
West Africa, GPE, 6
Chinese, NORP, 6
CBS, ORG, 6
This Morning, TIME, 6
thousands, CARDINAL, 6
next year's, DATE, 6
North Carolina, GPE, 5
Shots - Health News, ORG, 5
four, CARDINAL, 5
2014, DATE, 5
two, CARDINAL, 5
Chicago, GPE, 5
the World Health Organization, ORG, 5
only 36 percent, PERCENT, 5
Democratic Republic of Congo, GPE, 4
annual, DATE, 4
Florida, GPE, 4
NEW YORK, GPE, 4
NIH, ORG, 4
Zika, PERSON, 4
dozens, CARDINAL, 4
The World Health Organization, ORG, 4
South Sudan, GPE, 4
Mark Green, PERSON, 4
less than 20 percent, PERCENT, 4
H3N2, ORG, 4
American, NORP, 4
the United States, GPE, 4
last year, DATE, 4
GOP, ORG, 4
Atlantic, LOC, 4
Wednesday, DATE, 4
the Centers for Disease Control and Prevention, ORG, 4
French, NORP, 4
David Agus, PERSON, 4
Sunday, DATE, 4
Democrats, NORP, 3
this year, DATE, 3
The Washington Post Public, ORG, 3
Bob Sears, PERSON, 3
An estimated 100,000, CARDINAL, 3
the end of October, DATE, 3
Twitter, PRODUCT, 3
Tara Narula, PERSON, 3
Anthony Fauci, PERSON, 3
2001, DATE, 3
Bikoro, GPE, 3
a year, DATE, 3
West African, NORP, 3
Africa, LOC, 3
ninth, ORDINAL, 3
Australia, GPE, 3
Waldorf, ORG, 3
Merck, ORG, 3
12, CARDINAL, 3
FluMist, ORG, 3
the Centers for Disease Control, ORG, 3
Republican, NORP, 3
Donald Trump, PERSON, 3
three, CARDINAL, 3
last winter, DATE, 3
25 percent, PERCENT, 3
Polish, NORP, 3
6 months, DATE, 3
Shingrix, ORG, 2
Shingrix, PRODUCT, 2
Senate, ORG, 2
$1 billion, MONEY, 2
five years, DATE, 2
Xi Jinping, PERSON, 2
Pediatricians, NORP, 2
CBS News', ORG, 2
97 percent, PERCENT, 2
Peter Salama, PERSON, 2
The Florida Department of Health, ORG, 2
Pediatrician, NORP, 2
LONDON, GPE, 2
U.N., ORG, 2
Afghanistan, GPE, 2
One, CARDINAL, 2
Synthego, ORG, 2
one-third, CARDINAL, 2
Chicago Tribune, ORG, 2
Debora Patta, PERSON, 2
Johannesburg, GPE, 2
South Africa, GPE, 2
Orthodox, NORP, 2
Orthodox Jewish, NORP, 2
36, CARDINAL, 2
half, CARDINAL, 2
at least one, CARDINAL, 2
the National Institute of Allergy and Infectious Diseases, ORG, 2
New York, GPE, 2
San Diego, GPE, 2
more than 250,000, CARDINAL, 2
Nigeria, GPE, 2
more than 150 million, CARDINAL, 2
more than 10, CARDINAL, 2
two weeks, DATE, 2
NPR A, ORG, 2
36 percent, PERCENT, 2
28, CARDINAL, 2
Two, CARDINAL, 2
Jon LaPook, PERSON, 2
$1.3 billion, MONEY, 2
Arkansas, GPE, 2
Democratic, NORP, 2
Google, ORG, 2
Utah, GPE, 2
Tennessee, GPE, 2
Carolyn Maloney, PERSON, 2
Asheville Waldorf School, ORG, 2
BU, ORG, 2
Delaware, GPE, 2
Philippines, GPE, 2
annually, DATE, 2
The Democratic Republic of Congo, GPE, 2
four years ago, DATE, 2
nearly a decade, DATE, 2
third, ORDINAL, 2
hundreds of thousands, CARDINAL, 2
2016, DATE, 2
Vaccine Scandal, PERSON, 2
Oregon, GPE, 2
hundreds, CARDINAL, 2
October, DATE, 2
more than 1 million, CARDINAL, 2
Lou Ferrigno, PERSON, 2
recent years, DATE, 2
17, CARDINAL, 2
tens of thousands, CARDINAL, 2
Latest News, ORG, 2
Videos, ORG, 2
This Year, DATE, 2
Flu Vaccine, PERSON, 2
Berkeley, GPE, 2
more than 80,000, CARDINAL, 2
recent months, DATE, 2
Texas, GPE, 2
Islamic, NORP, 2
Indonesia, GPE, 2
1918, DATE, 2
5, CARDINAL, 2
40, CARDINAL, 2
South Sudan's, GPE, 2
America, GPE, 2
Syria, GPE, 2
Mbandaka, GPE, 2
last fall, DATE, 2
Mahmoud, PERSON, 2
Jewish, NORP, 2
Californians, NORP, 2
Blue Shield, ORG, 2
next year, DATE, 2
CVS - Washington Times Pharmacy, ORG, 1
CVS, ORG, 1
9,800, CARDINAL, 1
1B, MONEY, 1
Congress, ORG, 1
billions, CARDINAL, 1
Measles Outbreak, PERSON, 1
New Jersey, GPE, 1
Eight, CARDINAL, 1
Marc Siegel, PERSON, 1
Chinese Company's, ORG, 1
Bikoro - CBS News, ORG, 1
Laura Podesta, PERSON, 1
CBS News Treatment, ORG, 1
later this year, DATE, 1
STD Test, ORG, 1
Throat Cancers Rise HPV, PERSON, 1
Mbandaka, PERSON, 1
World Health Organization - CBS News, ORG, 1
Role Model, FAC, 1
The New York Times Changing, ORG, 1
100 years, DATE, 1
A century, DATE, 1
tens of millions, CARDINAL, 1
’ Flu Season, WORK_OF_ART, 1
The New York Times Fears, ORG, 1
Killer Aussie Flu, WORK_OF_ART, 1
Probation Sears, ORG, 1
the European Union, ORG, 1
14, CARDINAL, 1
Centers for Disease Control and Prevention, ORG, 1
Amanda Cohn, PERSON, 1
Baltimore, GPE, 1
Vermont, GPE, 1
UN, ORG, 1
Polio, PERSON, 1
the next few years, DATE, 1
1988, DATE, 1
WHO, ORG, 1
Peter Thiel-, PERSON, 1
$110 million, MONEY, 1
Silicon Valley, LOC, 1
Crispr, PERSON, 1
DR, GPE, 1
DR Congo, ORG, 1
27, CARDINAL, 1
two months ago, DATE, 1
