entity, label, count
The Globe and Mail, ORG, 40
Toronto, GPE, 27
Canada, GPE, 26
Canadian, NORP, 22
B.C., GPE, 22
B.C., PERSON, 19
Canadians, NORP, 18
first, ORDINAL, 17
Vancouver, GPE, 15
U.S., GPE, 14
this year, DATE, 13
CBC News, ORG, 12
Ottawa, GPE, 12
Tuesday, DATE, 11
one, CARDINAL, 11
Wednesday, DATE, 10
MMR, ORG, 10
Vancouver Sun, PERSON, 10
| CTV News, ORG, 9
New York, GPE, 9
Congo, GPE, 9
Ontario, GPE, 8
CBC Radio, ORG, 8
Jessica Biel, PERSON, 8
two, CARDINAL, 8
New Brunswick, GPE, 7
CTV News, ORG, 6
The World Health Organization, ORG, 6
2019, DATE, 6
Thursday, DATE, 6
second, ORDINAL, 6
Toronto Public Health, ORG, 6
Germany, GPE, 6
the World Health Organization, ORG, 6
HPV, ORG, 6
year, DATE, 5
British Columbia, GPE, 5
Pakistan, GPE, 5
Robert F. Kennedy Jr., PERSON, 5
12, CARDINAL, 5
New York City, GPE, 5
WHO, ORG, 5
California, GPE, 5
Madagascar, GPE, 5
10, CARDINAL, 5
Monday, DATE, 5
season, DATE, 5
Washington, GPE, 5
New Brunswick, PERSON, 4
Vaccine, PERSON, 4
Ukraine, GPE, 4
Two, CARDINAL, 4
Friday, DATE, 4
Vancouver Island, GPE, 4
Mozambique, ORG, 4
September, DATE, 4
GlobalNews.ca, ORG, 4
last year's, DATE, 3
French, LANGUAGE, 3
UN, ORG, 3
Adrian Dix, PERSON, 3
Philippines, GPE, 3
Zambia, GPE, 3
16, CARDINAL, 3
the United States, GPE, 3
5, CARDINAL, 3
B.C., ORG, 3
Public Health Ontario, ORG, 3
RCMP, ORG, 3
Brooklyn, GPE, 3
more than 1,200, CARDINAL, 3
Mozambicans, NORP, 3
Beira, GPE, 3
1,400, CARDINAL, 3
2nd, ORDINAL, 3
Vancouver Sun, ORG, 3
five, CARDINAL, 3
Quebec, GPE, 3
Ontario, PERSON, 2
this season, DATE, 2
25 years, DATE, 2
France, GPE, 2
last year, DATE, 2
Californian, ORG, 2
The Globe and Mail Measles, ORG, 2
50, CARDINAL, 2
2018, DATE, 2
3,000, CARDINAL, 2
Samoa, ORG, 2
The Globe and Mail Health, ORG, 2
months, DATE, 2
Americans, NORP, 2
Alberta, GPE, 2
25, CARDINAL, 2
decades, DATE, 2
Assembly, ORG, 2
Orthodox, NORP, 2
Calgary, GPE, 2
Theresa Tam, PERSON, 2
the Public Health Agency of, ORG, 2
Europe, LOC, 2
this week, DATE, 2
$10 million, MONEY, 2
Kentucky, GPE, 2
115,000, CARDINAL, 2
hundreds, CARDINAL, 2
this winter, DATE, 2
above 1,400, CARDINAL, 2
hundreds of thousands, CARDINAL, 2
Natasha Crowcroft, PERSON, 2
Congolese, NORP, 2
12 months old, DATE, 2
