entity, label, count
Australia, GPE, 386
US, GPE, 378
COVID-19, PRODUCT, 347
COVID-19, PERSON, 282
first, ORDINAL, 256
Australian, NORP, 196
UK, GPE, 191
Pfizer, PERSON, 179
Australians, NORP, 128
China, GPE, 106
today, DATE, 105
Oxford, ORG, 97
AstraZeneca, ORG, 96
Russia, GPE, 89
Donald Trump, PERSON, 88
ABC News, ORG, 81
ASX, ORG, 79
Victoria, GPE, 76
two, CARDINAL, 73
Scott Morrison, PERSON, 70
Melbourne, GPE, 66
NSW, ORG, 65
Britain, GPE, 65
one, CARDINAL, 64
CSL, ORG, 63
Moderna, PERSON, 61
Oxford University, ORG, 58
Vaccine, PERSON, 56
2021, DATE, 48
Greg Hunt, PERSON, 46
Chinese, NORP, 45
second, ORDINAL, 45
Moderna, GPE, 42
three, CARDINAL, 42
Joe Biden, PERSON, 40
Russian, NORP, 39
NRL, ORG, 38
Norman, PERSON, 36
next year, DATE, 35
Americans, NORP, 33
British, NORP, 32
the United States, GPE, 31
next week, DATE, 31
UQ, GPE, 30
Indonesia, GPE, 29
Europe, LOC, 29
Trump, PERSON, 28
this week, DATE, 28
Queensland, GPE, 27
2020, DATE, 27
European, NORP, 26
Qantas, ORG, 25
The West Australian, LOC, 25
Canada, GPE, 25
millions, CARDINAL, 24
Sydney, GPE, 24
Anthony Fauci, PERSON, 24
WHO, ORG, 24
University of Queensland, ORG, 24
Brazil, GPE, 23
New Zealand, GPE, 22
Christmas, DATE, 22
Germany, GPE, 22
Two, CARDINAL, 20
EU, ORG, 20
Friday, DATE, 19
FDA, ORG, 19
America, GPE, 19
Tuesday, DATE, 19
March, DATE, 19
Coronavirus Australia, ORG, 19
years, DATE, 19
90 per cent, MONEY, 18
Johnson & Johnson, ORG, 18
3, CARDINAL, 18
Morrison, PERSON, 18
9News, CARDINAL, 17
Victoria, PERSON, 17
Monday, DATE, 17
First, ORDINAL, 17
four, CARDINAL, 16
this year, DATE, 16
weeks, DATE, 16
Health, ORG, 16
the end of the year, DATE, 15
The West Australian, GPE, 15
months, DATE, 15
Vladimir Putin, PERSON, 15
White House, ORG, 15
UN, ORG, 14
daily, DATE, 14
Mike Pence, PERSON, 14
West Australian, NORP, 13
Thursday, DATE, 13
American, NORP, 13
Alan Joyce, PERSON, 13
the University of Queensland, ORG, 12
Trump, ORG, 12
One, CARDINAL, 12
third, ORDINAL, 12
Victorian, NORP, 12
Pete Evans, PERSON, 12
Boris Johnson, PERSON, 12
India, GPE, 12
November, DATE, 12
more than 90, CARDINAL, 11
Bill Gates, PERSON, 11
BioNTech, GPE, 11
Victorians, NORP, 11
Wednesday, DATE, 11
April, DATE, 11
days, DATE, 11
five, CARDINAL, 11
Bryce Cartwright, PERSON, 11
Pacific, LOC, 10
October, DATE, 10
The West Australian, NORP, 10
German, NORP, 10
Norman Swan, PERSON, 10
the Federal Government, ORG, 10
Biden, PERSON, 9
Wuhan, GPE, 9
Daniel Andrews, PERSON, 9
Brendan Murphy, PERSON, 9
Kamala Harris, PERSON, 9
Saturday, DATE, 9
hundreds, CARDINAL, 9
Australian Broadcasting Corporation, ORG, 9
CDC, ORG, 9
JobKeeper, ORG, 8
United States, GPE, 8
18 months, DATE, 8
Sunday, DATE, 8
4, CARDINAL, 8
Aussie, GPE, 8
this month, DATE, 8
National Cabinet, ORG, 8
zero, CARDINAL, 8
Nick Coatsworth, PERSON, 8
300,000, CARDINAL, 8
Tegan, GPE, 8
France, GPE, 8
the World Health Organisation, ORG, 8
Beijing, GPE, 7
Sputnik, ORG, 7
Three, CARDINAL, 7
South Australia, LOC, 7
Philippines, GPE, 7
Tokyo, GPE, 7
two weeks, DATE, 7
winter, DATE, 7
Italy, GPE, 7
Western, NORP, 7
Gladys Berejiklian, PERSON, 7
25 million, CARDINAL, 7
yesterday, DATE, 7
2 million, CARDINAL, 7
RBA, ORG, 7
Roger Cook, PERSON, 7
Moscow, GPE, 7
95 per cent, MONEY, 7
Spain, GPE, 7
the United Kingdom, GPE, 7
billions, CARDINAL, 6
NSW Health, ORG, 6
Dow Jones, ORG, 6
30,000, CARDINAL, 6
the US Food and Drug Administration, ORG, 6
U.S., GPE, 6
CSIRO, ORG, 6
early next year, DATE, 6
January, DATE, 6
The Federal Government, ORG, 6
Queensland, PERSON, 6
