entity, label, count
German, NORP, 171
Germany, GPE, 104
US, GPE, 81
first, ORDINAL, 65
EU, ORG, 52
COVID-19, PERSON, 47
UK, GPE, 39
COVID-19, PRODUCT, 36
Russia, GPE, 28
Berlin, GPE, 25
Europe, LOC, 22
Africa, LOC, 21
Pfizer, PERSON, 20
DW, ORG, 17
China, GPE, 16
India, GPE, 15
DW Business Africa, ORG, 14
Germans, NORP, 13
CureVac, ORG, 13
Chinese, NORP, 11
France, GPE, 10
DW Business - Europe, ORG, 10
DW Business – Europe & America, ORG, 10
billions, CARDINAL, 9
Vaccine, PERSON, 9
second, ORDINAL, 9
Brazil, GPE, 9
UN, ORG, 9
Moderna, GPE, 9
BioNTech, GPE, 9
one, CARDINAL, 8
African, NORP, 8
AstraZeneca, ORG, 8
millions, CARDINAL, 8
two, CARDINAL, 8
Christmas, DATE, 8
three, CARDINAL, 8
DW Business, ORG, 7
Italy, GPE, 7
WHO, ORG, 7
British, NORP, 7
Donald Trump, PERSON, 7
Russian, NORP, 6
Australia, GPE, 6
European, NORP, 6
20.08.2020, CARDINAL, 6
DW Business – Europe, ORG, 6
American, NORP, 6
mid-2021, DATE, 6
Pakistan, GPE, 5
October, DATE, 5
Moderna, PERSON, 5
FDA, ORG, 5
Trump, PERSON, 5
300 million, CARDINAL, 5
Oxford, ORG, 5
3, CARDINAL, 5
18.11.2020, DATE, 5
South American, NORP, 5
Jens Spahn, PERSON, 5
Two, CARDINAL, 5
next week, DATE, 5
Brexit, PERSON, 5
30-minute, TIME, 5
90%, PERCENT, 5
09.11.2020, CARDINAL, 5
French, NORP, 5
daily, DATE, 4
Inside Europe, LOC, 4
Media Center, ORG, 4
December 27, DATE, 4
Moscow, GPE, 4
South Africa, GPE, 4
Denmark, GPE, 4
Sputnik, ORG, 4
mid-December, DATE, 4
Joe Biden, PERSON, 4
five minutes, TIME, 4
Oxford University, ORG, 4
DW Business – International | Business| Economy, ORG, 4
Indian, NORP, 4
2022, DATE, 4
Britain, GPE, 4
One, CARDINAL, 4
Leyen, GPE, 4
The World Health Organization, ORG, 4
Biden, PERSON, 4
thousands, CARDINAL, 4
hundreds, CARDINAL, 4
Canada, GPE, 4
11.12.2020, CARDINAL, 4
Taiwan, GPE, 4
13.08.2020, CARDINAL, 3
Hungary, GPE, 3
Switzerland, GPE, 3
up to 90%, PERCENT, 3
15.12.2020, DATE, 3
95%, PERCENT, 3
27.12.2020, DATE, 3
the United States, GPE, 3
Serbia, GPE, 3
the end of the year, DATE, 3
2020, DATE, 3
12.08.2020, DATE, 3
Mexico, GPE, 3
OECD, ORG, 3
02.12.2020, DATE, 3
months, DATE, 3
European Commission, ORG, 3
Ursula von, PERSON, 3
IATA, ORG, 3
Poland, GPE, 3
20.11.2020, DATE, 3
Antonio Guterres, PERSON, 3
South America, LOC, 3
30,000, CARDINAL, 3
South African, NORP, 3
Cuba, GPE, 3
Coronavirus, ORG, 3
15.12.2020, CARDINAL, 3
Angela Merkel, PERSON, 3
December, DATE, 3
2021, DATE, 3
Lufthansa, ORG, 3
Philippines, GPE, 2
Rodrigo Duterte, PERSON, 2
Swedish, NORP, 2
vaccine - Asian-Pacific, NORP, 2
Kenya, GPE, 2
2009, DATE, 2
a year, DATE, 2
Netherlands, GPE, 2
Jens Thurau, PERSON, 2
January, DATE, 2
80 million, CARDINAL, 2
11.09.2020, CARDINAL, 2
Africans, NORP, 2
December 21, DATE, 2
Biontech, GPE, 2
Ugur Sahin, PERSON, 2
| Europe| News, ORG, 2
Putin, PERSON, 2
Vladimir Putin, PERSON, 2
six weeks, DATE, 2
Wirecard, PERSON, 2
Health, ORG, 2
next month, DATE, 2
′vaccine, PERSON, 2
eight, CARDINAL, 2
five, CARDINAL, 2
Second, ORDINAL, 2
this year, DATE, 2
Brussels, GPE, 2
the World Health Organization, ORG, 2
50, CARDINAL, 2
Asia, LOC, 2
Vienna, GPE, 2
€400 million, MONEY, 2
Italian, NORP, 2
- Logistics, ORG, 2
BioNTech & Pfizer, ORG, 2
14.12.2020, CARDINAL, 2
18.12.2020, CARDINAL, 2
12.11.2020, CARDINAL, 2
Egypt, GPE, 2
2, CARDINAL, 2
Qatar, GPE, 2
Argentina, GPE, 2
at least a year, DATE, 2
Trump, ORG, 2
minus 70 degrees, QUANTITY, 2
IBM, ORG, 2
