entity, label, count
first, ORDINAL, 231
Ireland, GPE, 195
US, GPE, 150
UK, GPE, 136
Pfizer, PERSON, 133
Irish, NORP, 80
Oxford, ORG, 69
EU, ORG, 67
today, DATE, 50
Vaccine, PERSON, 44
Moderna, GPE, 41
Russia, GPE, 40
First, ORDINAL, 39
two, CARDINAL, 32
Christmas, DATE, 31
China, GPE, 31
Northern Ireland, GPE, 30
AstraZeneca, ORG, 28
Europe, LOC, 27
Oxford University, ORG, 26
European, NORP, 25
one, CARDINAL, 24
Tuesday, DATE, 24
2021, DATE, 22
HSE, ORG, 22
Donald Trump, PERSON, 22
HPV, ORG, 20
Covid, NORP, 20
yesterday, DATE, 19
second, ORDINAL, 19
next year, DATE, 19
Russian, NORP, 19
German, NORP, 18
TheJournal.ie - Breaking Irish and International News, WORK_OF_ART, 18
FDA, ORG, 17
Trump, PERSON, 17
Britain, GPE, 17
Joe Biden, PERSON, 17
Reuters, ORG, 16
State, ORG, 16
Dublin, GPE, 15
Paul Reid, PERSON, 15
next week, DATE, 15
Moderna, PERSON, 15
Americans, NORP, 15
Anthony Fauci, PERSON, 14
Johnson, PERSON, 14
Biden, PERSON, 14
three, CARDINAL, 13
Germany, GPE, 13
Explainer, PERSON, 12
January, DATE, 12
90%, PERCENT, 12
WHO, ORG, 12
Monday, DATE, 12
Thousands, CARDINAL, 12
2020, DATE, 12
Brexit, PERSON, 12
Cabinet, ORG, 11
Moscow, GPE, 11
this year, DATE, 11
MMR, ORG, 11
British, NORP, 11
December, DATE, 10
four, CARDINAL, 10
Chinese, NORP, 10
EMA, ORG, 10
COVID-19, PRODUCT, 10
the end of the year, DATE, 10
weeks, DATE, 10
October, DATE, 10
September, DATE, 10
Taoiseach, ORG, 9
Leyen, GPE, 9
the European Medicines Agency, ORG, 9
London, GPE, 9
Stephen Donnelly, PERSON, 9
BioNTech, GPE, 9
One, CARDINAL, 9
Annie Lynch, ORG, 9
Boris Johnson, PERSON, 9
The World Health Organization, ORG, 9
CORONAVIRUS, ORG, 8
Leo Varadkar, PERSON, 8
next summer, DATE, 8
Ryan Tubridy, PERSON, 8
3, CARDINAL, 8
this week, DATE, 8
early 2021, DATE, 8
American, NORP, 8
Australia, GPE, 8
Wednesday, DATE, 8
Mike Pence, PERSON, 8
Brazil, GPE, 8
early January, DATE, 8
White House, ORG, 8
79-year-old, DATE, 7
Simon Harris, PERSON, 7
November, DATE, 7
Putin, PERSON, 7
Pfizer’s, ORG, 7
morning, TIME, 7
Covid, PERSON, 7
600,000, CARDINAL, 7
five, CARDINAL, 7
95%, PERCENT, 7
France, GPE, 7
Spain, GPE, 7
5, CARDINAL, 7
Two, CARDINAL, 7
next month, DATE, 7
Ronan Glynn, PERSON, 7
North, LOC, 6
GAA, ORG, 6
94.5%, PERCENT, 6
Second, ORDINAL, 6
a week, DATE, 6
Fauci, ORG, 6
Micheál Martin, PERSON, 6
a year, DATE, 6
six, CARDINAL, 6
thousands, CARDINAL, 6
Harris, PERSON, 6
Taoiseach, PERSON, 6
Friday, DATE, 6
last week, DATE, 6
April, DATE, 6
Ursula von, PERSON, 5
The Irish Times, ORG, 5
EU, GPE, 5
Q&A, ORG, 5
The Irish Sun, WORK_OF_ART, 5
60 million, CARDINAL, 5
Mike Ryan, PERSON, 5
the University of Oxford, ORG, 5
90-year-old, DATE, 5
Sunday, DATE, 5
Micheal Martin, PERSON, 5
Canada, GPE, 5
tomorrow, DATE, 5
Coronavirus, ORG, 5
Martin, PERSON, 5
79, CARDINAL, 5
winter, DATE, 5
Health, ORG, 5
Belfast, GPE, 5
BioNtech, ORG, 5
100 million, CARDINAL, 5
BCG, ORG, 5
The European Union, ORG, 5
2022, DATE, 5
millions, CARDINAL, 5
tens of thousands, CARDINAL, 5
England, GPE, 5
days, DATE, 5
the end of this year, DATE, 4
the Sunday Independent, ORG, 4
Five, CARDINAL, 4
David Nabarro, PERSON, 4
Vladimir Putin, PERSON, 4
Pandemrix, ORG, 4
Bill Gates, PERSON, 4
Pharmacists, NORP, 4
Trinity College Dublin, ORG, 4
Thanksgiving, DATE, 4
70%, PERCENT, 4
SECOND, ORDINAL, 4
Oxford-AstraZeneca, ORG, 4
Wuhan, GPE, 4
the World Health Organization, ORG, 4
this Christmas, DATE, 4
December 30, DATE, 4
Olympics, EVENT, 4
Italy, GPE, 4
2,000, CARDINAL, 4
Tony Holohan, PERSON, 4
Taoiseach Leo Varadkar, PERSON, 4
last month, DATE, 4
90pc, ORDINAL, 4
months, DATE, 4
Russians, NORP, 4
more than 90%, PERCENT, 4
Melania Trump, PERSON, 4
Kamala Harris, PERSON, 4
European Commission, ORG, 4
Donald, PERSON, 4
500, CARDINAL, 4
The Irish Sun, ORG, 4
GSK, ORG, 4
Sanofi, ORG, 4
French, NORP, 4
Taoiseach Micheál Martin, PERSON, 4
Sputnik, PERSON, 4
G20, ORG, 4
IBM, ORG, 4
10,000, CARDINAL, 3
European Medicines Agency, ORG, 3
autumn, DATE, 3
hundreds, CARDINAL, 3
NPHET, ORG, 3
Greens, NORP, 3
Saturday, DATE, 3
Lancet, ORG, 3
1, CARDINAL, 3
32, CARDINAL, 3
Beijing, GPE, 3
11, CARDINAL, 3
8am, TIME, 3
the Royal Victoria Hospital, ORG, 3
World Health Organisation, ORG, 3
the World Health Organisation, ORG, 3
200, CARDINAL, 3
zero, CARDINAL, 3
Ryanair, PERSON, 3
Tánaiste, PERSON, 3
evening, TIME, 3
Christmas Day, DATE, 3
European Union, ORG, 3
March, DATE, 3
the coming months, DATE, 3
two weeks, DATE, 3
Johnson & Johnson, ORG, 3
this afternoon, TIME, 3
the last 24 hours, TIME, 3
COVID-19, PERSON, 3
J&J, ORG, 3
Republic, GPE, 3
the Republic of Ireland, GPE, 3
Australian, NORP, 3
Gabriel Scally, PERSON, 3
early November, DATE, 3
Laura Brennan, PERSON, 3
six weeks, DATE, 3
400,000, CARDINAL, 3
Delaware, GPE, 3
12 to 18 months, DATE, 3
Tokyo, GPE, 3
New York, GPE, 3
Amazon, ORG, 3
fifth, ORDINAL, 3
the Health Service Executive, ORG, 3
last night, TIME, 3
the middle of next year, DATE, 3
Two million, CARDINAL, 3
Adrian Hill, PERSON, 3
24, CARDINAL, 3
Republican, NORP, 3
10, CARDINAL, 3
Angela Merkel, PERSON, 3
65, DATE, 3
AstraZeneca’s, ORG, 3
Oireachtas, ORG, 3
90 million, CARDINAL, 3
2-12, DATE, 3
recent days, DATE, 3
Varadkar, ORG, 3
third, ORDINAL, 3
Martin, ORG, 3
a day earlier, DATE, 3
Expert, PERSON, 3
Sinn Féin TD, PERSON, 3
Democratic, NORP, 3
Rachel McLoughlin, PERSON, 3
up to 160 million, CARDINAL, 3
the European Commission, ORG, 3
Nasal, PERSON, 3
Food and Drug Administration, ORG, 3
Mexico, GPE, 3
Today, DATE, 3
70s, DATE, 3
Grainne Gallanagh, PERSON, 3
80, CARDINAL, 3
300,000, CARDINAL, 3
The European Commission, ORG, 3
100, CARDINAL, 3
before end of year, DATE, 3
100-year-old, DATE, 3
year, DATE, 3
DAA, ORG, 3
100,000, CARDINAL, 3
18 months, DATE, 3
this morning, TIME, 3
at least a year, DATE, 3
Covid vaccine - Independent.ie, PERSON, 3
Italian, NORP, 3
NHS, ORG, 3
300, CARDINAL, 3
2,500, CARDINAL, 3
875,000, CARDINAL, 2
1.5 million, CARDINAL, 2
weekly, DATE, 2
70,000, CARDINAL, 2
the end of February, DATE, 2
Cork GP, PERSON, 2
TDs, ORG, 2
Dolly Parton, PERSON, 2
Four, CARDINAL, 2
Scotland, GPE, 2
one third, CARDINAL, 2
32%, PERCENT, 2
Three, CARDINAL, 2
World View:, EVENT, 2
just WEEKS, DATE, 2
less than two months, DATE, 2
Ryanair, ORG, 2
Tanaiste Leo Varadkar, PERSON, 2
Tanaiste, GPE, 2
Livingston, PERSON, 2
Nine, CARDINAL, 2
this month, DATE, 2
Joanna Sloan, PERSON, 2
10 years, DATE, 2
30,000, CARDINAL, 2
Easter 2021, PERSON, 2
Sarah Gilbert, PERSON, 2
next winter, DATE, 2
hundreds of thousands, CARDINAL, 2
The European Medicines Agency, ORG, 2
South Africa, GPE, 2
earlier today, TIME, 2
Ben Dunne, PERSON, 2
RNA, ORG, 2
Europol, ORG, 2
Vladimir Putin’s, PERSON, 2
Henry, PERSON, 2
AIB, ORG, 2
Bank of Ireland, ORG, 2
the coming week, DATE, 2
June 2021, DATE, 2
351, CARDINAL, 2
the Department of Health, ORG, 2
Francis, PERSON, 2
Fianna Fáil, ORG, 2
Tánaiste, ORG, 2
5,000, CARDINAL, 2
the end of November, DATE, 2
Andreas Kluth, LOC, 2
six-week, DATE, 2
World, ORG, 2
May 5th, DATE, 2
Auntie Peggy, WORK_OF_ART, 2
Luke, PERSON, 2
Varadkar, PERSON, 2
The Irish Sun A, ORG, 2
Annie Lynch, PERSON, 2
the new year, DATE, 2
117 million, CARDINAL, 2
Irish Pharmacy Union, ORG, 2
First Northern Ireland, ORG, 2
Jerome Adams, PERSON, 2
the United States, GPE, 2
Cillian De Gascun, PERSON, 2
the coming weeks, DATE, 2
Sarah Jarvis, PERSON, 2
Dr Ronan Glynn, PERSON, 2
Pfizer/BioNTech, ORG, 2
The United States, GPE, 2
ICU, ORG, 2
Sandra Lindsay, PERSON, 2
THOUSANDS, CARDINAL, 2
44, CARDINAL, 2
1,000, CARDINAL, 2
two months, DATE, 2
Independent.ie Ireland, GPE, 2
High Court, ORG, 2
The Irish Sun EXPERTS, ORG, 2
the University of Oxford's, ORG, 2
Matt Hancock, PERSON, 2
the Irish Independent, ORG, 2
this winter, DATE, 2
four days, DATE, 2
eight, CARDINAL, 2
Venice, GPE, 2
Adrian Hill, ORG, 2
Hill, PERSON, 2
U.S., GPE, 2
US FDA, ORG, 2
Country, ORG, 2
RTE, ORG, 2
Maynooth University, ORG, 2
the end of next month, DATE, 2
301, CARDINAL, 2
Vaccines, ORG, 2
nine, CARDINAL, 2
CUH, ORG, 2
next three days, DATE, 2
Robin Swann, PERSON, 2
IRFU, ORG, 2
IRELAND, PERSON, 2
Mary Lou McDonald, PERSON, 2
1,296, CARDINAL, 2
Michael Ryan, PERSON, 2
the White House, FAC, 2
the weekend, DATE, 2
over 20,000, CARDINAL, 2
as early as March, DATE, 2
Healthcare, ORG, 2
90, CARDINAL, 2
Modubuild, GPE, 2
Six months, DATE, 2
Bob Geldof, PERSON, 2
Michael Palin, PERSON, 2
Michael Parkinson, PERSON, 2
David McWilliams, PERSON, 2
late next year, DATE, 2
summer, DATE, 2
early next week, DATE, 2
This week, DATE, 2
tonight, TIME, 2
6, CARDINAL, 2
Level 5, FAC, 2
Donald Trump's, PERSON, 2
184, CARDINAL, 2
Hundreds of thousands, CARDINAL, 2
CHINESE, NORP, 2
CMO, ORG, 2
Orphan, GPE, 2
Vaccination, ORG, 2
this weekend, DATE, 2
9,750, CARDINAL, 2
as early as Saturday, DATE, 2
New Zealand, GPE, 2
May and June, DATE, 2
February, DATE, 2
Iseq, ORG, 2
22, CARDINAL, 2
30 December, DATE, 2
BBC, ORG, 2
14, CARDINAL, 2
Luke O'Neill, PERSON, 2
3,900, MONEY, 2
New Year, EVENT, 2
Trump, ORG, 2
seasonal, DATE, 2
9, CARDINAL, 2
Boris, PERSON, 2
Limerick, GPE, 2
132, CARDINAL, 2
The Irish Sun CHINA, ORG, 2
Paul Moynagh, PERSON, 2
Cambridge, GPE, 2
seven, CARDINAL, 2
Instagram, ORG, 2
British Government, ORG, 2
76,496, CARDINAL, 2
Belarus, GPE, 2
Argentina, GPE, 2
300million, CARDINAL, 2
every week, DATE, 2
Moderna’s, ORG, 2
up to, CARDINAL, 2
Ciaran Hancock, PERSON, 2
Dublin, PERSON, 2
100%, PERCENT, 2
Thursday, DATE, 2
only half, CARDINAL, 2
CureVac, ORG, 2
70.4%, PERCENT, 2
Covid-free, PERSON, 2
Lapland, GPE, 2
Anthony Joshua, PERSON, 2
Fauci, PERSON, 2
Last Monday, DATE, 2
Blanchardstown, ORG, 2
David Gough, PERSON, 2
Joyce Fegan, PERSON, 2
70, DATE, 2
John Giles, PERSON, 2
29 December, DATE, 2
Catholics, NORP, 2
Margaret Keenan, PERSON, 2
Switzerland, GPE, 2
Piers Morgan, PERSON, 2
early December, DATE, 2
Andrew Marr Show, PERSON, 2
The Irish Sun SCIENTISTS, ORG, 2
Hong Kong, GPE, 2
Bourla, GPE, 2
€, CARDINAL, 2
4.6, MONEY, 2
21-year-olds, DATE, 2
IAG, ORG, 2
the day, DATE, 2
27 December, DATE, 2
Norwegian Air, ORG, 2
Vaccine Taskforce, ORG, 2
early this week, DATE, 2
mid-2021, DATE, 2
the middle of 2021, DATE, 2
Brit, ORG, 2
the European Union, ORG, 2
December 11, DATE, 2
mid-December, DATE, 2
3,000, CARDINAL, 2
95pc, ORDINAL, 2
Munster, PERSON, 2
Three quarters, DATE, 2
late autumn, TIME, 2
more than 90pc, CARDINAL, 2
