entity, label, count
UK, GPE, 2470
first, ORDINAL, 1036
Pfizer, PERSON, 769
US, GPE, 729
Oxford, ORG, 708
Britain, GPE, 443
Guardian, ORG, 371
Covid, NORP, 303
Matt Hancock, PERSON, 291
today, DATE, 279
Christmas, DATE, 254
Oxford University, ORG, 251
British, NORP, 251
Boris Johnson, PERSON, 241
Russia, GPE, 239
China, GPE, 233
CORONAVIRUS, ORG, 231
Vaccine, PERSON, 220
Scotland, GPE, 206
ITV News, ORG, 203
second, ORDINAL, 199
Brits, NORP, 194
AstraZeneca, ORG, 191
COVID-19, PERSON, 188
NHS, ORG, 184
one, CARDINAL, 168
two, CARDINAL, 163
EU, ORG, 157
Daily Mail, ORG, 153
COVID-19, PRODUCT, 146
London, GPE, 145
Brexit, PERSON, 141
Donald Trump, PERSON, 134
next week, DATE, 132
England, GPE, 132
2021, DATE, 126
Sky News, WORK_OF_ART, 126
yesterday, DATE, 125
Moderna, GPE, 124
millions, CARDINAL, 117
Moderna, PERSON, 109
Russian, NORP, 108
First, ORDINAL, 101
Tuesday, DATE, 97
100, CARDINAL, 90
this year, DATE, 88
Health, ORG, 87
this week, DATE, 85
Monday, DATE, 82
Sunday, DATE, 79
September, DATE, 78
Wales, GPE, 77
Chinese, NORP, 76
next year, DATE, 75
FDA, ORG, 73
Times, ORG, 73
Americans, NORP, 72
Europe, LOC, 72
Covid, PERSON, 69
2020, DATE, 69
Britons, PERSON, 66
weeks, DATE, 66
Trump, PERSON, 66
three, CARDINAL, 65
Ireland, GPE, 65
BBC News, ORG, 63
Sky News, ORG, 62
90%, PERCENT, 61
German, NORP, 61
Joe Biden, PERSON, 59
the end of the year, DATE, 58
months, DATE, 57
Wednesday, DATE, 57
days, DATE, 56
Anthony Fauci, PERSON, 55
France, GPE, 53
Biden, PERSON, 53
Imperial College, ORG, 52
the University of Oxford, ORG, 51
Thursday, DATE, 51
Germany, GPE, 50
third, ORDINAL, 50
Bill Gates, PERSON, 50
Jonathan Van-Tam, PERSON, 49
daily, DATE, 49
Sarah Gilbert, PERSON, 47
thousands, CARDINAL, 47
December, DATE, 47
Chris Whitty, PERSON, 47
Margaret Keenan, PERSON, 46
The Sunday Times, ORG, 45
next month, DATE, 45
Brazil, GPE, 44
this morning, TIME, 44
Patrick Vallance, PERSON, 43
FTSE, ORG, 43
four, CARDINAL, 42
April, DATE, 42
Kate Bingham, PERSON, 42
winter, DATE, 42
five, CARDINAL, 41
WHO, ORG, 40
January, DATE, 39
White House, ORG, 38
BRITAIN, GPE, 38
Vladimir Putin, PERSON, 38
One, CARDINAL, 37
Covid vaccine, PERSON, 37
America, GPE, 37
GSK, ORG, 37
Oxford University's, ORG, 36
Putin, PERSON, 36
BioNTech, GPE, 36
Trump, ORG, 36
European, NORP, 36
March, DATE, 35
Two, CARDINAL, 35
American, NORP, 35
last week, DATE, 35
BCG, ORG, 35
Moscow, GPE, 35
Scottish, NORP, 35
Italy, GPE, 34
