entity, label, count
first, ORDINAL, 152
New Zealand, GPE, 95
Pfizer, PERSON, 92
AstraZeneca, ORG, 49
RNZ News, ORG, 48
NZ, GPE, 42
US, GPE, 40
Australia, GPE, 38
today, DATE, 38
Jacinda Ardern, PERSON, 34
EU, ORG, 34
Chris Hipkins, PERSON, 32
Herald New York Times, ORG, 31
UK, GPE, 30
COVID-19, PRODUCT, 28
RNZ, ORG, 25
UN, ORG, 22
19, CARDINAL, 22
Māori, PERSON, 21
New Zealanders, NORP, 20
Oxford, ORG, 19
two, CARDINAL, 19
New Zealand’s, GPE, 19
Response, ORG, 18
second, ORDINAL, 17
Auckland, GPE, 17
one, CARDINAL, 17
Wellington, GPE, 15
First, ORDINAL, 14
India, GPE, 14
New Zealand's, GPE, 14
Australian, NORP, 14
Pacific, LOC, 14
Israel, GPE, 13
PNG, ORG, 13
Covid, NORP, 13
Vaccine, PERSON, 13
South Auckland, GPE, 13
COVID-19, PERSON, 12
South Africa, GPE, 12
Monday, DATE, 11
four, CARDINAL, 11
David Seymour, PERSON, 11
Ashley Bloomfield, PERSON, 11
Europe, LOC, 10
Boris Johnson, PERSON, 10
next week, DATE, 10
Judith Collins, PERSON, 10
One, CARDINAL, 9
Today, DATE, 9
Johnson, PERSON, 9
Friday, DATE, 8
Wednesday, DATE, 8
Italy, GPE, 8
Russia, GPE, 8
this morning, TIME, 7
third, ORDINAL, 7
Britain, GPE, 7
DHB, ORG, 7
South Auckland, NORP, 6
2021, DATE, 6
this year, DATE, 6
this week, DATE, 6
Air New Zealand, ORG, 6
tomorrow, DATE, 6
Palestinians, NORP, 6
Papua New Guinea, GPE, 6
July, DATE, 6
Palau, GPE, 6
National’s, ORG, 6
CNMI, ORG, 6
Moderna, GPE, 6
Saturday, DATE, 6
China, GPE, 6
the European Union, ORG, 5
this afternoon, TIME, 5
Two, CARDINAL, 5
Cook Islands, LOC, 5
Air NZ, ORG, 5
three, CARDINAL, 5
South African, NORP, 5
Scoop News, ORG, 5
Covid, PERSON, 5
Medsafe, PERSON, 5
Lisa Owen, PERSON, 5
Fiji, GPE, 5
European, NORP, 5
Taranaki, GPE, 5
Christchurch, ORG, 5
COVID-19 Response, PERSON, 4
WTO, ORG, 4
yesterday, DATE, 4
the year, DATE, 4
COVID-19 Vaccine, PERSON, 4
Australians, NORP, 4
next month, DATE, 4
Thursday, DATE, 4
hundreds, CARDINAL, 4
Kiwis, PERSON, 4
Germany, GPE, 4
Cabinet, ORG, 4
This week, DATE, 4
Govt, ORG, 4
Sunday, DATE, 4
the United States, GPE, 4
French, NORP, 4
Three, CARDINAL, 4
the Ministry of Health, ORG, 4
England, GPE, 4
Māori, GPE, 4
2022, DATE, 4
Kiwis, GPE, 4
3, CARDINAL, 4
