entity, label, occurrences
Zika, PERSON, 244
HPV, ORG, 167
first, ORDINAL, 98
U.S., GPE, 95
two, CARDINAL, 60
Fox News, ORG, 51
UK, GPE, 51
China, GPE, 50
US, GPE, 50
13, MONEY, 50
Brazil, GPE, 48
one, CARDINAL, 41
Pakistan, GPE, 40
Africa, LOC, 39
Wednesday, DATE, 38
CDC, ORG, 34
Robert De Niro, PERSON, 31
South Africa, GPE, 31
three, CARDINAL, 31
MMR, ORG, 30
Angola, GPE, 29
Americas, LOC, 28
Vaccine, PERSON, 28
The Boston Globe, ORG, 27
the World Health Organization, ORG, 27
Congress, ORG, 26
WHO, ORG, 26
Thursday, DATE, 25
The Washington Post, ORG, 25
Zika, NORP, 25
California, GPE, 24
Guardian, ORG, 23
Tuesday, DATE, 23
two-year-old, DATE, 21
today, DATE, 21
British, NORP, 21
Guinea, GPE, 20
Monday, DATE, 20
this year, DATE, 20
Friday, DATE, 20
London, GPE, 20
thousands, CARDINAL, 20
Canadian, NORP, 19
Congo, GPE, 19
The New York Times, ORG, 18
Two, CARDINAL, 17
2016, DATE, 17
Canada, GPE, 16
last year, DATE, 16
CBS News, ORG, 16
ABC News, ORG, 15
14, CARDINAL, 15
millions, CARDINAL, 14
NIH, ORG, 14
Melinda Messenger, PERSON, 14
Australian, NORP, 14
Anthony Fauci, PERSON, 14
The Globe and Mail, ORG, 14
Daily Mail, ORG, 14
French, NORP, 13
Queensland, GPE, 13
Australia, GPE, 13
Meningitis, NORP, 13
four, CARDINAL, 13
Nigeria, GPE, 13
Matt Dawson, PERSON, 12
Americans, NORP, 12
First, ORDINAL, 12
years, DATE, 12
year, DATE, 12
Mark Zuckerberg, PERSON, 12
NHS, ORG, 12
Barack Obama, PERSON, 12
Russia, GPE, 12
Pediatricians, NORP, 11
100%, PERCENT, 11
Pfizer, PERSON, 11
Shots - Health News, ORG, 11
Chinese, NORP, 11
hundreds, CARDINAL, 11
Texas, GPE, 11
Haiti, GPE, 11
Florida, GPE, 11
the United States, GPE, 11
Cuba, GPE, 11
decades, DATE, 11
Reuters, ORG, 11
| CTV News, ORG, 11
at least 18 months, DATE, 11
BBC News, ORG, 10
FluMist, ORG, 10
Donald Trump, PERSON, 10
weeks, DATE, 10
Zika Vaccine, PERSON, 10
Latin America, LOC, 10
Pakistani, NORP, 10
Quetta, GPE, 10
One, CARDINAL, 10
second, ORDINAL, 10
America, GPE, 10
2, CARDINAL, 10
De Niro, PERSON, 9
$81 million, MONEY, 9
this week, DATE, 9
this winter, DATE, 9
the World Health Organisation, ORG, 9
Brazilian, NORP, 9
Three, CARDINAL, 9
FDA, ORG, 9
Faye Burdett, PERSON, 9
Britain, GPE, 9
seven, CARDINAL, 9
Vaxxed, GPE, 9
Thousands, CARDINAL, 9
American, NORP, 9
India, GPE, 9
Irish, NORP, 9
Muslim, NORP, 9
The World Health Organization, ORG, 9
3, CARDINAL, 8
CNN, ORG, 8
Jill Stein, PERSON, 8
UN, ORG, 8
Philippines, GPE, 8
Costco, ORG, 8
ITV News, ORG, 8
Hundreds, CARDINAL, 8
Merck, ORG, 7
third, ORDINAL, 7
This Morning, TIME, 7
White House, ORG, 7
1 million, CARDINAL, 7
each year, DATE, 7
GlaxoSmithKline, PERSON, 7
Ottawa, GPE, 7
5, CARDINAL, 7
2018, DATE, 7
NPR A, ORG, 7
TB, ORG, 7
Syria, GPE, 7
yesterday, DATE, 7
LA Times, ORG, 6
Meningitis, ORG, 6
12, CARDINAL, 6
Scotland, GPE, 6
20, CARDINAL, 6
130, CARDINAL, 6
U.S. Army, ORG, 6
months, DATE, 6
NPR, ORG, 6
Chris, PERSON, 6
Flu Vaccine, PERSON, 6
annual, DATE, 6
CBS, ORG, 6
Ireland, GPE, 6
Russian, NORP, 6
Sanofi, ORG, 6
the end of the year, DATE, 6
Tribeca Film Festival, EVENT, 6
the Centers for Disease Control and Prevention, ORG, 6
African, NORP, 6
15, CARDINAL, 6
Gardasil, GPE, 6
37, CARDINAL, 6
dozens, CARDINAL, 6
2013, DATE, 6
Andrew Wakefield, PERSON, 6
Rwanda, GPE, 5
the Tribeca Film Festival, EVENT, 5
last month, DATE, 5
Chris Steele, PERSON, 5
B.C., PERSON, 5
Indian, NORP, 5
12-year-old, DATE, 5
100 percent, PERCENT, 5
Malaria, GPE, 5
Western Australia, LOC, 5
CBC News, ORG, 5
the World Health Organization (WHO, ORG, 5
West Africa, GPE, 5
Atlantic, LOC, 5
Al Jazeera, ORG, 5
This Morning, WORK_OF_ART, 5
England, GPE, 5
Cambridge, GPE, 5
four years, DATE, 5
Josh Hadfield, PERSON, 5
Obama, PERSON, 5
Victoria, GPE, 5
the Democratic Republic of Congo, GPE, 5
European, NORP, 5
at least 15, CARDINAL, 5
the age of 11, DATE, 5
AP, ORG, 5
New York, GPE, 5
one million, CARDINAL, 5
Liberia, GPE, 5
Europe, LOC, 5
Alberta, GPE, 5
Parliament, ORG, 5
Nigerian, NORP, 5
Bob Sears, PERSON, 4
Bexsero, ORG, 4
- LA Times, ORG, 4
Yellow Fever, PERSON, 4
Jon LaPook, PERSON, 4
February, DATE, 4
Ontario, GPE, 4
France, GPE, 4
2014-15, DATE, 4
Hillary Clinton, PERSON, 4
summer, DATE, 4
a year, DATE, 4
155, CARDINAL, 4
2015, DATE, 4
HSE, ORG, 4
Health, ORG, 4
German, NORP, 4
the World Health Organisation (WHO, ORG, 4
Katie Clack, PERSON, 4
Melbourne, GPE, 4
a decade, DATE, 4
Asia, LOC, 4
357, CARDINAL, 4
Somerset, GPE, 4
2010, DATE, 4
Puerto Rico, GPE, 4
Daily Mail Online, ORG, 4
seven years, DATE, 4
Saturday, DATE, 4
McMaster University, ORG, 4
several years, DATE, 4
WASHINGTON, GPE, 4
coming weeks, DATE, 4
recent years, DATE, 4
the National Institutes of Health, ORG, 4
Indonesia, GPE, 4
$5 million, MONEY, 4
United States, GPE, 4
Democrats, NORP, 4
one year, DATE, 4
Vladimir Putin, PERSON, 4
Sarah Allen, PERSON, 4
the National Institute of Allergy and Infectious Diseases, ORG, 4
Colombia, GPE, 4
a decade ago, DATE, 4
South Australian, NORP, 4
only two, CARDINAL, 4
Senate, ORG, 4
next month, DATE, 4
Limitless - Bezgranichnyy, ORG, 4
Brian, PERSON, 4
NZT, ORG, 4
Robert Sears, PERSON, 3
1994, DATE, 3
Chile, GPE, 3
morning, TIME, 3
13-year-old, DATE, 3
the end of the decade, DATE, 3
Zuckerberg, PERSON, 3
150, CARDINAL, 3
five, CARDINAL, 3
800,000, CARDINAL, 3
Mark Kendall, PERSON, 3
Lancet, ORG, 3
South African, NORP, 3
August, DATE, 3
the White House, ORG, 3
300, CARDINAL, 3
2011, DATE, 3
Santa Clara University, ORG, 3
2014-15 flu season, DATE, 3
Quebec, GPE, 3
Caribbean, LOC, 3
Glaxo, ORG, 3
Times, ORG, 3
At least 15, CARDINAL, 3
Mark Zuckerberg's, PERSON, 3
DW, ORG, 3
Tara Narula, PERSON, 3
Toronto, GPE, 3
| Health | Life & Style | Daily Express, ORG, 3
Arizona, GPE, 3
Tribeca Film Festival, ORG, 3
23, DATE, 3
Faye Burdett's, PERSON, 3
Los Angeles, GPE, 3
Tasmanian, NORP, 3
Cuban, NORP, 3
Australians, NORP, 3
the American Academy of Pediatrics, ORG, 3
Washington, GPE, 3
Australian Broadcasting Corporation, ORG, 3
June, DATE, 3
NSW, ORG, 3
10 years, DATE, 3
Afghanistan, GPE, 3
Pandremix, ORG, 3
10, CARDINAL, 3
At least 14, CARDINAL, 3
13, CARDINAL, 3
Flinders University, ORG, 3
BBC, ORG, 3
Ed Miliband, PERSON, 3
tonight, TIME, 3
RSV, ORG, 3
22, CARDINAL, 3
Rio, GPE, 3
GM, ORG, 3
the end of this year, DATE, 3
World Health Organisation, ORG, 3
six months, DATE, 3
one to two months later, DATE, 3
Karachi, GPE, 3
Inovio, ORG, 3
$19.8 million, MONEY, 3
under 11, DATE, 3
half a million, CARDINAL, 3
Outbreak, ORG, 3
MUSLIM, ORG, 3
days, DATE, 3
Vaccines, ORG, 3
135, CARDINAL, 3
Hurricane Matthew, EVENT, 3
up to, CARDINAL, 3
Dilma Rousseff, PERSON, 3
30, CARDINAL, 3
Valentine’s Day, ORG, 3
later this year, DATE, 3
Daily Express, ORG, 3
Hepatitis A, WORK_OF_ART, 3
this coming flu season, DATE, 3
Republicans, NORP, 3
Kinshasa, GPE, 3
January, DATE, 3
Swedish, NORP, 3
more than $1.8 billion, MONEY, 3
Last year, DATE, 3
600, CARDINAL, 3
Childcare, ORG, 3
Tribeca, PERSON, 3
HHS, ORG, 3
at least 14, CARDINAL, 3
three-year-old, DATE, 3
half, CARDINAL, 3
ISIS, ORG, 3
TheJournal.ie - Breaking Irish and International News, WORK_OF_ART, 3
MSF, ORG, 3
Boko Haram, PERSON, 3
GSK, ORG, 3
Fox News Health, ORG, 3
Catherine, PERSON, 3
Greg Hughes, PERSON, 3
Possible Zika, WORK_OF_ART, 3
40, CARDINAL, 3
Iran, GPE, 3
Asda, ORG, 3
Manny, PERSON, 2
the U.S.-based Merck & Co., ORG, 2
week, DATE, 2
Japan, GPE, 2
Takeda Pharmaceuticals, ORG, 2
84%, PERCENT, 2
eight, CARDINAL, 2
Today, DATE, 2
Californians, NORP, 2
TODAY, DATE, 2
15th, ORDINAL, 2
NSW Senate, ORG, 2
Vaccination, ORG, 2
the Health Australia Party, ORG, 2
RT World, ORG, 2
nine, CARDINAL, 2
James Dyson, PERSON, 2
Broadway, FAC, 2
this season, DATE, 2
British Columbia, GPE, 2
Science, WORK_OF_ART, 2
Face the Nation, WORK_OF_ART, 2
578,000, CARDINAL, 2
Zambia, GPE, 2
Jasper Allen, PERSON, 2
Cambridgeshire, ORG, 2
Beijing, GPE, 2
Galveston, GPE, 2
CTV News, ORG, 2
1.8bn, MONEY, 2
October, DATE, 2
Health Canada, ORG, 2
$1.9 billion, MONEY, 2
Schoolboy, ORG, 2
Mom, PERSON, 2
zero, CARDINAL, 2
billions, CARDINAL, 2
26, CARDINAL, 2
earlier this month, DATE, 2
2020, DATE, 2
Austrian, NORP, 2
the Institut Pasteur, ORG, 2
the next 12 months, DATE, 2
11-day, DATE, 2
Valentine, PERSON, 2
Vaxxed: From Cover-Up to Catastrophe, WORK_OF_ART, 2
Mexico, GPE, 2
next week, DATE, 2
Ottawa Public Health, ORG, 2
Fox News Researchers, ORG, 2
The Post, ORG, 2
Veronika Skvortsova, PERSON, 2
Boehringer, PERSON, 2
$885 million, MONEY, 2
year's end, DATE, 2
some 150, CARDINAL, 2
just a week, DATE, 2
Massachusetts Institute of Technology, ORG, 2
The Globe and Mail Study, ORG, 2
300,000, CARDINAL, 2
TWO, CARDINAL, 2
Orange, NORP, 2
Robert de Niro, PERSON, 2
Baby Riley's, PERSON, 2
Medicare, ORG, 2
Paddington, GPE, 2
Indonesians, NORP, 2
John Day, PERSON, 2
the years, DATE, 2
J&J, ORG, 2
Thailand, GPE, 2
Lee Booth, PERSON, 2
44, DATE, 2
last September, DATE, 2
Germany, GPE, 2
26, DATE, 2
91, CARDINAL, 2
Frome, GPE, 2
Pennsylvania, GPE, 2
five years, DATE, 2
Great Ormond Street Hospital, ORG, 2
R.I., GPE, 2
the White House, FAC, 2
59%, PERCENT, 2
the last two weeks, DATE, 2
more than 11,000, CARDINAL, 2
CBSN, ORG, 2
Hollywood, GPE, 2
Robert De Niro's, PERSON, 2
million, CARDINAL, 2
two year old, DATE, 2
Flossmoor, GPE, 2
Pentagon, ORG, 2
DR Congo, ORG, 2
Uganda, GPE, 2
Millions, CARDINAL, 2
MenB, CARDINAL, 2
24,000, CARDINAL, 2
Anti-Vaccine Film, ORG, 2
The Globe and Mail Researchers, ORG, 2
2016-2017, DATE, 2
Dementia, ORG, 2
NBC, ORG, 2
Qld, PERSON, 2
Green Party's, ORG, 2
