,Brand,Vader
0,Moderna,-0.6369
1,Biontech,0.3304
2,Pfizer,0.3304
3,Pfizer,-0.0387
4,Moderna,-0.0387
5,Moderna,0.0
6,AstraZeneca,0.0
7,Biontech,0.4019
8,Pfizer,0.4019
9,Biontech,-0.9446
10,Pfizer,-0.9446
11,Moderna,0.0
12,AstraZeneca,0.1027
13,AstraZeneca,0.8442
14,AstraZeneca,0.6908
15,AstraZeneca,-0.5789
16,Moderna,0.4767
17,AstraZeneca,0.4215
18,Biontech,0.4215
19,Pfizer,0.4215
20,Moderna,0.4215
21,AstraZeneca,-0.9087
22,Biontech,-0.9087
23,Pfizer,-0.9087
24,Sputnik V,-0.9087
25,AstraZeneca,0.0
26,Pfizer,0.9022
27,AstraZeneca,-0.1901
28,Pfizer,0.128
29,Moderna,0.128
30,AstraZeneca,0.7311
31,Pfizer,0.0
32,Pfizer,0.4019
33,Moderna,-0.6369
34,Moderna,-0.4215
35,Biontech,0.4588
36,Pfizer,0.4588
37,AstraZeneca,0.0
38,AstraZeneca,-0.4515
39,Johnson & Johnson,0.5719
40,Biontech,0.3182
41,Pfizer,0.3182
42,Pfizer,0.743
43,AstraZeneca,-0.1531
44,Biontech,-0.1531
45,AstraZeneca,0.0
46,Pfizer,0.0
47,AstraZeneca,0.4215
48,AstraZeneca,0.5574
49,Moderna,0.5574
50,Pfizer,-0.1027
51,AstraZeneca,-0.0572
52,AstraZeneca,0.4404
53,Moderna,-0.4019
54,AstraZeneca,0.7096
55,Johnson & Johnson,0.0
56,Pfizer,0.0
57,Moderna,0.0
58,AstraZeneca,0.0
59,AstraZeneca,0.6187
60,Moderna,-0.128
61,Pfizer,0.0
62,Pfizer,0.7402
63,AstraZeneca,0.7096
64,Moderna,0.5574
65,Biontech,0.4458
66,Pfizer,0.4458
67,AstraZeneca,-0.7096
68,Pfizer,0.0
69,Pfizer,0.4588
70,AstraZeneca,0.0516
71,Biontech,0.128
72,Pfizer,0.128
73,Pfizer,-0.1027
74,AstraZeneca,-0.7783
75,Sputnik V,0.6908
76,Biontech,-0.4005
77,Pfizer,-0.4005
78,Moderna,-0.4005
79,AstraZeneca,0.4939
80,Pfizer,0.5106
81,AstraZeneca,0.875
82,Pfizer,-0.6486
83,Pfizer,0.0
84,AstraZeneca,0.0
85,Moderna,0.0
86,Biontech,0.0
87,Pfizer,0.0
88,AstraZeneca,0.1779
89,AstraZeneca,-0.6124
90,Moderna,0.3818
91,Pfizer,0.4404
92,AstraZeneca,0.5267
93,Biontech,-0.3818
94,Pfizer,-0.3818
95,Moderna,-0.296
96,AstraZeneca,0.0
97,AstraZeneca,-0.4939
98,AstraZeneca,0.7579
99,Biontech,-0.6597
100,Pfizer,-0.6597
101,Sputnik V,0.0
102,AstraZeneca,0.4767
103,Biontech,0.7003
104,Pfizer,0.7003
105,AstraZeneca,0.6124
106,AstraZeneca,-0.7906
107,AstraZeneca,-0.7096
108,Pfizer,-0.7096
109,Pfizer,-0.6705
110,Sputnik V,0.0
111,Johnson & Johnson,0.3818
112,AstraZeneca,0.9273
113,Pfizer,0.4019
114,AstraZeneca,-0.9169
115,Biontech,-0.5994
116,Pfizer,-0.5994
117,AstraZeneca,0.1027
118,Moderna,0.1027
119,Johnson & Johnson,-0.5423
120,AstraZeneca,0.0
121,Pfizer,0.4019
122,Biontech,0.5574
123,Pfizer,0.5574
124,Pfizer,-0.8091
125,Biontech,0.8918
126,Pfizer,0.8918
127,Johnson & Johnson,0.4215
128,Johnson & Johnson,0.4215
129,Pfizer,-0.2023
130,AstraZeneca,-0.7845
131,AstraZeneca,-0.2144
132,Pfizer,0.5256
133,Johnson & Johnson,0.5106
134,Pfizer,-0.3391
135,AstraZeneca,-0.6369
136,AstraZeneca,0.3818
137,Pfizer,0.0
138,Moderna,0.5859
139,Biontech,0.2732
140,Pfizer,0.2732
141,Johnson & Johnson,0.8442
142,Pfizer,0.0
143,Moderna,0.9096
144,Biontech,0.3182
145,Pfizer,0.3182
146,Moderna,0.3182
147,Sputnik V,-0.4767
148,Pfizer,0.6124
149,Biontech,-0.5574
150,Pfizer,-0.5574
151,Moderna,-0.4939
152,Biontech,0.872
153,Pfizer,0.872
154,Sputnik V,0.8555
155,AstraZeneca,0.8316
156,Pfizer,0.0
157,Johnson & Johnson,0.6369
158,AstraZeneca,0.4404
159,Sputnik V,0.7351
160,Pfizer,0.0516
161,Pfizer,0.0
162,AstraZeneca,0.5574
163,AstraZeneca,0.4019
164,AstraZeneca,-0.2732
165,Pfizer,0.0
166,Moderna,0.0
167,Sputnik V,0.25
168,Biontech,0.4215
169,Pfizer,0.4215
170,Pfizer,0.3182
171,AstraZeneca,0.0
172,AstraZeneca,-0.6046
173,AstraZeneca,-0.8856
