,text
0,"['pfizer', 'ceo', 'pocket', 'offloading', 'share', 'pfizer', 'chief', 'executive', 'officer', 'albert', 'bourla', 'offloaded', 'share', 'day', 'release', 'report', 'result', 'experimental', 'vaccine', 'partner', 'biontech']"
1,"['company', 'stand', 'benefit', 'vaccine', 'distribution', 'mass', 'distribution', 'first', 'vaccine', 'developed', 'pfizer', 'biontech', 'begin', 'across', 'julie', 'hyman', 'brian', 'sozzi', 'myles', 'udland', 'discus', 'company', 'stand', 'benefit', 'operation', 'warp', 'speed', 'kick', 'high', 'gear']"
2,"['questor', 'best', 'coronavirus', 'stock', 'say', 'virologist', 'became', 'fund', 'manager', 'questor', 'share', 'tip', 'germany', 'biontech', 'well', 'placed', 'make', 'first', 'covid', 'vaccine', 'novel', 'approach', 'cancer', 'real', 'attraction']"
3,"['uk', 'gear', 'huge', 'vaccination', 'plan', 'watched', 'world', 'london', 'ap', 'shipment', 'coronavirus', 'vaccine', 'developed', 'american', 'drugmaker', 'pfizer', 'germany', 'biontech', 'delivered', 'sunday', 'container', 'two', 'day', 'go']"
4,"['uk', 'may', 'day', 'away', 'approving', 'pfizer', 'vaccine', 'uk', 'could', 'week', 'ahead', 'united', 'state', 'come', 'approving', 'vaccine', 'according', 'new', 'united', 'kingdom', 'could', 'pfizer', 'biontech']"
5,"['scarce', 'dos', 'empty', 'vaccination', 'centre', 'germany', 'vaccine', 'rollout', 'headache', 'proud', 'national', 'reputation', 'efficiency', 'german', 'growing', 'increasingly', 'frustrated', 'slow', 'rollout', 'vaccine', 'scientist', 'helped', 'develop', 'scarce', 'vaccine', 'supply', 'cumbersome', 'paperwork', 'lack', 'healthcare', 'staff', 'aged', 'immobile', 'population', 'hampering', 'effort', 'get', 'early', 'dos', 'vaccine', 'made', 'pfizer', 'german', 'partner', 'biontech', 'arm', 'people', 'germany', 'set', 'hundred', 'vaccination', 'centre', 'sport', 'hall', 'concert', 'arena', 'infrastructure', 'administer', 'shot', 'day', 'health', 'minister', 'jens', 'spahn', 'said']"
6,"['u', 'pay', 'pfizer', 'biontech', 'nearly', '2bn', 'vaccine', 'u', 'canada', 'news', 'al', 'jazeera', 'pfizer', 'biontech', 'vaccine', 'showed', 'promise', 'small', 'study', 'set', 'tested', 'large', 'trial']"
7,"['biontech', 'say', 'vaccinated', 'britain', 'far', 'pfizer', 'biontech', 'vaccine', 'given', 'people', 'britain', 'feedback', 'side', 'effect', 'tolerability', 'reassuring', 'biontech', 'chief', 'medical', 'officer', 'said', 'thursday', 'britain', 'first', 'approve', 'shot', 'emergency', 'use', '3', 'followed', 'canada', 'food', 'drug', 'administration', 'britain', 'people', 'vaccinated', 'tolerability', 'data', 'exactly', 'shown', 'clinical', 'trial', 'chief', 'medical', 'officer', 'oezlem', 'tuereci', 'said', 'webcast', 'call', 'german', 'chancellor', 'angela', 'merkel']"
8,"['coronavirus', 'vaccine', 'producer', 'pledge', 'follow', 'normal', 'rule', 'one', 'key', 'trial', 'paused', 'news', 'dw', 'german', 'vaccine', 'maker', 'biontech', 'eight', 'biotech', 'company', 'vowed', 'follow', 'safety', 'measure', 'rolling', 'vaccine', 'astrazeneca', 'suspended', 'one', 'trial', 'potentially', 'unexplained', 'illness', 'participant']"
9,"['moderna', 'pfizer', 'coronavirus', 'vaccine', 'investor', 'need', 'know', 'right', 'vaccine', 'moderna', 'nasdaq', 'mrna', 'joint', 'effort', 'pfizer', 'nyse', 'pfe', 'biontech', 'nasdaq', 'bntx', 'appear', 'least', 'partially', 'effective', 'variant', 'could', 'significant', 'investor', 'new', 'vaccine', 'might', 'lead', 'significant', 'difference', 'revenue', 'moderna', 'pfizer', 'biontech', 'moderna', 'examining', 'three', 'different', 'booster', 'shot', 'strategy', 'including', 'booster', 'third', 'dose', 'current', 'candidate', 'multivalent', 'booster', 'combine', 'current', 'candidate', 'material']"
10,"['sign', '2', 'billion', 'vaccine', 'deal', 'pfizer', 'biontech', 'breitbart', 'washington', 'afp', 'united', 'state', 'tuesday', 'signed', 'billion', 'agreement', 'u', 'pharma', 'giant', 'pfizer', 'germany', 'biontech', '100', 'million']"
11,"['meet', 'margaret', 'keenan', 'uk', 'first', 'vaccine', 'patient', 'itv', 'news', 'margaret', 'keenan', 'become', 'first', 'person', 'uk', 'receive', 'pfizer', 'biontech', 'vaccine', 'rolled', 'across', 'uk']"
