,Country,Outlet,Month-Year,Ratio
0,International,news.yahoo.com,Jan-2020,0.03748670684154555
1,USA,csmonitor.com,Jan-2020,0.002717391304347826
2,UK,express.co.uk,Jan-2020,0.03378985181859003
3,USA,chicagotribune.com,Jan-2020,0.020309050772626933
4,International,nbcnews.com,Jan-2020,0.03543647363872083
5,Ireland,breakingnews.ie,Jan-2020,0.008888888888888889
6,New Zealand,stuff.co.nz,Jan-2020,0.016184404119666502
7,International,wnd.com,Jan-2020,0.02245614035087719
8,Australia,theage.com.au,Jan-2020,0.03484937979917307
9,International,reuters.com,Jan-2020,0.07503096797027074
10,Australia,thewest.com.au,Jan-2020,0.01894150417827298
11,UK,telegraph.co.uk,Jan-2020,0.02042341220423412
12,International,edition.cnn.com,Jan-2020,0.054318305268875614
13,USA,inquirer.com,Jan-2020,0.011834319526627219
14,UK,thesun.co.uk,Jan-2020,0.03153037682645476
15,Ireland,thesun.ie,Jan-2020,0.029953917050691243
16,USA,theatlantic.com,Jan-2020,0.01199400299850075
17,International,aljazeera.com,Jan-2020,0.04259376986649714
18,Canada,cbc.ca,Jan-2020,0.044107965766951945
19,Ireland,irishexaminer.com,Jan-2020,0.018241042345276872
20,USA,huffpost.com,Jan-2020,0.01235370611183355
21,UK,independent.co.uk,Jan-2020,0.019696347968814115
22,USA,usatoday.com,Jan-2020,0.01261467889908257
23,UK,thetimes.co.uk,Jan-2020,0.009685551280350271
24,USA,slate.com,Jan-2020,0.022696929238985315
25,New Zealand,newshub.co.nz,Jan-2020,0.0375
26,UK,morningstaronline.co.uk,Jan-2020,0.0
27,USA,wsj.com,Jan-2020,0.03464383028415726
28,Canada,ctvnews.ca,Jan-2020,0.05639280505590666
29,International,rt.com,Jan-2020,0.04900181488203267
30,UK,bbc.com,Jan-2020,0.03492516037063435
31,UK,scotsman.com,Jan-2020,0.008393285371702638
32,Ireland,irishmirror.ie,Jan-2020,0.014373716632443531
33,Australia,abc.net.au,Jan-2020,0.04764267990074442
34,Ireland,irishtimes.com,Jan-2020,0.01440329218106996
35,Ireland,rte.ie,Jan-2020,0.012718600953895072
36,Canada,theglobeandmail.com,Jan-2020,0.03345388788426763
37,International,cnbc.com,Jan-2020,0.07386159913947651
38,UK,walesonline.co.uk,Jan-2020,0.004270896888346553
39,USA,msnbc.com,Jan-2020,0.0013559322033898306
40,Ireland,thejournal.ie,Jan-2020,0.014933333333333333
41,International,upi.com,Jan-2020,0.02107481559536354
42,UK,liverpoolecho.co.uk,Jan-2020,0.0184645286686103
43,USA,nytimes.com,Jan-2020,0.042045454545454546
44,UK,news.sky.com,Jan-2020,0.04105195638229634
45,Australia,sbs.com.au,Jan-2020,0.071849234393404
46,Canada,vancouversun.com,Jan-2020,0.03402268178785857
47,Canada,thestar.com,Jan-2020,0.002364066193853428
48,German,dw.com,Jan-2020,0.04607250755287009
49,Australia,smh.com.au,Jan-2020,0.037757114680191606
50,UK,dailystar.co.uk,Jan-2020,0.03259290014531866
51,Canada,torontosun.com,Jan-2020,0.031099195710455763
52,USA,thehill.com,Jan-2020,0.036661466458658344
53,USA,nypost.com,Jan-2020,0.030495889684433838
54,UK,itv.com,Jan-2020,0.040525739320920046
55,New Zealand,rnz.co.nz,Jan-2020,0.03984819734345351
56,International,abcnews.go.com,Jan-2020,0.011735419630156473
57,USA,cbsnews.com,Jan-2020,0.026366808840635907
58,USA,apnews.com,Jan-2020,0.005752416014726185
59,USA,time.com,Jan-2020,0.0290846877673225
60,UK,dailymail.co.uk,Jan-2020,0.020172509738452978
61,Australia,news.com.au,Jan-2020,0.04877271278291361
62,USA,npr.org,Jan-2020,0.04060324825986079
63,UK,mirror.co.uk,Jan-2020,0.02122459480319012
64,USA,bostonglobe.com,Jan-2020,0.014070006863417982
65,USA,latimes.com,Jan-2020,0.025243832472748137
66,UK,theguardian.com,Jan-2020,0.022124737745565518
67,USA,businessinsider.com,Jan-2020,0.03868887694787748
68,New Zealand,scoop.co.nz,Jan-2020,0.01704966641957005
69,Australia,9news.com.au,Jan-2020,0.06294613887086307
70,Australia,afr.com,Jan-2020,0.031867145421903054
71,UK,channel4.com,Jan-2020,0.056451612903225805
72,UK,metro.co.uk,Jan-2020,0.06965718453683442
73,UK,standard.co.uk,Jan-2020,0.016757436112274822
74,Canada,macleans.ca,Jan-2020,0.018867924528301886
75,UK,economist.com,Jan-2020,0.028328611898016998
76,New Zealand,nzherald.co.nz,Jan-2020,0.02705781828538878
77,International,euronews.com,Jan-2020,0.0357976653696498
78,USA,washingtonpost.com,Jan-2020,0.020327868852459016
79,France,france24.com,Jan-2020,0.02768361581920904
80,Ireland,independent.ie,Jan-2020,0.014803149606299212
81,USA,newsweek.com,Jan-2020,0.021495745633676667
82,USA,washingtontimes.com,Jan-2020,0.016175071360608945
83,USA,breitbart.com,Jan-2020,0.03363095238095238
84,USA,politico.com,Jan-2020,0.017595307917888565
85,Canada,globalnews.ca,Jan-2020,0.06675450153711024
86,USA,westernjournal.com,Jan-2020,0.012048192771084338
87,USA,foxnews.com,Jan-2020,0.023391812865497075
88,USA,businessinsider.com,Feb-2020,0.14638318670576736
89,UK,dailystar.co.uk,Feb-2020,0.06377102686417273
90,Canada,globalnews.ca,Feb-2020,0.20346320346320346
91,Ireland,independent.ie,Feb-2020,0.05371024734982332
92,International,edition.cnn.com,Feb-2020,0.178978978978979
93,Australia,9news.com.au,Feb-2020,0.16691505216095381
94,Canada,macleans.ca,Feb-2020,0.1048951048951049
95,Canada,ctvnews.ca,Feb-2020,0.15025641025641026
96,International,nbcnews.com,Feb-2020,0.08369201339072214
97,New Zealand,newshub.co.nz,Feb-2020,0.11027568922305764
98,Ireland,breakingnews.ie,Feb-2020,0.046296296296296294
99,Ireland,rte.ie,Feb-2020,0.10900473933649289
100,USA,politico.com,Feb-2020,0.06238698010849909
101,Ireland,irishmirror.ie,Feb-2020,0.01918158567774936
102,UK,telegraph.co.uk,Feb-2020,0.07495381367115334
103,USA,washingtontimes.com,Feb-2020,0.07871287128712871
104,USA,huffpost.com,Feb-2020,0.06129597197898424
105,USA,nypost.com,Feb-2020,0.09231193166161478
106,UK,mirror.co.uk,Feb-2020,0.05154779762716487
107,Australia,smh.com.au,Feb-2020,0.10870659285354806
108,UK,scotsman.com,Feb-2020,0.04496124031007752
109,Canada,cbc.ca,Feb-2020,0.1096108022239873
110,International,upi.com,Feb-2020,0.0720164609053498
111,USA,breitbart.com,Feb-2020,0.10116242538485705
112,International,euronews.com,Feb-2020,0.11359867330016583
113,Ireland,irishtimes.com,Feb-2020,0.06381381381381382
114,USA,chicagotribune.com,Feb-2020,0.04751892346509672
115,Canada,torontosun.com,Feb-2020,0.057076295864880604
116,France,france24.com,Feb-2020,0.1206415620641562
117,New Zealand,stuff.co.nz,Feb-2020,0.06057722803679036
118,International,cnbc.com,Feb-2020,0.26752021563342315
119,USA,csmonitor.com,Feb-2020,0.045584045584045586
120,International,aljazeera.com,Feb-2020,0.15618521078092606
121,UK,channel4.com,Feb-2020,0.25217391304347825
122,USA,slate.com,Feb-2020,0.06108897742363878
123,New Zealand,scoop.co.nz,Feb-2020,0.06204583566238122
124,UK,metro.co.uk,Feb-2020,0.09963708347080172
125,USA,npr.org,Feb-2020,0.141852286049238
126,Ireland,irishexaminer.com,Feb-2020,0.05808080808080808
127,UK,thesun.co.uk,Feb-2020,0.0690984170681349
128,USA,foxnews.com,Feb-2020,0.08313230655038041
129,USA,nytimes.com,Feb-2020,0.1825
130,International,reuters.com,Feb-2020,0.30701608890363247
131,International,news.yahoo.com,Feb-2020,0.17237666405638213
132,USA,inquirer.com,Feb-2020,0.03831825439063331
133,UK,itv.com,Feb-2020,0.14155844155844155
134,Australia,afr.com,Feb-2020,0.124343964473153
135,UK,liverpoolecho.co.uk,Feb-2020,0.061971830985915494
136,UK,standard.co.uk,Feb-2020,0.08634361233480176
137,UK,news.sky.com,Feb-2020,0.14184397163120568
138,UK,independent.co.uk,Feb-2020,0.06584536958368734
139,UK,walesonline.co.uk,Feb-2020,0.030959752321981424
140,USA,cbsnews.com,Feb-2020,0.0975609756097561
141,Australia,news.com.au,Feb-2020,0.126614261650758
142,Ireland,thesun.ie,Feb-2020,0.06683256309989336
143,Canada,thestar.com,Feb-2020,0.10026385224274406
144,Canada,theglobeandmail.com,Feb-2020,0.09841372612495954
145,International,rt.com,Feb-2020,0.12217514124293785
146,USA,thehill.com,Feb-2020,0.14221126181668722
147,Australia,sbs.com.au,Feb-2020,0.21367521367521367
148,USA,msnbc.com,Feb-2020,0.07538035961272475
149,USA,washingtonpost.com,Feb-2020,0.07760381211708646
150,International,wnd.com,Feb-2020,0.08881839809674862
151,USA,apnews.com,Feb-2020,0.04047259929612871
152,USA,time.com,Feb-2020,0.12869399428026693
153,USA,newsweek.com,Feb-2020,0.08687258687258688
154,International,abcnews.go.com,Feb-2020,0.05564142194744977
155,Australia,abc.net.au,Feb-2020,0.12255358807082944
156,UK,bbc.com,Feb-2020,0.11855886049434436
157,USA,bostonglobe.com,Feb-2020,0.053504144687264506
158,Australia,thewest.com.au,Feb-2020,0.07142857142857142
159,UK,economist.com,Feb-2020,0.11824324324324324
160,USA,latimes.com,Feb-2020,0.07432835820895523
161,USA,usatoday.com,Feb-2020,0.07397069085833916
162,Ireland,thejournal.ie,Feb-2020,0.0508562532433835
163,New Zealand,rnz.co.nz,Feb-2020,0.1416015625
164,USA,theatlantic.com,Feb-2020,0.0483619344773791
165,UK,morningstaronline.co.uk,Feb-2020,0.01282051282051282
166,Australia,theage.com.au,Feb-2020,0.1111111111111111
167,USA,wsj.com,Feb-2020,0.1536910044372731
168,UK,thetimes.co.uk,Feb-2020,0.047174912138415785
169,German,dw.com,Feb-2020,0.1659919028340081
170,UK,theguardian.com,Feb-2020,0.08161258603736479
171,USA,westernjournal.com,Feb-2020,0.0468187274909964
172,UK,express.co.uk,Feb-2020,0.081846083892236
173,Canada,vancouversun.com,Feb-2020,0.0851985559566787
174,UK,dailymail.co.uk,Feb-2020,0.0629391764261428
175,New Zealand,nzherald.co.nz,Feb-2020,0.1136032624526653
176,Australia,sbs.com.au,Mar-2020,0.5899357601713062
177,USA,breitbart.com,Mar-2020,0.5598973188819167
178,International,abcnews.go.com,Mar-2020,0.4523411371237458
179,Australia,afr.com,Mar-2020,0.31565564838358157
180,UK,scotsman.com,Mar-2020,0.39125799573560766
181,Australia,abc.net.au,Mar-2020,0.5886824324324325
182,USA,washingtontimes.com,Mar-2020,0.5010369141435089
183,USA,newsweek.com,Mar-2020,0.5013169446883231
184,UK,channel4.com,Mar-2020,0.5603112840466926
185,Australia,theage.com.au,Mar-2020,0.4223326359832636
186,USA,chicagotribune.com,Mar-2020,0.46937212863705974
187,UK,standard.co.uk,Mar-2020,0.45350500715307585
188,UK,walesonline.co.uk,Mar-2020,0.3350846468184472
189,USA,msnbc.com,Mar-2020,0.5790513833992095
190,USA,nytimes.com,Mar-2020,0.545107398568019
191,UK,dailystar.co.uk,Mar-2020,0.37312836893591533
192,USA,npr.org,Mar-2020,0.5463821892393321
193,France,france24.com,Mar-2020,0.4124783362218371
194,USA,theatlantic.com,Mar-2020,0.32754342431761785
195,UK,telegraph.co.uk,Mar-2020,0.3638118214716526
196,Ireland,thejournal.ie,Mar-2020,0.2522432701894317
197,International,euronews.com,Mar-2020,0.5111524163568774
198,USA,latimes.com,Mar-2020,0.5317380352644836
199,International,cnbc.com,Mar-2020,0.5961139896373057
200,USA,csmonitor.com,Mar-2020,0.27631578947368424
201,UK,liverpoolecho.co.uk,Mar-2020,0.34562647754137116
202,International,aljazeera.com,Mar-2020,0.4549492385786802
203,USA,time.com,Mar-2020,0.47761194029850745
204,USA,usatoday.com,Mar-2020,0.34942287513116477
205,New Zealand,stuff.co.nz,Mar-2020,0.4673596673596674
206,UK,dailymail.co.uk,Mar-2020,0.36419028042871826
207,Australia,9news.com.au,Mar-2020,0.5753424657534246
208,International,edition.cnn.com,Mar-2020,0.5544013121924549
209,Ireland,rte.ie,Mar-2020,0.5499351491569391
210,UK,itv.com,Mar-2020,0.5891141942369263
211,Australia,news.com.au,Mar-2020,0.5599202960432679
212,USA,slate.com,Mar-2020,0.4761388286334056
213,Canada,macleans.ca,Mar-2020,0.5483870967741935
214,UK,bbc.com,Mar-2020,0.4816492976891708
215,Ireland,irishtimes.com,Mar-2020,0.418100481761872
216,Australia,smh.com.au,Mar-2020,0.4013353115727003
217,USA,apnews.com,Mar-2020,0.3008611410118407
218,USA,westernjournal.com,Mar-2020,0.38095238095238093
219,Canada,cbc.ca,Mar-2020,0.5410788381742738
220,USA,inquirer.com,Mar-2020,0.45966587112171836
221,Canada,torontosun.com,Mar-2020,0.3902061855670103
222,USA,thehill.com,Mar-2020,0.5939639079029247
223,International,nbcnews.com,Mar-2020,0.5010460251046025
224,Canada,thestar.com,Mar-2020,0.44023756495916855
225,International,wnd.com,Mar-2020,0.45507246376811594
226,UK,thetimes.co.uk,Mar-2020,0.2685318342266963
227,UK,metro.co.uk,Mar-2020,0.43790510759657764
228,International,rt.com,Mar-2020,0.588857938718663
229,UK,thesun.co.uk,Mar-2020,0.40375586854460094
230,Canada,globalnews.ca,Mar-2020,0.7179080824088748
231,UK,mirror.co.uk,Mar-2020,0.3999503475670308
232,Ireland,irishexaminer.com,Mar-2020,0.37631792376317924
233,Ireland,thesun.ie,Mar-2020,0.4141927290046039
234,Canada,ctvnews.ca,Mar-2020,0.632251720747296
235,USA,cbsnews.com,Mar-2020,0.5547445255474452
236,Ireland,independent.ie,Mar-2020,0.43364377182770664
237,USA,huffpost.com,Mar-2020,0.5467933491686461
238,Ireland,irishmirror.ie,Mar-2020,0.34549878345498786
239,New Zealand,nzherald.co.nz,Mar-2020,0.5150121720313768
240,UK,independent.co.uk,Mar-2020,0.5279667422524565
241,USA,foxnews.com,Mar-2020,0.5904907975460123
242,USA,nypost.com,Mar-2020,0.5516658619024626
243,Canada,theglobeandmail.com,Mar-2020,0.4138031450203844
244,New Zealand,rnz.co.nz,Mar-2020,0.5101246105919003
245,German,dw.com,Mar-2020,0.4891891891891892
246,UK,morningstaronline.co.uk,Mar-2020,0.27941176470588236
247,UK,news.sky.com,Mar-2020,0.7084136159280668
248,New Zealand,scoop.co.nz,Mar-2020,0.30946157867224255
249,International,news.yahoo.com,Mar-2020,0.626392373306573
250,USA,wsj.com,Mar-2020,0.5157673440784863
251,International,upi.com,Mar-2020,0.2633399209486166
252,UK,economist.com,Mar-2020,0.3364485981308411
253,USA,washingtonpost.com,Mar-2020,0.42482100238663484
254,USA,businessinsider.com,Mar-2020,0.5235109717868338
255,International,reuters.com,Mar-2020,0.6939676311917606
256,Canada,vancouversun.com,Mar-2020,0.34893048128342247
257,USA,bostonglobe.com,Mar-2020,0.4350462815193106
258,Australia,thewest.com.au,Mar-2020,0.4143977849561606
259,USA,politico.com,Mar-2020,0.4159042927515834
260,New Zealand,newshub.co.nz,Mar-2020,0.596537949400799
261,UK,express.co.uk,Mar-2020,0.4574771108850458
262,UK,theguardian.com,Mar-2020,0.4165352951480119
263,Ireland,breakingnews.ie,Mar-2020,0.43050847457627117
264,USA,newsweek.com,Apr-2020,0.5432579890880749
265,UK,economist.com,Apr-2020,0.5693950177935944
266,France,france24.com,Apr-2020,0.5056461731493099
267,Ireland,rte.ie,Apr-2020,0.5489964580873672
268,New Zealand,newshub.co.nz,Apr-2020,0.6578266494178525
269,New Zealand,scoop.co.nz,Apr-2020,0.49451353328456477
270,USA,washingtontimes.com,Apr-2020,0.5504335919671383
271,USA,theatlantic.com,Apr-2020,0.3641379310344828
272,UK,metro.co.uk,Apr-2020,0.4387617765814266
273,International,edition.cnn.com,Apr-2020,0.6281231841952353
274,International,upi.com,Apr-2020,0.3268365817091454
275,UK,bbc.com,Apr-2020,0.633086876155268
276,USA,nypost.com,Apr-2020,0.5798422868408083
277,UK,liverpoolecho.co.uk,Apr-2020,0.35778091208274565
278,New Zealand,rnz.co.nz,Apr-2020,0.597953216374269
279,New Zealand,stuff.co.nz,Apr-2020,0.5993109039319011
280,UK,dailymail.co.uk,Apr-2020,0.4236096160746322
281,UK,mirror.co.uk,Apr-2020,0.4197379698787805
282,Ireland,independent.ie,Apr-2020,0.4686217008797654
283,Canada,cbc.ca,Apr-2020,0.6140350877192983
284,International,reuters.com,Apr-2020,0.7369096875445855
285,Australia,theage.com.au,Apr-2020,0.4728659430918158
286,International,cnbc.com,Apr-2020,0.5713132400430571
287,USA,westernjournal.com,Apr-2020,0.3946784922394678
288,Australia,9news.com.au,Apr-2020,0.6396852164137156
289,USA,businessinsider.com,Apr-2020,0.46546732837055416
290,USA,latimes.com,Apr-2020,0.6437291897891232
291,USA,washingtonpost.com,Apr-2020,0.4617240622943628
292,USA,usatoday.com,Apr-2020,0.4483870967741935
293,UK,channel4.com,Apr-2020,0.7358490566037735
294,Australia,abc.net.au,Apr-2020,0.7174643157010915
295,UK,independent.co.uk,Apr-2020,0.586381541924592
296,USA,thehill.com,Apr-2020,0.5939899833055092
297,USA,slate.com,Apr-2020,0.4260869565217391
298,UK,itv.com,Apr-2020,0.6224696356275303
299,UK,thetimes.co.uk,Apr-2020,0.3761274804570054
300,Canada,globalnews.ca,Apr-2020,0.7366504854368932
301,UK,dailystar.co.uk,Apr-2020,0.382061332718469
302,UK,standard.co.uk,Apr-2020,0.500585251658213
303,UK,walesonline.co.uk,Apr-2020,0.3805612594113621
304,UK,telegraph.co.uk,Apr-2020,0.44647713226205193
305,Ireland,irishtimes.com,Apr-2020,0.45080174927113703
306,Ireland,breakingnews.ie,Apr-2020,0.3850267379679144
307,International,wnd.com,Apr-2020,0.5343629343629344
308,Ireland,thesun.ie,Apr-2020,0.49417608770126753
309,International,euronews.com,Apr-2020,0.7378832838773491
310,Ireland,thejournal.ie,Apr-2020,0.26232841891204883
311,Canada,thestar.com,Apr-2020,0.5412844036697247
312,USA,politico.com,Apr-2020,0.4538852578068264
313,USA,breitbart.com,Apr-2020,0.5344626168224299
314,Canada,torontosun.com,Apr-2020,0.42032204330927264
315,USA,cbsnews.com,Apr-2020,0.6464521452145214
316,USA,wsj.com,Apr-2020,0.6136955712690734
317,USA,bostonglobe.com,Apr-2020,0.46164154103852595
318,New Zealand,nzherald.co.nz,Apr-2020,0.662381389654117
319,UK,morningstaronline.co.uk,Apr-2020,0.3430232558139535
320,USA,huffpost.com,Apr-2020,0.5783489866534849
321,International,nbcnews.com,Apr-2020,0.6679079214624238
322,USA,apnews.com,Apr-2020,0.37503467406380026
323,USA,msnbc.com,Apr-2020,0.6407185628742516
324,Canada,vancouversun.com,Apr-2020,0.6837606837606838
325,Canada,macleans.ca,Apr-2020,0.7092511013215859
326,International,rt.com,Apr-2020,0.6784660766961652
327,UK,express.co.uk,Apr-2020,0.4526217033253414
328,USA,time.com,Apr-2020,0.5515832482124617
329,Ireland,irishexaminer.com,Apr-2020,0.39429407461594734
330,Australia,sbs.com.au,Apr-2020,0.6848739495798319
331,UK,thesun.co.uk,Apr-2020,0.48424937392908923
332,German,dw.com,Apr-2020,0.7097649186256781
333,Ireland,irishmirror.ie,Apr-2020,0.27600554785020803
334,International,news.yahoo.com,Apr-2020,0.7032905744562187
335,Canada,theglobeandmail.com,Apr-2020,0.46213773761296356
336,USA,inquirer.com,Apr-2020,0.5496966868875408
337,USA,csmonitor.com,Apr-2020,0.472
338,USA,nytimes.com,Apr-2020,0.6081694402420574
339,USA,chicagotribune.com,Apr-2020,0.5219976218787158
340,International,aljazeera.com,Apr-2020,0.5456570155902004
341,Australia,smh.com.au,Apr-2020,0.46088979354463505
342,UK,news.sky.com,Apr-2020,0.8331428571428572
343,Australia,news.com.au,Apr-2020,0.584375
344,Australia,thewest.com.au,Apr-2020,0.43898951382268825
345,International,abcnews.go.com,Apr-2020,0.5714882943143813
346,USA,npr.org,Apr-2020,0.6798206278026906
347,UK,theguardian.com,Apr-2020,0.5485263750703961
348,Australia,afr.com,Apr-2020,0.3179166666666667
349,Canada,ctvnews.ca,Apr-2020,0.6282475200755786
350,UK,scotsman.com,Apr-2020,0.4531914893617021
351,USA,foxnews.com,Apr-2020,0.6591458501208702
352,UK,thetimes.co.uk,May-2020,0.33538979248457657
353,USA,foxnews.com,May-2020,0.39584261321455083
354,Australia,news.com.au,May-2020,0.36619718309859156
355,Canada,thestar.com,May-2020,0.4496578690127077
356,UK,mirror.co.uk,May-2020,0.3064963239725202
357,Canada,ctvnews.ca,May-2020,0.523539668700959
358,New Zealand,newshub.co.nz,May-2020,0.4309593023255814
359,New Zealand,rnz.co.nz,May-2020,0.40905770635500366
360,Canada,globalnews.ca,May-2020,0.5619223659889094
361,UK,independent.co.uk,May-2020,0.47662018047579985
362,USA,breitbart.com,May-2020,0.32467887400929213
363,Ireland,irishexaminer.com,May-2020,0.3333333333333333
364,UK,liverpoolecho.co.uk,May-2020,0.2755939524838013
365,USA,huffpost.com,May-2020,0.42470036477331946
366,UK,express.co.uk,May-2020,0.3542059995804489
367,USA,cbsnews.com,May-2020,0.4622799664710813
368,Australia,smh.com.au,May-2020,0.35037932003371736
369,Canada,torontosun.com,May-2020,0.2566757493188011
370,New Zealand,stuff.co.nz,May-2020,0.3636741479634248
371,UK,standard.co.uk,May-2020,0.4044507241257506
372,UK,metro.co.uk,May-2020,0.3176246254426587
373,New Zealand,nzherald.co.nz,May-2020,0.3988526570048309
374,UK,bbc.com,May-2020,0.4900173611111111
375,Ireland,breakingnews.ie,May-2020,0.285
376,Australia,afr.com,May-2020,0.24495892457057505
377,International,wnd.com,May-2020,0.32096069868995636
378,USA,slate.com,May-2020,0.27823691460055094
379,International,aljazeera.com,May-2020,0.3932980599647266
380,USA,msnbc.com,May-2020,0.42588996763754045
381,USA,chicagotribune.com,May-2020,0.395621996796583
382,Australia,sbs.com.au,May-2020,0.5183044315992292
383,USA,time.com,May-2020,0.38800904977375567
384,UK,telegraph.co.uk,May-2020,0.3952781673679289
385,International,euronews.com,May-2020,0.6332982086406744
386,USA,inquirer.com,May-2020,0.4339430894308943
387,Australia,abc.net.au,May-2020,0.5294780322944048
388,USA,thehill.com,May-2020,0.44294850218781556
389,Ireland,irishmirror.ie,May-2020,0.18614718614718614
390,UK,channel4.com,May-2020,0.6017316017316018
391,USA,washingtonpost.com,May-2020,0.33625480974775546
392,Ireland,independent.ie,May-2020,0.38562091503267976
393,Canada,vancouversun.com,May-2020,0.5345454545454545
394,UK,dailystar.co.uk,May-2020,0.2533791523482245
395,Canada,macleans.ca,May-2020,0.5059523809523809
396,USA,nytimes.com,May-2020,0.4786458333333333
397,UK,morningstaronline.co.uk,May-2020,0.25
398,USA,bostonglobe.com,May-2020,0.3492686407420621
399,Australia,9news.com.au,May-2020,0.43026706231454004
400,USA,latimes.com,May-2020,0.47034956304619224
401,UK,itv.com,May-2020,0.5560344827586207
402,Canada,cbc.ca,May-2020,0.5260454878943507
403,USA,westernjournal.com,May-2020,0.21846846846846846
404,USA,npr.org,May-2020,0.5755597014925373
405,USA,theatlantic.com,May-2020,0.2995720399429387
406,USA,apnews.com,May-2020,0.3295654358201457
407,USA,politico.com,May-2020,0.313573883161512
408,UK,walesonline.co.uk,May-2020,0.3194955333683657
409,USA,wsj.com,May-2020,0.515748031496063
410,Ireland,rte.ie,May-2020,0.4722617354196302
411,International,reuters.com,May-2020,0.5794340151302886
412,Ireland,thejournal.ie,May-2020,0.2230958230958231
413,USA,businessinsider.com,May-2020,0.35651427344923803
414,UK,economist.com,May-2020,0.4895833333333333
415,France,france24.com,May-2020,0.40368722186904005
416,Ireland,thesun.ie,May-2020,0.3985386221294363
417,UK,theguardian.com,May-2020,0.47495872317006055
418,USA,washingtontimes.com,May-2020,0.38436482084690554
419,UK,thesun.co.uk,May-2020,0.3656449553001277
420,Australia,theage.com.au,May-2020,0.3585733882030178
421,International,nbcnews.com,May-2020,0.3822937625754527
422,USA,newsweek.com,May-2020,0.3586626139817629
423,Australia,thewest.com.au,May-2020,0.2743764172335601
424,USA,csmonitor.com,May-2020,0.4606741573033708
425,International,edition.cnn.com,May-2020,0.4581779435269046
426,USA,usatoday.com,May-2020,0.30787037037037035
427,UK,news.sky.com,May-2020,0.6534216335540839
428,UK,dailymail.co.uk,May-2020,0.2952799940347476
429,International,upi.com,May-2020,0.2545454545454545
430,USA,nypost.com,May-2020,0.3490833978827782
431,International,rt.com,May-2020,0.447887323943662
432,International,cnbc.com,May-2020,0.4555973387330055
433,International,news.yahoo.com,May-2020,0.45159093120560473
434,New Zealand,scoop.co.nz,May-2020,0.3711755233494364
435,UK,scotsman.com,May-2020,0.3751425313568985
436,German,dw.com,May-2020,0.5528726061615321
437,Canada,theglobeandmail.com,May-2020,0.36534181240063596
438,Ireland,irishtimes.com,May-2020,0.36988847583643125
439,International,abcnews.go.com,May-2020,0.4270621698496546
440,UK,thesun.co.uk,Jun-2020,0.22705882352941176
441,Canada,ctvnews.ca,Jun-2020,0.36254980079681276
442,UK,scotsman.com,Jun-2020,0.2796116504854369
443,UK,independent.co.uk,Jun-2020,0.3024812918471839
444,UK,dailystar.co.uk,Jun-2020,0.16065509845973874
445,UK,telegraph.co.uk,Jun-2020,0.26224584103512016
446,USA,time.com,Jun-2020,0.20523560209424083
447,USA,bostonglobe.com,Jun-2020,0.19550561797752808
448,Australia,afr.com,Jun-2020,0.19157659336563548
449,USA,businessinsider.com,Jun-2020,0.2078627280625543
450,USA,chicagotribune.com,Jun-2020,0.20723226703755215
451,New Zealand,nzherald.co.nz,Jun-2020,0.23011447020839448
452,Canada,globalnews.ca,Jun-2020,0.37350735906692584
453,Australia,theage.com.au,Jun-2020,0.21150639244024458
454,Ireland,rte.ie,Jun-2020,0.3119891008174387
455,Ireland,irishtimes.com,Jun-2020,0.2509249915909855
456,Canada,macleans.ca,Jun-2020,0.3402777777777778
457,USA,newsweek.com,Jun-2020,0.18495934959349594
458,New Zealand,newshub.co.nz,Jun-2020,0.24968789013732834
459,USA,slate.com,Jun-2020,0.13231197771587744
460,Ireland,independent.ie,Jun-2020,0.2468563864990073
461,Australia,smh.com.au,Jun-2020,0.20269898099697053
462,Ireland,irishexaminer.com,Jun-2020,0.22768670309653916
463,France,france24.com,Jun-2020,0.2370266479663394
464,UK,walesonline.co.uk,Jun-2020,0.25184094256259204
465,UK,standard.co.uk,Jun-2020,0.2609457092819615
466,USA,breitbart.com,Jun-2020,0.1108172441153134
467,UK,itv.com,Jun-2020,0.32997481108312343
468,USA,washingtontimes.com,Jun-2020,0.15841142347166443
469,USA,wsj.com,Jun-2020,0.3326863354037267
470,International,cnbc.com,Jun-2020,0.3207658321060383
