,Country,Outlet,Month-Year,Ratio
0,International,news.yahoo.com,Jan-2020,0.0007089684509039348
1,USA,csmonitor.com,Jan-2020,0.0
2,UK,express.co.uk,Jan-2020,0.001122586439155815
3,USA,chicagotribune.com,Jan-2020,0.0008830022075055188
4,International,nbcnews.com,Jan-2020,0.0025929127052722557
5,Ireland,breakingnews.ie,Jan-2020,0.0
6,New Zealand,stuff.co.nz,Jan-2020,0.0012260912211868563
7,International,wnd.com,Jan-2020,0.0014035087719298245
8,Australia,theage.com.au,Jan-2020,0.0017720023626698169
9,Australia,thewest.com.au,Jan-2020,0.0022284122562674096
10,International,reuters.com,Jan-2020,0.0010617589807113785
11,UK,telegraph.co.uk,Jan-2020,0.00024906600249066
12,International,edition.cnn.com,Jan-2020,0.0010863661053775121
13,USA,inquirer.com,Jan-2020,0.0016137708445400753
14,UK,thesun.co.uk,Jan-2020,0.000640861317610869
15,Ireland,thesun.ie,Jan-2020,0.0013440860215053765
16,USA,theatlantic.com,Jan-2020,0.0
17,International,aljazeera.com,Jan-2020,0.0006357279084551812
18,Canada,cbc.ca,Jan-2020,0.0026333113890717576
19,Ireland,irishexaminer.com,Jan-2020,0.001954397394136808
20,USA,huffpost.com,Jan-2020,0.0
21,UK,independent.co.uk,Jan-2020,0.0004103405826836274
22,USA,usatoday.com,Jan-2020,0.0011467889908256881
23,UK,thetimes.co.uk,Jan-2020,0.0010614302772986599
24,USA,slate.com,Jan-2020,0.0
25,New Zealand,newshub.co.nz,Jan-2020,0.0008333333333333334
26,UK,morningstaronline.co.uk,Jan-2020,0.0
27,USA,wsj.com,Jan-2020,0.001557026080186843
28,Canada,ctvnews.ca,Jan-2020,0.002916869227029655
29,International,rt.com,Jan-2020,0.0006049606775559589
30,UK,bbc.com,Jan-2020,0.0007127583749109052
31,UK,scotsman.com,Jan-2020,0.0
32,Ireland,irishmirror.ie,Jan-2020,0.0
33,Australia,abc.net.au,Jan-2020,0.0019851116625310174
34,Ireland,irishtimes.com,Jan-2020,0.0
35,Ireland,rte.ie,Jan-2020,0.001589825119236884
36,Canada,theglobeandmail.com,Jan-2020,0.0027124773960217
37,International,cnbc.com,Jan-2020,0.0014342058085335247
38,UK,walesonline.co.uk,Jan-2020,0.0006101281269066504
39,USA,msnbc.com,Jan-2020,0.0006779661016949153
40,Ireland,thejournal.ie,Jan-2020,0.0005333333333333334
41,International,upi.com,Jan-2020,0.003161222339304531
42,UK,liverpoolecho.co.uk,Jan-2020,0.0
43,USA,nytimes.com,Jan-2020,0.0011363636363636363
44,UK,news.sky.com,Jan-2020,0.0012828736369467607
45,Australia,sbs.com.au,Jan-2020,0.001177856301531213
46,Canada,vancouversun.com,Jan-2020,0.00133422281521014
47,Canada,thestar.com,Jan-2020,0.0
48,German,dw.com,Jan-2020,0.0015105740181268882
49,Australia,smh.com.au,Jan-2020,0.0016906170752324597
50,UK,dailystar.co.uk,Jan-2020,0.0006227942702927133
51,Canada,torontosun.com,Jan-2020,0.0021447721179624667
52,USA,thehill.com,Jan-2020,0.001170046801872075
53,USA,nypost.com,Jan-2020,0.0013259082471492973
54,UK,itv.com,Jan-2020,0.0
55,New Zealand,rnz.co.nz,Jan-2020,0.0009487666034155598
56,International,abcnews.go.com,Jan-2020,0.00035561877667140827
57,USA,cbsnews.com,Jan-2020,0.0023264831329972858
58,USA,apnews.com,Jan-2020,0.0006902899217671422
59,USA,time.com,Jan-2020,0.001710863986313088
60,UK,dailymail.co.uk,Jan-2020,0.0008347245409015025
61,Australia,news.com.au,Jan-2020,0.0015938795027095952
62,USA,npr.org,Jan-2020,0.0
63,UK,mirror.co.uk,Jan-2020,0.0006431695394906097
64,USA,bostonglobe.com,Jan-2020,0.0006863417982155113
65,USA,latimes.com,Jan-2020,0.0005737234652897303
66,UK,theguardian.com,Jan-2020,0.0009536524890329964
67,USA,businessinsider.com,Jan-2020,0.0010746910263299302
68,New Zealand,scoop.co.nz,Jan-2020,0.0
69,Australia,9news.com.au,Jan-2020,0.0006489292667099286
70,Australia,afr.com,Jan-2020,0.0013464991023339318
71,UK,channel4.com,Jan-2020,0.0
72,UK,metro.co.uk,Jan-2020,0.0007293946024799417
73,UK,standard.co.uk,Jan-2020,0.0
74,Canada,macleans.ca,Jan-2020,0.0
75,UK,economist.com,Jan-2020,0.0028328611898017
76,New Zealand,nzherald.co.nz,Jan-2020,0.0011392765593847907
77,International,euronews.com,Jan-2020,0.0007782101167315176
78,USA,washingtonpost.com,Jan-2020,0.0002185792349726776
79,France,france24.com,Jan-2020,0.0
80,Ireland,independent.ie,Jan-2020,0.0015748031496062992
81,USA,newsweek.com,Jan-2020,0.0013434841021047917
82,USA,washingtontimes.com,Jan-2020,0.0014272121788772598
83,USA,breitbart.com,Jan-2020,0.0008928571428571428
84,USA,politico.com,Jan-2020,0.0009775171065493646
85,Canada,globalnews.ca,Jan-2020,0.0013175230566534915
86,USA,westernjournal.com,Jan-2020,0.0
87,USA,foxnews.com,Jan-2020,0.001594896331738437
88,USA,businessinsider.com,Feb-2020,0.003421309872922776
89,UK,dailystar.co.uk,Feb-2020,0.0007532011046949536
90,Canada,globalnews.ca,Feb-2020,0.001443001443001443
91,Ireland,independent.ie,Feb-2020,0.0007067137809187279
92,International,edition.cnn.com,Feb-2020,0.0006006006006006006
93,Australia,9news.com.au,Feb-2020,0.0029806259314456036
94,Canada,macleans.ca,Feb-2020,0.0
95,Canada,ctvnews.ca,Feb-2020,0.003076923076923077
96,International,nbcnews.com,Feb-2020,0.0009564801530368245
97,New Zealand,newshub.co.nz,Feb-2020,0.000835421888053467
